HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"0601","0","Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower; chicory plants and roots other than roots of heading 1212:","","","","","",""
"0601.10","1","Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant:","","","","","",""
"0601.10.15.00","2","Tulip bulbs","[""No.""]","89.6¢/1000","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$6/1000","",""
"0601.10.30.00","2","Hyacinth bulbs","[""No.""]","38.4¢/1000","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","$4/1000","",""
"0601.10.45.00","2","Lily bulbs","[""No.""]","55.7¢/1000","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$6/1000","",""
"0601.10.60.00","2","Narcissus bulbs","[""No.""]","$1.34/1000","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$6/1000","",""
"0601.10.75.00","2","Crocus corms","[""No.""]","19.2¢/1000","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$2/1000","",""
"0601.10.85.00","2","Lily of the valley pips","[""No.""]","$1.44/1000","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","$6/1000","",""
"0601.10.90","2","Other","","3.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"0601.10.90.20","3","Iris bulbs","[""No.""]","","","","",""
"0601.10.90.40","3","Gladiolus corms","[""No.""]","","","","",""
"0601.10.90.60","3","Begonia (tuberous) tubers","[""No.""]","","","","",""
"0601.10.90.80","3","Other","[""No.""]","","","","",""
"0601.20","1","Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, in growth or in flower; chicory plants and roots:","","","","","",""
"0601.20.10.00","2","Hyacinth bulbs, without soil attached","[""No.""]","38.4¢/1000","Free (A+,AU,BH,CL,CO,D,E, IL,JO, KR,MA,OM, P,PA,PE,S,SG)","$4/1000","",""
"0601.20.90.00","2","Other","[""No.""]","1.4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"0602","0","Other live plants (including their roots), cuttings and slips; mushroom spawn:","","","","","",""
"0602.10.00.00","1","Unrooted cuttings and slips","[""No.""]","4.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"0602.20.00.00","1","Trees, shrubs and bushes, grafted or not, of kinds which bear edible fruit or nuts","[""No.""]","Free","","25%","",""
"0602.30.00.00","1","Rhododendrons and azaleas, grafted or not","[""No.""]","1.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"0602.40.00.00","1","Roses, grafted or not","[""No.""]","Free","","4¢ each","",""
"0602.90","1","Other:","","","","","",""
"","2","Herbaceous perennials:","","","","","",""
"0602.90.20.00","3","Orchid plants","[""kg""]","Free","","25%","",""
"","3","Other:","","","","","",""
"0602.90.30","4","With soil attached to roots","","1.4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"0602.90.30.10","5","Chrysanthemums","[""No.""]","","","","",""
"0602.90.30.90","5","Other","[""No.""]","","","","",""
"0602.90.40.00","4","Other","[""kg""]","3.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"","2","Other:","","","","","",""
"0602.90.50.00","3","Mushroom spawn","[""kg""]","1.4¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","2.2¢/kg","",""
"","3","Other:","","","","","",""
"0602.90.60","4","With soil attached to roots","","1.9%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"0602.90.60.10","5","Trees and shrubs","[""No.""]","","","","",""
"0602.90.60.20","5","Poinsettias","[""No.""]","","","","",""
"0602.90.60.90","5","Other","[""No.""]","","","","",""
"0602.90.90","4","Other","","4.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"0602.90.90.10","5","Trees and shrubs","[""No.""]","","","","",""
"0602.90.90.90","5","Other","[""No.""]","","","","",""
"0603","0","Cut flowers and flower buds of a kind suitable for bouquets or for ornamental purposes, fresh, dried, dyed, bleached, impregnated or otherwise prepared:","","","","","",""
"","1","Fresh:","","","","","",""
"0603.11.00","2","Roses","","6.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"0603.11.00.30","3","Spray","[""No.""]","","","","",""
"0603.11.00.50","3","Other","[""No.""]","","","","",""
"0603.12","2","Carnations:","","","","","",""
"0603.12.30.00","3","Miniature (spray) carnations","[""No.""]","3.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"0603.12.70.00","3","Other","[""No.""]","6.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) 3.2% (JP)","40%","",""
"0603.13.00","2","Orchids","","6.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) 3.2% (JP)","40%","",""
"0603.13.00.50","3","Dendrobium","[""No.""]","","","","",""
"0603.13.00.60","3","Other","[""No.""]","","","","",""
"0603.14.00","2","Chrysanthemums","","6.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) 3.2% (JP)","40%","",""
"","3","Chrysanthemums:","","","","","",""
"0603.14.00.10","4","Pom Pom","[""No.""]","","","","",""
"0603.14.00.20","4","Other","[""No.""]","","","","",""
"0603.15.00.00","2","Lilies (<i>Lillium spp.</i>)","[""No.""]","6.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) 3.2% (JP)","40%","",""
"0603.19.01","2","Other","","6.4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) 3.2% (JP)","40%","",""
