HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"0801","0","Coconuts, Brazil nuts and cashew nuts, fresh or dried, whether or not shelled or peeled:","","","","","",""
"","1","Coconuts:","","","","","",""
"0801.11.00.00","2","Desiccated","[""kg""]","Free","","7.7¢/kg","",""
"0801.12.00.00","2","In the inner shell (endocarp)","[""kg""]","Free","","7.7¢/kg","",""
"0801.19.01","2","Other","","Free","","7.7¢/kg","",""
"0801.19.01.20","3","In shell","[""kg""]","","","","",""
"0801.19.01.40","3","Shelled","[""kg""]","","","","",""
"","1","Brazil nuts:","","","","","",""
"0801.21.00.00","2","In shell","[""kg""]","Free","","9.9¢/kg","",""
"0801.22.00.00","2","Shelled","[""kg""]","Free","","9.9¢/kg","",""
"","1","Cashew nuts:","","","","","",""
"0801.31.00.00","2","In shell","[""kg""]","Free","","4.4¢/kg","",""
"0801.32.00.00","2","Shelled","[""kg""]","Free","","4.4¢/kg","",""
"0802","0","Other nuts, fresh or dried, whether or not shelled or peeled:","","","","","",""
"","1","Almonds:","","","","","",""
"0802.11.00.00","2","In shell","[""kg""]","7.7¢/kg","Free (A+,AU,BH, CL,CO,D,E,IL, JO,KR,MA,OM, P,PA,PE,S,SG)","12.1¢/kg","",""
"0802.12.00","2","Shelled","","24¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)","40.8¢/kg","",""
"0802.12.00.05","3","Certified organic","[""kg""]","","","","",""
"0802.12.00.15","3","Other","[""kg""]","","","","",""
"","1","Hazelnuts or filberts (<i>Corylus spp.</i>):","","","","","",""
"0802.21.00.00","2","In shell","[""kg""]","7¢/kg","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","11¢/kg","",""
"0802.22.00.00","2","Shelled","[""kg""]","14.1¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","22¢/kg","",""
"","1","Walnuts:","","","","","",""
"0802.31.00.00","2","In shell","[""kg""]","7¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","11¢/kg","",""
"0802.32.00.00","2","Shelled","[""kg""]","26.5¢/kg","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","33.1¢/kg","",""
"","1","Chestnuts (<i>Castanea</i> spp.):","","","","","",""
"0802.41.00.00","2","In shell","[""kg""]","Free","","Free","",""
"0802.42.00.00","2","Shelled","[""kg""]","Free","","Free","",""
"","1","Pistachios:","","","","","",""
"0802.51.00.00","2","In shell","[""kg""]","0.9¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","5.5¢/kg","",""
"0802.52.00.00","2","Shelled","[""kg""]","1.9¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","11¢/kg","",""
"","1","Macadamia nuts:","","","","","",""
"0802.61.00.00","2","In shell","[""kg""]","1.3¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","5.5¢/kg","",""
"0802.62.00.00","2","Shelled","[""kg""]","5¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","11¢/kg","",""
"","1","Kola nuts (<i>Cola</i> spp.):","","","","","",""
"0802.70.10.00","2","In shell","[""kg""]","1.3¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","5.5¢/kg","",""
"0802.70.20.00","2","Shelled","[""kg""]","5¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","11¢/kg","",""
"","1","Areca nuts:","","","","","",""
"0802.80.10.00","2","In shell","[""kg""]","1.3¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","5.5¢/kg","",""
"0802.80.20.00","2","Shelled","[""kg""]","5¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","11¢/kg","",""
"","1","Other:","","","","","",""
"0802.91","2","Pine nuts, in shell:","","","","","",""
"0802.91.10.00","3","Pignolia","[""kg""]","0.7¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","5.5¢/kg","",""
"0802.91.90.00","3","Other","[""kg""]","1.3¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","5.5¢/kg","",""
"0802.92","2","Pine nuts, shelled:","","","","","",""
"0802.92.10.00","3","Pignolia","[""kg""]","1¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","11¢/kg","",""
"0802.92.90.00","3","Other","[""kg""]","5¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","11¢/kg","",""
"0802.99","2","Other:","","","","","",""
"","3","Pecans:","","","","","",""
"0802.99.10.00","4","In shell","[""kg""]","8.8¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","11¢/kg","",""
"0802.99.15.00","4","Shelled","[""kg""]","17.6¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","22¢/kg","",""
"","3","Other:","","","","","",""
"0802.99.82.00","4","In shell","[""kg""]","1.3¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","5.5¢/kg","",""
"0802.99.98.00","4","Shelled","[""kg""]","5¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","11¢/kg","",""
"0803","0","Bananas and plantains, fresh or dried:","","","","","",""
"0803.10","1","Plantains:","","","","","",""
"0803.10.10.00","2","Fresh","[""kg""]","Free","","Free","",""
"0803.10.20.00","2","Dried","[""kg""]","1.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0803.90.00","1","Other","","Free","","Free","",""
"0803.90.00.25","2","Certified organic","[""kg""]","","","","",""
"","2","Other:","","","","","",""
"0803.90.00.35","3","Fresh","[""kg""]","","","","",""
"0803.90.00.45","3","Dried","[""kg""]","","","","",""
"0804","0","Dates, figs, pineapples, avocados, guavas, mangoes and mangosteens, fresh or dried:","","","","","",""
"0804.10","1","Dates:","","","","","",""
"","2","Whole, with or without pits:","","","","","",""
"0804.10.20","3","Packed in units weighing (with the immediate container, if any) not more than 4.6 kg","","13.2¢/kg","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","16.5¢/kg","",""
"0804.10.20.10","4","Certified organic","[""kg""]","","","","",""
"0804.10.20.90","4","Other","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"0804.10.40.00","4","With pits","[""kg""]","1¢/kg","Free (A,AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","2.2¢/kg","",""
"0804.10.60.00","4","With pits removed","[""kg""]","2.8¢/kg","Free (A,AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","4.4¢/kg","",""
"0804.10.80.00","2","Other","[""kg""]","29.8%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0804.20","1","Figs:","","","","","",""
"","2","Whole:","","","","","",""
"0804.20.40.00","3","In immediate containers weighing with their contents over 0.5 kg each","[""kg""]","7.9¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","11¢/kg","",""
"0804.20.60.00","3","Other","[""kg""]","6.2¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","11¢/kg","",""
"0804.20.80.00","2","Other","[""kg""]","8.8¢/kg","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","11¢/kg","",""
"0804.30","1","Pineapples:","","","","","",""
"","2","Not reduced in size:","","","","","",""
"0804.30.20.00","3","In bulk","[""kg""]","0.51¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","0.64¢/kg","",""
"0804.30.40","3","In crates or other packages","","1.1¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)","2.11¢/kg","",""
"0804.30.40.10","4","Certified organic","[""kg""]","","","","",""
"0804.30.40.90","4","Other","[""kg""]","","","","",""
"0804.30.60.00","2","Reduced in size","[""kg""]","0.44¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","4.4¢/kg","",""
"0804.40.00","1","Avocados","","11.2¢/kg","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","33.1¢/kg","",""
"","2","Hass avocados and avocados determined by the Secretary of Agriculture to be Hass-like:","","","","","",""
"0804.40.00.20","3","Certified organic","[""kg""]","","","","",""
"0804.40.00.40","3","Other","[""kg""]","","","","",""
"0804.40.00.90","2","Other","[""kg""]","","","","",""
"0804.50","1","Guavas, mangoes and mangosteens:","","","","","",""
"","2","Fresh:","","","","","",""
"0804.50.40","3","If entered during the period from September 1, in any year, to the following May 31, inclusive","","6.6¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","33.1¢/kg","",""
"","4","Mangoes:","","","","","",""
"0804.50.40.45","5","Certified organic","[""kg""]","","","","",""
"0804.50.40.55","5","Other","[""kg""]","","","","",""
"0804.50.40.65","4","Mangosteens","[""kg""]","","","","",""
"0804.50.40.75","4","Other","[""kg""]","","","","",""
"0804.50.60","3","If entered at any other time","","6.6¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","33.1¢/kg","",""
"","4","Mangoes:","","","","","",""
"0804.50.60.45","5","Certified organic","[""kg""]","","","","",""
"0804.50.60.55","5","Other","[""kg""]","","","","",""
"0804.50.60.65","4","Mangosteens","[""kg""]","","","","",""
"0804.50.60.75","4","Other","[""kg""]","","","","",""
"0804.50.80","2","Dried","","1.5¢/kg","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","33.1¢/kg","",""
"0804.50.80.10","3","Mangoes","[""kg""]","","","","",""
"0804.50.80.90","3","Other","[""kg""]","","","","",""
"0805","0","Citrus fruit, fresh or dried:","","","","","",""
"0805.10.00","1","Oranges","","1.9¢/kg","Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","2.2¢/kg","",""
"0805.10.00.20","2","Temple oranges","[""kg""]","","","","",""
"","2","Other:","","","","","",""
"0805.10.00.50","3","Certified organic","[""kg""]","","","","",""
"0805.10.00.60","3","Other","[""kg""]","","","","",""
"","1","Mandarins (including tangerines and satsumas); clementines, wilkings and similar citrus hybrids:","","","","","",""
"0805.21.00","2","Mandarins (including tangerines and satsumas)","","1.9¢/kg","Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","2.2¢/kg","",""
"0805.21.00.10","3","Tangerines","[""kg""]","","","","",""
"0805.21.00.90","3","Other","[""kg""]","","","","",""
"0805.22.00.00","2","Clementines","[""kg""]","1.9¢/kg","Free (AU,BH, CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","2.2¢/kg","",""
"0805.29.00.00","2","Other","[""kg""]","1.9¢/kg","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","2.2¢/kg","",""
"0805.40","1","Grapefruit and pomelos:","","","","","",""
"0805.40.40","2","If entered during the period from August 1 to September 30, inclusive, in any year","","1.9¢/kg","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","3.3¢/kg","",""
"0805.40.40.10","3","Grapefruit","[""kg""]","","","","",""
"0805.40.40.90","3","Pomelo","[""kg""]","","","","",""
"0805.40.60.00","2","If entered during the month of October","[""kg""]","1.5¢/kg","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","3.3¢/kg","",""
"0805.40.80","2","If entered at any other time","","2.5¢/kg","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","3.3¢/kg","",""
"0805.40.80.10","3","Grapefruit","[""kg""]","","","","",""
"0805.40.80.90","3","Pomelo","[""kg""]","","","","",""
"0805.50","1","Lemons (<i>Citrus limon, Citrus limonum</i>) and limes (<i>Citrus aurantifolia, Citrus latifolia</i>):","","","","","",""
"0805.50.20","2","Lemons","","2.2¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","5.5¢/kg","",""
"0805.50.20.10","3","Certified organic","[""kg""]","","","","",""
"0805.50.20.50","3","Other","[""kg""]","","","","",""
"","2","Limes:","","","","","",""
"0805.50.30","3","Tahitian limes, Persian limes and other limes of the <i>Citrus latifolia</i> variety","[""kg""]","0.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0805.50.30.20","4","Certified organic","[""kg""]","","","","",""
"0805.50.30.40","4","Other","[""kg""]","","","","",""
"0805.50.40.00","3","Other","[""kg""]","1.8¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","4.4¢/kg","",""
"0805.90.01.00","1","Other, including kumquats, citrons and bergamots","[""kg""]","0.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0806","0","Grapes, fresh or dried:","","","","","",""
"0806.10","1","Fresh:","","","","","",""
"0806.10.20","2","If entered during the period from February 15 to March 31, inclusive, in any year","","$1.13/m<sup>3</sup>","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","$8.83/m<sup>3</sup>","",""
"0806.10.20.05","3","Certified organic","[""m<sup style=\""font-size: 9.75px;\"">3<\/sup>"",""kg""]","","","","",""
"","3","Other:","","","","","",""
"0806.10.20.15","4","Red varieties","[""m<sup style=\""font-size: 9.75px;\"">3<\/sup>"",""kg""]","","","","",""
"0806.10.20.25","4","White varieties","[""m<sup style=\""font-size: 9.75px;\"">3<\/sup>"",""kg""]","","","","",""
"0806.10.20.35","4","Black varieties","[""m<sup style=\""font-size: 9.75px;\"">3<\/sup>"",""kg""]","","","","",""
"0806.10.20.45","4","Other","[""m<sup style=\""font-size: 9.75px;\"">3<\/sup>"",""kg""]","","","","",""
"0806.10.40","2","If entered during the period from April 1 to June 30, inclusive, in any year","","Free","","$8.83/m<sup>3</sup>","",""
"0806.10.40.05","3","Certified organic","[""m<sup style=\""font-size: 9.75px;\"">3<\/sup>"",""kg""]","","","","",""
"","3","Other:","","","","","",""
"0806.10.40.15","4","Red varieties","[""m<sup style=\""font-size: 9.75px;\"">3<\/sup>"",""kg""]","","","","",""
"0806.10.40.25","4","White varieties","[""m<sup style=\""font-size: 9.75px;\"">3<\/sup>"",""kg""]","","","","",""
"0806.10.40.35","4","Black varieties","[""m<sup style=\""font-size: 9.75px;\"">3<\/sup>"",""kg""]","","","","",""
"0806.10.40.45","4","Other","[""m<sup style=\""font-size: 9.75px;\"">3<\/sup>"",""kg""]","","","","",""
"0806.10.60","2","If entered at any other time","","$1.80/m<sup>3</sup>","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","$8.83/m<sup>3</sup>","",""
"0806.10.60.05","3","Certified organic","[""m<sup style=\""font-size: 9.75px;\"">3<\/sup>"",""kg""]","","","","",""
"","3","Other:","","","","","",""
"0806.10.60.15","4","Red varieties","[""m<sup style=\""font-size: 9.75px;\"">3<\/sup>"",""kg""]","","","","",""
"0806.10.60.25","4","White varieties","[""m<sup style=\""font-size: 9.75px;\"">3<\/sup>"",""kg""]","","","","",""
"0806.10.60.35","4","Black varieties","[""m<sup style=\""font-size: 9.75px;\"">3<\/sup>"",""kg""]","","","","",""
"0806.10.60.45","4","Other","[""m<sup style=\""font-size: 9.75px;\"">3<\/sup>"",""kg""]","","","","",""
"0806.20","1","Dried:","","","","","",""
"","2","Raisins:","","","","","",""
"0806.20.10","3","Made from seedless grapes","","1.8¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","4.4¢/kg","",""
"0806.20.10.10","4","Currants","[""kg""]","","","","",""
"0806.20.10.20","4","Sultanas","[""kg""]","","","","",""
"0806.20.10.90","4","Other","[""kg""]","","","","",""
"0806.20.20.00","3","Other raisins","[""kg""]","2.8¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)","4.4¢/kg","",""
"0806.20.90.00","2","Other dried grapes","[""kg""]","3.5¢/kg","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","5.5¢/kg","",""
"0807","0","Melons (including watermelons) and papayas (papaws), fresh:","","","","","",""
"","1","Melons (including watermelons):","","","","","",""
"0807.11","2","Watermelons:","","","","","",""
"0807.11.30","3","If entered during the period from December 1, in any year, to the following March 31, inclusive","","9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) 4.5% (JP)","35%","",""
"","4","Seedless:","","","","","",""
"","5","Certified organic:","","","","","",""
"0807.11.30.20","6","Miniature type of a kind described in statistical note 2 to this chapter","[""kg""]","","","","",""
"0807.11.30.40","6","Other","[""kg""]","","","","",""
"","5","Other:","","","","","",""
"0807.11.30.60","6","Miniature type of a kind described in statistical note 2 to this chapter","[""kg""]","","","","",""
"0807.11.30.80","6","Other","[""kg""]","","","","",""
"0807.11.30.90","4","Other","[""kg""]","","","","",""
"0807.11.40","3","If entered at any other time","","17%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"","4","Seedless:","","","","","",""
"","5","Certified organic:","","","","","",""
"0807.11.40.20","6","Miniature type of a kind described in statistical note 2 to this chapter","[""kg""]","","","","",""
"0807.11.40.40","6","Other","[""kg""]","","","","",""
"","5","Other:","","","","","",""
"0807.11.40.60","6","Miniature type of a kind described in statistical note 2 to this chapter","[""kg""]","","","","",""
"0807.11.40.80","6","Other","[""kg""]","","","","",""
"0807.11.40.90","4","Other","[""kg""]","","","","",""
"0807.19","2","Other:","","","","","",""
"","3","Cantaloupes:","","","","","",""
"0807.19.10.00","4","If entered during the period from August 1 to September 15, inclusive, in any year","[""kg""]","12.8%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) 6.4% (JP)","35%","",""
"0807.19.20.00","4","If entered at any other time","[""kg""]","29.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"","3","Ogen and Galia melons:","","","","","",""
"0807.19.50.00","4","If entered during the period from December 1, in any year, to the following May 31, inclusive","[""kg""]","1.6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0807.19.60.00","4","If entered at any other time","[""kg""]","6.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) 3.15% (JP)","35%","",""
"","3","Other:","","","","","",""
"0807.19.70","4","If entered during the period from December 1, in any year, to the following May 31, inclusive","[""kg""]","5.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)2.7% (JP)","35%","",""
"0807.19.70.20","5","Honeydew melons","[""kg""]","","","","",""
"0807.19.70.40","5","Other","[""kg""]","","","","",""
"0807.19.80","4","If entered at any other time","[""kg""]","28%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) 14% (JP)","35%","",""
"0807.19.80.20","5","Honeydew melons","[""kg""]","","","","",""
"0807.19.80.40","5","Other","[""kg""]","","","","",""
"0807.20.00.00","1","Papayas (papaws)","[""kg""]","5.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"0808","0","Apples, pears and quinces, fresh:","","","","","",""
"0808.10.00","1","Apples","","Free","","1.1¢/kg","",""
"0808.10.00.30","2","Valued not over 22¢ per kg","[""kg""]","","","","",""
"","2","Valued over 22¢ per kg:","","","","","",""
"0808.10.00.45","3","Certified organic","[""kg""]","","","","",""
"0808.10.00.65","3","Other","[""kg""]","","","","",""
"0808.30","1","Pears:","","","","","",""
"0808.30.20","2","If entered during the period from April 1 to June 30, inclusive, in any year","","Free","","1.1¢/kg","",""
"0808.30.20.15","3","Certified organic","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"0808.30.20.35","4","Asian pears (<i>Pyrus pyrifolia</i>)","[""kg""]","","","","",""
"0808.30.20.45","4","Other","[""kg""]","","","","",""
"0808.30.40","2","If entered at any other time","","0.3¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","1.1¢/kg","",""
"0808.30.40.15","3","Certified organic","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"0808.30.40.35","4","Asian pears (<i>Pyrus pyrifolia</i>)","[""kg""]","","","","",""
"0808.30.40.45","4","Other","[""kg""]","","","","",""
"0808.40","1","Quinces:","","","","","",""
"0808.40.20","2","If entered during the period from April 1 to June 30, inclusive, in any year","","Free","","1.1¢/kg","",""
