HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"1301","0","Lac; natural gums, resins, gum-resins and oleoresins (for example, balsams):","","","","","",""
"1301.20.00.00","1","Gum Arabic","[""kg""]","Free","","1.1¢/kg","",""
"1301.90","1","Other:","","","","","",""
"1301.90.40.00","2","Turpentine gum (oleoresinous exudate from living trees)","[""kg""]","1.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","5%","",""
"1301.90.91","2","Other","","Free","","Free","",""
"1301.90.91.05","3","Balsams","[""kg""]","","","","",""
"1301.90.91.10","3","Bleached shellac","[""kg""]","","","","",""
"1301.90.91.20","3","Seed lac","[""kg""]","","","","",""
"1301.90.91.30","3","Tragacanth","[""kg""]","","","","",""
"1301.90.91.40","3","Karaya","[""kg""]","","","","",""
"1301.90.91.90","3","Other","[""kg""]","","","","",""
"1302","0","Vegetable saps and extracts; pectic substances, pectinates and pectates; agar-agar and other mucilages and thickeners, whether or not modified, derived from vegetable products:","","","","","",""
"","1","Vegetable saps and extracts:","","","","","",""
"1302.11.00.00","2","Opium","[""kg amc""]","Free","","$40/kg of anhydrous morphine content","",""
"1302.12.00.00","2","Of licorice","[""kg""]","3.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"1302.13.00.00","2","Of hops","[""kg""]","89¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","$5.29/kg","",""
"1302.14.01.00","2","Of ephedra","[""kg""]","1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","10%","",""
"1302.19","2","Other:","","","","","",""
"","3","Ginseng; substances having anesthetic, prophylactic or therapeutic properties:","","","","","",""
"1302.19.21.00","4","Poppy straw extract","[""kg""]","Free","","Free","",""
"1302.19.41","4","Other","","1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","10%","",""
"1302.19.41.20","5","Ginseng","[""kg""]","","","","",""
"1302.19.41.40","5","Other","[""kg""]","","","","",""
"1302.19.91","3","Other","","Free","","Free","",""
"1302.19.91.20","4","Cashew nut shell liquid","[""kg""]","","","","",""
"1302.19.91.40","4","Other","[""kg""]","","","","",""
"1302.20.00.00","1","Pectic substances, pectinates and pectates","[""kg""]","Free","","25%","",""
"","1","Mucilages and thickeners, whether or not modified, derived from vegetable products:","","","","","",""
"1302.31.00.00","2","Agar-agar","[""kg""]","Free","","25%","",""
"1302.32.00","2","Mucilages and thickeners, whether or not modified, derived from locust beans, locust bean seeds or guar seeds","","Free","","Free","",""
"1302.32.00.20","3","Guar","[""kg""]","","","","",""
"1302.32.00.40","3","Locust bean","[""kg""]","","","","",""
"1302.39.00","2","Other","","3.2%","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","20%","",""
"1302.39.00.10","3","Carrageenan","[""kg""]","","","","",""
"1302.39.00.90","3","Other","[""kg""]","","","","",""
