HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"1501","0","Pig fat (including lard) and poultry fat, other than that of heading 0209 or 1503:","","","","","",""
"1501.10.00.00","1","Lard","[""kg""]","3¢/kg","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6.6¢/kg","",""
"1501.20.00","1","Other pig fat","","3¢/kg","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6.6¢/kg","",""
"1501.20.00.40","2","Choice white grease","[""kg""]","","","","",""
"1501.20.00.60","2","Yellow grease","[""kg""]","","","","",""
"1501.20.00.80","2","Other","[""kg""]","","","","",""
"1501.90.00.00","1","Other","[""kg""]","3¢/kg","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6.6¢/kg","",""
"1502","0","Fats of bovine animals, sheep or goats, other than those of heading 1503:","","","","","",""
"1502.10.00","1","Tallow","","0.43¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","7.7¢/kg","",""
"1502.10.00.20","2","Edible","[""kg""]","","","","",""
"1502.10.00.40","2","Inedible","[""kg""]","","","","",""
"1502.90.00.00","1","Other","[""kg""]","0.43¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","7.7¢/kg","",""
"1503.00.00.00","0","Lard stearin, lard oil, oleostearin, oleo-oil and tallow oil, not emulsified or mixed or otherwise prepared","[""kg""]","2¢/kg","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","8.8¢/kg","",""
"1504","0","Fats and oils and their fractions, of fish or marine mammals, whether or not refined, but not chemically modified:","","","","","",""
"1504.10","1","Fish-liver oils and their fractions:","","","","","",""
"1504.10.20.00","2","Cod","[""kg""]","Free","","Free","",""
"1504.10.40.00","2","Other","[""kg""]","2.5%","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","6.6¢/kg + 10%","",""
"1504.20","1","Fats and oils and their fractions, of fish, other than liver oils:","","","","","",""
"1504.20.20.00","2","Cod","[""kg""]","Free","","Free","",""
"1504.20.40.00","2","Herring","[""kg""]","1¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","8¢/kg","",""
