HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"1701","0","Cane or beet sugar and chemically pure sucrose, in solid form:","","","","","",""
"","1","Raw sugar not containing added flavoring or coloring matter:","","","","","",""
"1701.12","2","Beet sugar:","","","","","",""
"1701.12.05.00","3","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","3.6606¢/kg less 0.020668¢/kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 3.143854¢/kg","Free (A*,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6.58170¢/kg less 0.0622005¢ /kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 5.031562¢ /kg","",""
"1701.12.10.00","3","Described in additional U.S. note 5 to this chapter and entered pursuant to its provisions","[""kg""]","3.6606¢/kg less 0.020668¢/kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 3.143854¢/kg","Free (A*,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG) See 9822.05.15 (P+)","6.58170¢/kg less 0.0622005¢ /kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 5.031562¢ /kg","",""
"1701.12.50.00","3","Other","[""kg""]","35.74¢/kg","Free (BH,CL,JO,KR,OM,SG) See 9822.05.20 (P+) See 9822.06.10 (PE) See 9822.08.01 (CO) See 9822.09.17 (PA) See 9823.09.01-9823.09.09 (S+) See 9822.03.01(MA)","42.05¢/kg","",""
"1701.13","2","Cane sugar specified in subheading note 2 to this chapter:","","","","","",""
"1701.13.05.00","3","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","1.4606¢/kg less 0.020668¢/kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 0.943854¢/kg","Free (A*,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","4.3817¢/kg less 0.0622005¢ /kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 2.831562¢ /kg","",""
"1701.13.10.00","3","Described in additional U.S. note 5 to this chapter and entered pursuant to its provisions","[""kg""]","1.4606¢/kg less 0.020668¢/kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 0.943854¢/kg","Free (A*,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG) See 9822.05.15 (P+)","4.3817¢/kg less 0.0622005¢ /kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less 2.831562¢ /kg","",""
"1701.13.20.00","3","Other sugar to be used for the production (other than by distillation) of polyhydric alcohols, except polyhydric alcohols for use as a substitute for sugar in human food consumption, or to be refined and re-exported in refined form or in sugar-containing products, or to be substituted for domestically produced raw cane sugar that has been or will be exported","[""kg""]","1.4606¢/kg less 0.020668¢/kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 0.943854¢/kg","Free (A*,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","4.3817¢/kg less 0.0622005¢/kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 2.831562¢ /kg","",""
"1701.13.50.00","3","Other","[""kg""]","33.87¢/kg","Free (BH,CL,JO,KR,OM,SG) See 9822.05.20 (P+) See 9822.06.10 (PE) See 9822.08.01 (CO) See 9822.09.17 (PA) See 9823.09.01-9823.09.09 (S+) See 9822.03.01(MA)","39.85¢/kg","",""
"1701.14","2","Other cane sugar:","","","","","",""
"1701.14.05.00","3","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","1.4606¢/kg less 0.020668¢/kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 0.943854¢/kg","Free (A*,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","4.3817¢/kg less 0.0622005¢/kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 2.831562¢/kg","",""
"1701.14.10","3","Described in additional U.S. note 5 to this chapter and entered pursuant to its provisions","","1.4606¢/kg less 0.020668¢/kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 0.943854¢/kg","Free (A*,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG) See 9822.05.15 (P+)","4.3817¢/kg less 0.0622005¢/kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 2.831562¢/kg","",""
"1701.14.10.20","4","Certified organic","[""kg""]","","","","",""
"1701.14.10.40","4","Other","[""kg""]","","","","",""
"1701.14.20.00","3","Other sugar to be used for the production (other than by distillation) of polyhydric alcohols, except polyhydric alcohols for use as a substitute for sugar in human food consumption, or to be refined and re-exported in refined form or in sugar-containing products, or to be substituted for domestically produced raw cane sugar that has been or will be exported","[""kg""]","1.4606¢/kg less 0.020668¢/kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 0.943854¢/kg","Free (A*,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","4.3817¢/kg less 0.0622005¢/kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 2.831562¢ /kg","",""
"1701.14.50.00","3","Other","[""kg""]","33.87¢/kg","Free (BH,CL,JO,KR,OM,SG) See 9822.05.20 (P+) See 9822.06.10 (PE) See 9822.08.01 (CO) See 9822.09.17 (PA) See 9823.09.01-9823.09.09 (S+) See 9822.03.01 (MA)","39.85¢/kg","",""
"","1","Other:","","","","","",""
"1701.91","2","Containing added flavoring or coloring matter:","","","","","",""
"","3","Containing added coloring but not containing added flavoring matter:","","","","","",""
"1701.91.05.00","4","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","3.6606¢/kg less 0.020668¢/kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 3.143854¢/kg","Free (A*,AU,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6.58170¢/kg less 0.0622005¢ /kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 5.031562¢ /kg","",""
"1701.91.10.00","4","Described in additional U.S. note 5 to this chapter and entered pursuant to its provisions","[""kg""]","3.6606¢/kg less 0.020668¢/kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 3.143854¢/kg","Free (A*,BH,CL,CO,D,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG) See 9822.05.15 (P+)","6.58170¢/kg less 0.0622005¢/kg for each degree under 100 degrees (and fractions of a degree in proportion) but not less than 5.031562¢ /kg","",""
"1701.91.30.00","4","Other","[""kg""]","35.74¢/kg","Free (BH,CL,JO,KR,OM,SG) See 9822.05.20 (P+) See 9822.06.10 (PE) See 9822.08.01 (CO) See 9822.09.17 (PA) See 9823.09.01-9823.09.09 (S+) See 9822.03.01(MA)","42.05¢/kg","",""
"","3","Containing added flavoring matter whether or not containing added coloring:","","","","","",""
"","4","Articles containing over 65 percent by dry weight of sugar described in additional U.S. note 2 to chapter 17:","","","","","",""
"1701.91.42.00","5","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"1701.91.44.00","5","Described in additional U.S. note 7 to this chapter and entered pursuant to its provisions","[""kg""]","6%","Free (OM,PE,S)","20%","",""
"1701.91.48.00","5","Other","[""kg""]","33.9¢/kg + 5.1%","Free (BH,CL,JO,KR,OM,SG) See 9822.05.20 (P+) See 9822.06.10 (PE) See 9822.08.01 (CO) See 9822.09.17 (PA) See 9823.10.01-9823.10.45 (S+) See 9822.03.01(MA)","39.9¢/kg +6%","",""
"","4","Articles containing over 10 percent by dry weight of sugar described in additional U.S. note 3 to chapter 17:","","","","","",""
"1701.91.52.00","5","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
