HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"1801.00.00.00","0","Cocoa beans, whole or broken, raw or roasted","[""kg""]","Free","","Free","",""
"1802.00.00.00","0","Cocoa shells, husks, skins and other cocoa waste","[""kg""]","Free","","10%","",""
"1803","0","Cocoa paste, whether or not defatted:","","","","","",""
"1803.10.00.00","1","Not defatted","[""kg""]","Free","","6.6¢/kg","",""
"1803.20.00.00","1","Wholly or partly defatted","[""kg""]","0.2¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6.6¢/kg","",""
"1804.00.00.00","0","Cocoa butter, fat and oil","[""kg""]","Free","","25%","",""
"1805.00.00.00","0","Cocoa powder, not containing added sugar or other sweetening matter","[""kg""]","0.52¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6.6¢/kg","",""
"1806","0","Chocolate and other food preparations containing cocoa:","","","","","",""
"1806.10","1","Cocoa powder, containing added sugar or other sweetening matter:","","","","","",""
"","2","Containing less than 65 percent by weight of sugar:","","","","","",""
"1806.10.05.00","3","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","Free","","40%","",""
"1806.10.10.00","3","Described in additional U.S. note 1 to this chapter and entered pursuant to its provisions","[""kg""]","Free","","40%","",""
"1806.10.15.00","3","Other","[""kg""]","21.7¢/kg","Free (BH,CL,JO,KR,OM,SG) See 9822.05.20 (P+) See 9822.06.10 (PE) See 9822.08.01 (CO) See 9822.09.17 (PA) See 9823.10.01-9823.10.45 (S+) See 9822.03.01(MA)","25.5¢/kg","",""
"","2","Containing 65 percent or more but less than 90 percent by dry weight of sugar:","","","","","",""
"1806.10.22.00","3","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","10%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"","3","Articles containing over 65 percent by dry weight of sugar described in additional U.S. note 2 to chapter 17:","","","","","",""
"1806.10.24.00","4","Described in additional U.S. note 7 to chapter 17 and entered pursuant to its provisions","[""kg""]","10%","Free (CO,KR,OM,PA,PE,S)","20%","",""
"1806.10.28.00","4","Other","[""kg""]","33.6¢/kg","Free (BH,CL,JO,KR,OM,SG) See 9822.05.20 (P+) See 9822.06.10 (PE) See 9822.08.01 (CO) See 9822.09.17 (PA) See 9823.10.01-9823.10.45 (S+) See 9822.03.01(MA)","39.5¢/kg","",""
"","3","Other:","","","","","",""
"1806.10.34.00","4","Described in additional U.S. note 1 to this chapter and entered pursuant to its provisions","[""kg""]","10%","Free (A,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
