HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"2201","0","Waters, including natural or artificial mineral waters and aerated waters, not containing added sugar or other sweetening matter nor flavored; ice and snow:","","","","","",""
"2201.10.00.00","1","Mineral waters and aerated waters","[""liters""]","0.26¢/liter","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","2.6¢/liter","",""
"2201.90.00.00","1","Other","[""t""]","Free","","Free","",""
"2202","0","Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavored, and other non-alcoholic beverages, not including fruit, nut or vegetable juices of heading 2009:","","","","","",""
"2202.10.00","1","Waters, including mineral waters and aerated waters, containing added sugar or other sweetening matter or flavored","","0.2¢/liter","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","4¢/liter","",""
"","2","Carbonated soft drinks:","","","","","",""
"2202.10.00.20","3","Containing high-intensity sweeteners (e.g., aspartame and/or saccharin)","[""liters""]","","","","",""
"","3","Other:","","","","","",""
"2202.10.00.45","4","In aluminum containers","[""liters""]","","","","",""
"2202.10.00.55","4","Other","[""liters""]","","","","",""
"","2","Other:","","","","","",""
"2202.10.00.65","3","In aluminum containers","[""liters""]","","","","",""
"2202.10.00.75","3","Other","[""liters""]","","","","",""
"","1","Other:","","","","","",""
"2202.91.00","2","Non-alcoholic beer","","0.2¢/liter","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","4¢/liter","",""
"2202.91.00.10","3","In aluminum containers","[""liters""]","","","","",""
"2202.91.00.20","3","Other","[""liters""]","","","","",""
"2202.99","2","Other:","","","","","",""
"","3","Milk-based drinks:","","","","","",""
"2202.99.10.00","4","Chocolate milk drink","[""liters"",""kg cmsc""]","17%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"","4","Other:","","","","","",""
"2202.99.22.00","5","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""liters"",""kg""]","17.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"2202.99.24.00","5","Described in additional U.S. note 10 to chapter 4 and entered pursuant to its provisions","[""liters"",""kg""]","17.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"2202.99.28.00","5","Other","[""liters"",""kg""]","23.5¢/liter + 14.9%","Free (BH,CL,JO,KR,MA,OM,P,PA,PE,SG) See 9822.04.25 (AU) See 9823.01.01-9823.01.07 (S+) See 9918.04.60, 9918.04.80 (CO)","27.6¢/liter+ 17.5%","",""
"","3","Fruit or vegetable juices, fortified with vitamins or minerals:","","","","","",""
"","4","Orange juice:","","","","","",""
"2202.99.30.00","5","Not made from a juice having a degree of concentration of 1.5 or more (as determined before correction to the nearest 0.5 degree)","[""liters""]","4.5¢/liter","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","18¢/liter","",""
