HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"2701","0","Coal; briquettes, ovoids and similar solid fuels manufactured from coal:","","","","","",""
"","1","Coal, whether or not pulverized, but not agglomerated:","","","","","",""
"2701.11.00.00","2","Anthracite","[""t""]","Free","","Free","",""
"2701.12.00","2","Bituminous coal","","Free","","Free","",""
"2701.12.00.10","3","Metallurgical coal","[""t""]","","","","",""
"2701.12.00.50","3","Other","[""t""]","","","","",""
"2701.19.00","2","Other coal","","Free","","Free","",""
"2701.19.00.10","3","Sub-bituminous coal","[""t""]","","","","",""
"2701.19.00.50","3","Other","[""t""]","","","","",""
"2701.20.00.00","1","Briquettes, ovoids and similar solid fuels manufactured from coal","[""t""]","Free","","Free","",""
"2702","0","Lignite, whether or not agglomerated, excluding jet:","","","","","",""
"2702.10.00.00","1","Lignite, whether or not pulverized, but not agglomerated","[""t""]","Free","","Free","",""
"2702.20.00.00","1","Agglomerated lignite","[""t""]","Free","","Free","",""
"2703.00.00.00","0","Peat (including peat litter), whether or not agglomerated","[""t""]","Free","","Free","",""
"2704.00.00","0","Coke and semicoke of coal, of lignite or of peat, whether or not agglomerated; retort carbon","","Free","","Free","",""
"","1","Coke and semicoke of coal:","","","","","",""
"2704.00.00.11","2","Coke larger than 100 mm (4 inches) in maximum diameter and at least 50 percent of which is retained on a 100-mm (4-inch) sieve after drop shatter testing pursuant to ASTM D 3038, of a kind used in foundries","[""t""]","","","","",""
"2704.00.00.25","2","Other","[""t""]","","","","",""
"2704.00.00.50","1","Other","[""t""]","","","","",""
"2705.00.00.00","0","Coal gas, water gas, producer gas and similar gases, other than petroleum gases and other gaseous hydrocarbons","[""thousand m<sup>3<\/sup>"",""kg""]","Free","","Free","",""
"2706.00.00.00","0","Tar distilled from coal, from lignite or from peat, and other mineral tars, whether or not dehydrated or partially distilled, including reconstituted tars","[""liters""]","Free","","Free","",""
"2707","0","Oils and other products of the distillation of high temperature coal tar; similar products in which the weight of the aromatic constituents exceeds that of the nonaromatic constituents:","","","","","",""
"2707.10.00.00","1","Benzene","[""liters""]","Free","","Free","",""
"2707.20.00.00","1","Toluene","[""liters""]","Free","","Free","",""
"2707.30.00","1","Xylenes","","Free","","Free","",""
"2707.30.00.10","2","m-Xylene","[""liters""]","","","","",""
"2707.30.00.20","2","o-Xylene","[""liters""]","","","","",""
"2707.30.00.30","2","p-Xylene","[""liters""]","","","","",""
"2707.30.00.40","2","Other","[""liters""]","","","","",""
"2707.40.00.00","1","Naphthalene","[""kg"",""liters""]","Free","","Free","",""
"2707.50.00.00","1","Other aromatic hydrocarbon mixtures of which 65 percent or more by volume (including losses) distills at 250˚C by the ISO 3405 method (equivalent to the ASTM D 86 method)","[""kg"",""liters""]","Free","","Free","",""
"","1","Other:","","","","","",""
"2707.91.00.00","2","Creosote oils","[""liters""]","Free","","Free","",""
"2707.99","2","Other:","","","","","",""
"2707.99.10.00","3","Light oil","[""liters""]","Free","","Free","",""
"2707.99.20.00","3","Picolines","[""kg""]","Free","","Free","",""
"2707.99.40.00","3","Carbazole having a purity of 65 percent or more by weight","[""kg""]","0.9¢/kg + 3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,L,MA,OM,P,PA,PE,S,SG)","15.4¢/kg +40%","",""
"","3","Phenols:","","","","","",""
"2707.99.51.00","4","Containing more than 50 percent by weight of hydroxybenzene","[""kg""]","2.9¢/kg + 12.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","7.7¢/kg + 29.5%","",""
"2707.99.55.00","4","Metacresol, orthocresol, paracresol and metaparacresol, all the foregoing having a purity of 75 percent or more by weight","[""kg""]","0.9¢/kg + 3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 42.5%","",""
"2707.99.59.00","4","Other","[""kg""]","Free","","Free","",""
"2707.99.90","3","Other","","Free","","Free","",""
"2707.99.90.10","4","Carbon black feedstocks","[""bbl""]","","","","",""
"2707.99.90.90","4","Other","[""kg""]","","","","",""
"2708","0","Pitch and pitch coke, obtained from coal tar or from other mineral tars:","","","","","",""
"2708.10.00.00","1","Pitch","[""kg""]","Free","","Free","",""
"2708.20.00.00","1","Pitch coke","[""kg""]","Free","","Free","",""
"2709.00","0","Petroleum oils and oils obtained from bituminous minerals, crude:","","","","","",""
"2709.00.10.00","1","Testing under 25 degrees A.P.I.","[""bbl""]","5.25¢/bbl","Free (A+,AU,BH,CL,CO,D,IL, JO,KR,MA, OM,P,PA,PE,R,S,SG)","21¢/bbl","",""
"2709.00.20","1","Testing 25 degrees A.P.I. or more","","10.5¢/bbl","Free (A+,AU,BH,CL,CO,D,IL, JO,KR,MA, OM,P,PA,PE, R,S,SG)","21¢/bbl","",""
