HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"3001","0","Glands and other organs for organotherapeutic uses, dried, whether or not powdered; extracts of glands or other organs or of their secretions for organotherapeutic uses; heparin and its salts; other human or animal substances prepared for therapeutic or prophylactic uses, not elsewhere specified or included:","","","","","",""
"3001.20.00.00","1","Extracts of glands or other organs or of their secretions","[""kg""]","Free","","10%","",""
"3001.90.01","1","Other","","Free","","Free","",""
"","2","Glands and other organs, dried, whether or not powdered:","","","","","",""
"3001.90.01.10","3","Liver","[""kg""]","","","","",""
"3001.90.01.50","3","Other","[""kg""]","","","","",""
"3001.90.01.90","2","Other","[""kg""]","","","","",""
"3002","0","Human blood; animal blood prepared for therapeutic, prophylactic or diagnostic uses; antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes; vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products; cell cultures, whether or not modified:","","","","","",""
"","1","Antisera, other blood fractions and immunological products, whether or not modified or obtained by means of biotechnological processes:","","","","","",""
"3002.12.00","2","Antisera and other blood fractions","","Free","","Free","",""
"3002.12.00.10","3","Human blood plasma","[""kg""]","","","","",""
"3002.12.00.20","3","Normal human blood sera, whether or not freeze-dried","[""kg""]","","","","",""
"3002.12.00.30","3","Human immune blood sera","[""kg""]","","","","",""
"3002.12.00.40","3","Fetal Bovine Serum (FBS)","[""kg""]","","","","",""
"3002.12.00.90","3","Other","[""kg""]","","","","",""
"3002.13.00","2","Immunological products, unmixed, not put up in measured doses or in forms or packings for retail sale","","Free","","Free","",""
"3002.13.00.10","3","Monoclonal antibodies","[""kg""]","","","","",""
"3002.13.00.90","3","Other","[""kg""]","","","","",""
"3002.14.00","2","Immunological products, mixed, not put up in measured doses or in forms or packings for retail sale","","Free","","Free","",""
"3002.14.00.10","3","Containing monoclonal antibodies","[""kg""]","","","","",""
"3002.14.00.90","3","Other","[""kg""]","","","","",""
"3002.15.00","2","Immunological products, put up in measured doses or in forms or packings for retail sale","","Free","","Free","",""
"3002.15.00.11","3","Containing monoclonal antibodies","[""kg""]","","","","",""
"3002.15.00.91","3","Other","[""kg""]","","","","",""
"","1","Vaccines, toxins, cultures of micro-organisms (excluding yeasts) and similar products:","","","","","",""
"3002.41.00.00","2","Vaccines for human medicine","[""kg""]","Free","","Free","",""
"3002.42.00.00","2","Vaccines for veterinary medicine","[""kg""]","Free","","Free","",""
"3002.49.00","2","Other","","Free","","Free","",""
"3002.49.00.10","3","Ricin","[""kg""]","","","","",""
"3002.49.00.50","3","Other","[""kg""]","","","","",""
"","1","Cell cultures, whether or not modified:","","","","","",""
"3002.51.00.00","2","Cell therapy products","[""kg""]","Free","","Free","",""
"3002.59.00.00","2","Other","[""kg""]","Free","","Free","",""
"3002.90","1","Other:","","","","","",""
"3002.90.10.00","2","Ferments","[""kg""]","Free","","25%","",""
"3002.90.52","2","Other","","Free","","Free","",""
"3002.90.52.10","3","Whole human blood","[""kg""]","","","","",""
"3002.90.52.20","3","Antiallergenic preparations","[""kg""]","","","","",""
"3002.90.52.50","3","Other","[""kg""]","","","","",""
"3003","0","Medicaments (excluding goods of heading 3002, 3005 or 3006) consisting of two or more constituents which have been mixed together for therapeutic or prophylactic uses, not put up in measured doses or in forms or packings for retail sale:","","","","","",""
"3003.10.00.00","1","Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives","[""kg""]","Free","","15.4¢/kg + 49%","",""
"3003.20.00.00","1","Other, containing antibiotics","[""kg""]","Free","","25%","",""
"","1","Other, containing hormones or other products of heading 2937:","","","","","",""
"3003.31.00.00","2","Containing insulin","[""kg""]","Free","","25%","",""
"3003.39","2","Other:","","","","","",""
"3003.39.10.00","3","Artificial mixtures of natural hormones","[""g""]","Free","","25%","",""
"3003.39.50.00","3","Other","[""kg""]","Free","","30%","",""
"","1","Other, containing alkaloids or derivatives thereof:","","","","","",""
"3003.41.00.00","2","Containing ephedrine or its salts","[""kg""]","Free","","Free","",""
"3003.42.00.00","2","Containing pseudoephedrine (INN) or its salts","[""kg""]","Free","","Free","",""
"3003.43.00.00","2","Containing norephedrine or its salts","[""kg""]","Free","","Free","",""
"3003.49.00.00","2","Other","[""kg""]","Free","","Free","",""
"3003.60.00.00","1","Other, containing antimalarial active principles described in subheading note 2 to this chapter","[""kg""]","Free","","Free","",""
"3003.90.01","1","Other","","Free","","30%","",""
"","2","Anti-infective medicaments:","","","","","",""
"3003.90.01.20","3","Antivirals","[""kg""]","","","","",""
"3003.90.01.40","3","Antifungals","[""kg""]","","","","",""
"3003.90.01.60","3","Antiprotozoals (excluding goods described in subheading note 2 to this chapter)","[""kg""]","","","","",""
"3003.90.01.80","3","Other","[""kg""]","","","","",""
"3003.90.01.90","2","Other","[""kg""]","","","","",""
"3004","0","Medicaments (excluding goods of heading 3002, 3005 or 3006) consisting of mixed or unmixed products for therapeutic or prophylactic uses, put up in measured doses (including those in the form of transdermal administration systems) or in forms or packings for retail sale:","","","","","",""
"3004.10","1","Containing penicillins or derivatives thereof, with a penicillanic acid structure, or streptomycins or their derivatives:","","","","","",""
"3004.10.10","2","Containing penicillin G salts","","Free","","15.4¢/kg + 49%","",""
"3004.10.10.10","3","For veterinary use","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"3004.10.10.20","4","Singles","[""kg""]","","","","",""
"3004.10.10.45","4","Combination antibiotics","[""kg""]","","","","",""
"3004.10.50","2","Other","","Free","","15.4¢/kg + 45%","",""
"3004.10.50.10","3","For veterinary use","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"3004.10.50.45","4","Combination antibiotics","[""kg""]","","","","",""
"","4","Other:","","","","","",""
"","5","Containing amoxicillin or its salts:","","","","","",""
"3004.10.50.55","6","For oral suspension","[""kg""]","","","","",""
"3004.10.50.65","6","Other","[""kg""]","","","","",""
"3004.10.50.75","5","Other","[""kg""]","","","","",""
"3004.20.00","1","Other, containing antibiotics","","Free","","25%","",""
"3004.20.00.10","2","For veterinary use","[""kg""]","","","","",""
"","2","Other:","","","","","",""
"3004.20.00.20","3","Erythromycin, singles or in combination with other antibiotics","[""kg""]","","","","",""
"3004.20.00.30","3","Tetracycline, singles or in combination with other antibiotics","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"3004.20.00.45","4","Containing azithromycin or its salts","[""kg""]","","","","",""
"3004.20.00.55","4","Containing clindamycin or its salts","[""kg""]","","","","",""
"3004.20.00.65","4","Containing doxycycline or its salts","[""kg""]","","","","",""
"3004.20.00.75","4","Other","[""kg""]","","","","",""
"","1","Other, containing hormones or other products of heading 2937:","","","","","",""
"3004.31.00.00","2","Containing insulin","[""kg""]","Free","","25%","",""
"3004.32.00.00","2","Containing corticosteroid hormones, their derivatives or structural analogues","[""kg""]","Free","","25%","",""
"3004.39.00","2","Other","","Free","","25%","",""
"3004.39.00.10","3","For veterinary use","[""kg""]","","","","",""
"3004.39.00.50","3","Other","[""kg""]","","","","",""
"","1","Other, containing alkaloids or derivatives thereof:","","","","","",""
"3004.41.00.00","2","Containing ephedrine or its salts","[""kg""]","Free","","25%","",""
"3004.42.00.00","2","Containing pseudoephedrine (INN) or its salts","[""kg""]","Free","","25%","",""
"3004.43.00.00","2","Containing norephedrine or its salts","[""kg""]","Free","","25%","",""
"3004.49.00","2","Other","","Free","","25%","",""
"3004.49.00.05","3","For veterinary use","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"3004.49.00.10","4","Cardiovascular medicaments","[""kg""]","","","","",""
"","4","Medicaments primarily affecting the central nervous system:","","","","","",""
"3004.49.00.20","5","Anticonvulsants, hypnotics, and sedatives","[""kg""]","","","","",""
"3004.49.00.30","5","Antidepressants, tranquilizers and other psychotherapeutic agents","[""kg""]","","","","",""
"3004.49.00.40","5","Other","[""kg""]","","","","",""
"3004.49.00.50","4","Dermatological agents and local anesthetics","[""kg""]","","","","",""
"3004.49.00.60","4","Medicaments primarily affecting the eyes, ears or respiratory system","[""kg""]","","","","",""
"3004.49.00.70","4","Other","[""kg""]","","","","",""
"","1","Other, containing vitamins or other products of heading 2936:","","","","","",""
"3004.50","2","Containing vitamins synthesized wholly or in part from aromatic or modified aromatic industrial organic compounds:","","","","","",""
"3004.50.10.00","3","Vitamin B<sub>2</sub>","[""kg""]","Free","","15.4¢/kg + 62%","",""
"3004.50.20.00","3","Vitamin B<sub>12</sub>","[""kg""]","Free","","15.4¢/kg + 145.5%","",""
"3004.50.30.00","3","Vitamin E","[""kg""]","Free","","15.4¢/kg + 63.5%","",""
"3004.50.40.00","3","Other","[""kg""]","Free","","15.4¢/kg + 49%","",""
"3004.50.50","2","Other","","Free","","25%","",""
"3004.50.50.05","3","For veterinary use","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"","4","Single vitamins","","","","","",""
"3004.50.50.10","5","Combined with minerals or other nutrients","[""kg""]","","","","",""
"3004.50.50.20","5","Other","[""kg""]","","","","",""
"","4","Multiple vitamins:","","","","","",""
"3004.50.50.30","5","Combined with minerals or other nutrients","[""kg""]","","","","",""
"3004.50.50.40","5","Other","[""kg""]","","","","",""
"3004.60.00.00","1","Other, containing antimalarial active principles described in subheading note 2 to this chapter","[""kg""]","Free","","30%","",""
"3004.90","1","Other:","","","","","",""
"3004.90.10.00","2","Containing antigens or hyaluronic acid or its sodium salt","[""kg""]","Free","","Free","",""
"3004.90.92","2","Other","","Free","","30%","",""
"3004.90.92.01","3","For veterinary use","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"","4","Anti-infective medicaments:","","","","","",""
"3004.90.92.02","5","Antivirals","[""kg""]","","","","",""
"","5","Antifungals:","","","","","",""
"3004.90.92.04","6","Containing fluconazole or its salts","[""kg""]","","","","",""
"3004.90.92.06","6","Other","[""kg""]","","","","",""
"","5","Antiprotozoals (excluding goods described in subheading note 2 to this chapter):","","","","","",""
"3004.90.92.08","6","Containing metronidazole or its salts","[""kg""]","","","","",""
"3004.90.92.12","6","Other","[""kg""]","","","","",""
"3004.90.92.13","5","Sulfonamides","[""kg""]","","","","",""
"3004.90.92.14","5","Other","[""kg""]","","","","",""
"3004.90.92.15","4","Antineoplastic and immunosuppressive medicaments","[""kg""]","","","","",""
"","4","Cardiovascular medicaments:","","","","","",""
"3004.90.92.16","5","Containing metoprolol or its salts","[""kg""]","","","","",""
"3004.90.92.17","5","Containing amiodarone or its salts","[""kg""]","","","","",""
"3004.90.92.18","5","Containing diltiazem or its salts","[""kg""]","","","","",""
"3004.90.92.19","5","Containing hydralazine or its salts","[""kg""]","","","","",""
"3004.90.92.21","5","Other","[""kg""]","","","","",""
"","4","Medicaments primarily affecting the central nervous system:","","","","","",""
"","5","Analgesics, antipyretics and nonhormonal anti-inflammatory agents:","","","","","",""
"3004.90.92.22","6","Tolmetin","[""kg""]","","","","",""
"3004.90.92.23","6","Tolmetin sodium dihyrate","[""kg""]","","","","",""
"3004.90.92.25","6","Tolmetin sodium (anhydrous)","[""kg""]","","","","",""
"","6","Containing ibuprofen or its salts:","","","","","",""
"3004.90.92.27","7","For oral suspension","[""kg""]","","","","",""
