HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"3101.00.00.00","0","Animal or vegetable fertilizers, whether or not mixed together or chemically treated; fertilizers produced by the mixing or chemical treatment of animal or vegetable products","[""t""]","Free","","Free","",""
"3102","0","Mineral or chemical fertilizers, nitrogenous:","","","","","",""
"3102.10.00","1","Urea, whether or not in aqueous solution","","Free","","Free","",""
"3102.10.00.10","2","Solid urea","[""t""]","","","","",""
"","2","Other:","","","","","",""
"3102.10.00.30","3","Diesel exhaust fluid (DEF) of a kind meeting ISO 22241","[""t""]","","","","",""
"3102.10.00.50","3","Other","[""t""]","","","","",""
"","1","Ammonium sulfate; double salts and mixtures of ammonium sulfate and ammonium nitrate:","","","","","",""
"3102.21.00.00","2","Ammonium sulfate","[""t""]","Free","","Free","",""
"3102.29.00.00","2","Other","[""t""]","Free","","Free","",""
"3102.30.00.00","1","Ammonium nitrate, whether or not in aqueous solution","[""t""]","Free","","Free","",""
"3102.40.00.00","1","Mixtures of ammonium nitrate with calcium carbonate or other inorganic nonfertilizing substances","[""t""]","Free","","Free","",""
"3102.50.00.00","1","Sodium nitrate","[""t""]","Free","","Free","",""
"3102.60.00.00","1","Double salts and mixtures of calcium nitrate and ammonium nitrate","[""t""]","Free","","Free","",""
"3102.80.00.00","1","Mixtures of urea and ammonium nitrate in aqueous or ammoniacal solution","[""t""]","Free","","Free","",""
"3102.90.01.00","1","Other, including mixtures not specified in the foregoing subheadings","[""t""]","Free","","Free","",""
"3103","0","Mineral or chemical fertilizers, phosphatic:","","","","","",""
"","1","Superphosphates:","","","","","",""
"3103.11.00.00","2","Containing by weight 35 percent or more of diphosphorous pentaoxide (P<sub>2</sub>O<sub>5</sub>)","[""t""]","Free","","Free","",""
"3103.19.00.00","2","Other","[""t""]","Free","","Free","",""
"3103.90.01.00","1","Other","[""t""]","Free","","Free","",""
"3104","0","Mineral or chemical fertilizers, potassic:","","","","","",""
"3104.20.00","1","Potassium chloride","","Free","","Free","",""
"3104.20.00.10","2","Containing not more than 62 percent by weight of potassium oxide (K<sub style=""font-size: 9.75px;"">2</sub>O)","[""t""]","","","","",""
"3104.20.00.50","2","Containing more than 62 percent by weight of potassium oxide (K<sub style=""font-size: 9.75px;"">2</sub>O)","[""t""]","","","","",""
"3104.30.00.00","1","Potassium sulfate","[""t""]","Free","","Free","",""
"3104.90.01.00","1","Other","[""t""]","Free","","Free","",""
"3105","0","Mineral or chemical fertilizers containing two or three of the fertilizing elements nitrogen, phosphorus and potassium; other fertilizers; goods of this chapter in tablets or similar forms or in packages of a gross weight not exceeding 10 kg:","","","","","",""
"3105.10.00.00","1","Products of this chapter in tablets or similar forms or in packages of a gross weight not exceeding 10 kg","[""kg""]","Free","","Free","",""
"3105.20.00.00","1","Mineral or chemical fertilizers containing the three fertilizing elements nitrogen, phosphorus and potassium","[""t""]","Free","","Free","",""
"3105.30.00.00","1","Diammonium hydrogenorthophosphate (Diammonium phosphate)","[""t""]","Free","","Free","",""
"3105.40.00","1","Ammonium dihydrogenorthophosphate (Monoammonium phosphate) and mixtures thereof with diammonium hydrogenorthophosphate (Diammonium phosphate)","","Free","","Free","",""
"3105.40.00.10","2","Ammonium dihydrogenorthophosphate (Monoammonium phosphate)","[""t""]","","","","",""
"3105.40.00.50","2","Other","[""t""]","","","","",""
"","1","Other mineral or chemical fertilizers containing the two fertilizing elements nitrogen and phosphorus:","","","","","",""
"3105.51.00.00","2","Containing nitrates and phosphates","[""t""]","Free","","Free","",""
"3105.59.00.00","2","Other","[""t""]","Free","","Free","",""
"3105.60.00.00","1","Mineral or chemical fertilizers containing the two fertilizing elements phosphorus and potassium","[""t""]","Free","","Free","",""
"3105.90.00","1","Other","","Free","","Free","",""
"3105.90.00.10","2","Potassium nitrate-sodium nitrate mixtures","[""t""]","","","","",""
"3105.90.00.50","2","Other","[""t""]","","","","",""
