HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"3201","0","Tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives:","","","","","",""
"3201.10.00.00","1","Quebracho extract","[""kg""]","Free","","Free","",""
"3201.20.00.00","1","Wattle extract","[""kg""]","Free","","Free","",""
"3201.90","1","Other:","","","","","",""
"3201.90.10.00","2","Tannic acid, containing by weight 50 percent or more of tannic acid","[""kg""]","1.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","8%","",""
"3201.90.25.00","2","Extracts of canaigre, chestnut, curupay, divi-divi, eucalyptus, gambier, hemlock, larch, mangrove, myrobalan, oak, sumac, tara, urunday or valonia","[""kg""]","Free","","Free","",""
"3201.90.50.00","2","Other","[""kg""]","3.1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15%","",""
"3202","0","Synthetic organic tanning substances; inorganic tanning substances; tanning preparations, whether or not containing natural tanning substances; enzymatic preparations for pre-tanning:","","","","","",""
"3202.10","1","Synthetic organic tanning substances:","","","","","",""
"3202.10.10.00","2","Aromatic or modified aromatic","[""kg""]","6.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 48.5%","",""
"3202.10.50.00","2","Other","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR, MA,OM, P,PA,PE,S,SG)","41.5%","",""
"3202.90","1","Other:","","","","","",""
"3202.90.10.00","2","Consisting wholly of inorganic subtances","[""kg""]","Free","","25%","",""
"3202.90.50.00","2","Other","[""kg""]","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3203.00","0","Coloring matter of vegetable or animal origin (including dyeing extracts but excluding animal black), whether or not chemically defined; preparations as specified in note 3 to this chapter based on coloring matter of vegetable or animal origin:","","","","","",""
"3203.00.10.00","1","Annato, archil, cochineal, cudbear, litmus, logwood and marigold meal","[""kg""]","Free","","Free","",""
"3203.00.30.00","1","Mixtures of 3,4-dihydroxyphenyl-2,4,6-trihydroxy- phenylmethanone and 2-(2,4-dihydroxyphenyl)-3,5,7- trihydroxy-4H-1-benzopyran-4-one","[""kg""]","Free","","15%","",""
