HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"3301","0","Essential oils (terpeneless or not), including concretes and absolutes; resinoids; extracted oleoresins; concentrates of essential oils in fats, in fixed oils, in waxes or the like, obtained by enfleurage or maceration; terpenic by products of the deterpenation of essential oils; aqueous distillates and aqueous solutions of essential oils:","","","","","",""
"","1","Essential oils of citrus fruit:","","","","","",""
"3301.12.00.00","2","Of orange","[""kg""]","2.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3301.13.00.00","2","Of lemon","[""kg""]","3.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P, PA,PE,S,SG)","25%","",""
"3301.19","2","Other:","","","","","",""
"3301.19.10.00","3","Of grapefruit","[""kg""]","2.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3301.19.51","3","Other","","Free","","25%","",""
"3301.19.51.10","4","Bergamot","[""kg""]","","","","",""
"3301.19.51.20","4","Lime","[""kg""]","","","","",""
"3301.19.51.50","4","Other","[""kg""]","","","","",""
"","1","Essential oils other than those of citrus fruit:","","","","","",""
"3301.24.00.00","2","Of peppermint (<u>Mentha piperita</u>)","[""kg""]","4.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3301.25.00","2","Of other mints","","Free","","25%","",""
"3301.25.00.10","3","Of cornmint, including ""peppermint"" derived from <u>Mentha arvensis</u>","[""kg""]","","","","",""
"3301.25.00.20","3","Of spearmint","[""kg""]","","","","",""
"3301.25.00.50","3","Other","[""kg""]","","","","",""
"3301.29","2","Other:","","","","","",""
"3301.29.10.00","3","Of eucalyptus","[""kg""]","1.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15%","",""
"3301.29.20.00","3","Of orris","[""kg""]","1.1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3301.29.51","3","Other","","Free","","Free","",""
"3301.29.51.03","4","Of anise","[""kg""]","","","","",""
"3301.29.51.05","4","Of caraway","[""kg""]","","","","",""
"3301.29.51.07","4","Of cassia","[""kg""]","","","","",""
"3301.29.51.09","4","Of cedarwood","[""kg""]","","","","",""
"3301.29.51.11","4","Of citronella","[""kg""]","","","","",""
"3301.29.51.13","4","Of clove","[""kg""]","","","","",""
"3301.29.51.15","4","Of garlic","[""kg""]","","","","",""
"3301.29.51.16","4","Of geranium","[""kg""]","","","","",""
"3301.29.51.17","4","Of jasmine","[""kg""]","","","","",""
"3301.29.51.18","4","Of lavender or lavandin","[""kg""]","","","","",""
"3301.29.51.19","4","Of lemongrass","[""kg""]","","","","",""
"3301.29.51.21","4","Of linaloe or bois de rose","[""kg""]","","","","",""
"3301.29.51.25","4","Of nutmeg","[""kg""]","","","","",""
"3301.29.51.28","4","Of onion","[""kg""]","","","","",""
"3301.29.51.29","4","Of patchouli","[""kg""]","","","","",""
"3301.29.51.33","4","Of petitgrain","[""kg""]","","","","",""
"3301.29.51.35","4","Of rose (attar of roses)","[""g""]","","","","",""
"3301.29.51.37","4","Of rosemary","[""kg""]","","","","",""
"3301.29.51.39","4","Of sandalwood","[""kg""]","","","","",""
"3301.29.51.41","4","Of sassafras including <u>Ocotea</u> <u>cymbarum</u>","[""kg""]","","","","",""
"3301.29.51.42","4","Of vetiver","[""kg""]","","","","",""
"3301.29.51.43","4","Of ylang ylang or cananga","[""kg""]","","","","",""
"3301.29.51.50","4","Other","[""kg""]","","","","",""
"3301.30.00.00","1","Resinoids","[""kg""]","Free","","Free","",""
"3301.90","1","Other:","","","","","",""
"3301.90.10","2","Extracted oleoresins","","3.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3301.90.10.10","3","Paprika","[""kg""]","","","","",""
"3301.90.10.20","3","Black pepper","[""kg""]","","","","",""
"3301.90.10.50","3","Other","[""kg""]","","","","",""
"3301.90.50.00","2","Other","[""kg""]","Free","","20%","",""
"3302","0","Mixtures of odoriferous substances and mixtures (including alcoholic solutions) with a basis of one or more of these substances, of a kind used as raw materials in industry; other preparations based on odoriferous substances, of a kind used for the manufacture of beverages:","","","","","",""
"3302.10","1","Of a kind used in the food or drink industries:","","","","","",""
"3302.10.10.00","2","Not containing alcohol","[""kg""]","Free","","25%","",""
"","2","Containing alcohol:","","","","","",""
"3302.10.20.00","3","Containing not over 20 percent of alcohol by weight","[""kg""]","Free","","44¢/kg + 25%","",""
