HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"3601.00.00.00","0","Propellant powders","[""kg""]","3.25%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"3602.00.00","0","Prepared explosives, other than propellant powders","","Free","","Free","",""
"3602.00.00.30","1","Dynamite and other high explosives, put up in cartridges, sticks or other forms, suitable for blasting","[""kg""]","","","","",""
"3602.00.00.60","1","Other","[""kg""]","","","","",""
"3603","0","Safety fuses; detonating cords; percussion or detonating caps; igniters; electric detonators:","","","","","",""
"3603.10.00.00","1","Safety fuses","[""thousand m""]","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","8.3%","",""
"3603.20.00.00","1","Detonating cords","[""thousand m""]","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","8.3%","",""
"3603.30.00.00","1","Percussion caps","[""thousands""]","4.2%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"3603.40.00.00","1","Detonating caps","[""No.""]","0.2%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","0.3%","",""
"3603.50.00.00","1","Igniters","[""No.""]","0.2%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","0.3%","",""
"3603.60.00.00","1","Electric detonators","[""No.""]","0.2%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","0.3%","",""
"3604","0","Fireworks, signaling flares, rain rockets, fog signals and other pyrotechnic articles:","","","","","",""
"3604.10","1","Fireworks:","","","","","",""
"3604.10.10.00","2","Display or special fireworks (Class 1.3G)","[""kg""]","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","12.5%","",""
"3604.10.90","2","Other (including Class 1.4G)","","5.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","12.5%","",""
"3604.10.90.10","3","Class 1.4G (Class C)","[""kg""]","","","","",""
"3604.10.90.50","3","Other","[""kg""]","","","","",""
"3604.90.00.00","1","Other","[""kg""]","6.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"3605.00.00","0","Matches, other than pyrotechnic articles of heading 3604","","Free","","20¢/gross of immediate containers","",""
"3605.00.00.30","1","Matches with natural wood stems","[""kg""]","","","","",""
"3605.00.00.60","1","Other","[""kg""]","","","","",""
"3606","0","Ferrocerium and other pyrophoric alloys in all forms; articles of combustible materials as specified in note 2 to this chapter:","","","","","",""
"3606.10.00.00","1","Liquid or liquefied-gas fuels in containers of a kind used for filling or refilling cigarette or similar lighters and of a capacity not exceeding 300 cm<sup>3</sup>","[""No.""]","Free","","Free","",""
"3606.90","1","Other:","","","","","",""
"3606.90.30.00","2","Ferrocerium and other pyrophoric alloys","[""kg""]","5.9%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA,OM,P, PA,PE,S,SG)","56.7%","",""
"3606.90.40.00","2","Metaldehyde","[""kg""]","Free","","25%","",""
"3606.90.80.00","2","Other","[""kg""]","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
