HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"3801","0","Artificial graphite; colloidal or semi-colloidal graphite; preparations based on graphite or other carbon in the form of pastes, blocks, plates or other semimanufactures:","","","","","",""
"3801.10","1","Artificial graphite:","","","","","",""
"3801.10.10.00","2","Plates, rods, powder and other forms, wholly or partly manufactured, for manufacturing into brushes for electric generators, motors or other machines or appliances","[""kg""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"3801.10.50","2","Other","","Free","","10%","",""
"3801.10.50.10","3","Surface-modified spherical graphite","[""kg""]","","","","",""
"3801.10.50.90","3","Other","[""kg""]","","","","",""
"3801.20.00.00","1","Colloidal or semi-colloidal graphite","[""kg""]","Free","","10%","",""
"3801.30.00.00","1","Carbonaceous pastes for electrodes and similar pastes for furnace linings","[""kg""]","4.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"3801.90.00.00","1","Other","[""kg""]","4.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"3802","0","Activated carbon; activated natural mineral products; animal black, including spent animal black:","","","","","",""
"3802.10.00","1","Activated carbon","","4.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"3802.10.00.10","2","Derived from coal","[""kg""]","","","","",""
"3802.10.00.20","2","Derived from coconut","[""kg""]","","","","",""
"3802.10.00.50","2","Other","[""kg""]","","","","",""
"3802.90","1","Other:","","","","","",""
"3802.90.10.00","2","Bone black","[""kg""]","5.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"3802.90.20.00","2","Activated clays and activated earths","[""kg""]","2.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","0.6¢/kg +30%","",""
"3802.90.50.00","2","Other","[""kg""]","4.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"3803.00.00.00","0","Tall oil, whether or not refined","[""kg""]","Free","","20%","",""
"3804.00","0","Residual lyes from the manufacture of wood pulp, whether or not concentrated, desugared or chemically treated, including lignin sulfonates, but excluding tall oil of heading 3803:","","","","","",""
"3804.00.10.00","1","Lignin sulfonic acid and its salts","[""kg""]","Free","","20%","",""
"3804.00.50.00","1","Other","[""kg""]","3.7%","Free (A+,AU,BH,CL,CO,D, E,IL,JO, KR,MA,OM,P, PA,PE,S,SG)","25%","",""
"3805","0","Gum, wood or sulfate turpentine and other terpenic oils produced by the distillation or other treatment of coniferous woods; crude dipentene; sulfite turpentine and other crude para-cymene; pine oil containing alpha-terpineol as the main constituent:","","","","","",""
