HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"","2","I. PRIMARY FORMS","","","","","",""
"3901","0","Polymers of ethylene, in primary forms:","","","","","",""
"3901.10","1","Polyethylene having a specific gravity of less than 0.94:","","","","","",""
"3901.10.10.00","2","Having a relative viscosity of 1.44 or more","[""kg""]","6.5%","Free (AU,BH,CL,CO,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","43%","",""
"3901.10.50","2","Other","","6.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","43%","",""
"3901.10.50.10","3","Linear low density polyethylene","[""kg""]","","","","",""
"3901.10.50.20","3","Low density polyethylene, except linear low density polyethylene","[""kg""]","","","","",""
"3901.10.50.30","3","Medium density polyethylene","[""kg""]","","","","",""
"3901.20","1","Polyethylene having a specific gravity of 0.94 or more:","","","","","",""
"3901.20.10.00","2","Having a relative viscosity of 1.44 or more","[""kg""]","6.5%","Free (AU,BH,CL,CO,E,IL, JO,KR,MA, OM,P, PA,PE,S,SG)","43%","",""
"3901.20.50.00","2","Other","[""kg""]","6.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","43%","",""
"3901.30","1","Ethylene-vinyl acetate copolymers:","","","","","",""
"3901.30.20.00","2","Vinyl acetate-vinyl chloride-ethylene terpolymers, containing by weight less than 50 percent derivatives of vinyl acetate, except those polymerized from aromatic or modified aromatic monomers","[""kg""]","Free","","43.5%","",""
"3901.30.60.00","2","Other","[""kg""]","5.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","43.5%","",""
"3901.40.00.00","1","Ethylene-alpha-olefin copolymers, having a specific gravity of less than 0.94","[""kg""]","6.5%","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","43%","",""
"3901.90","1","Other:","","","","","",""
"3901.90.10.00","2","Elastomeric","[""kg""]","Free","","20%","",""
"","2","Other:","","","","","",""
"3901.90.55.01","3","Ethylene copolymers","[""kg""]","6.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","43%","",""
"3901.90.90.00","3","Other","[""kg""]","6.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,K,KR,MA,OM,P,PA,PE,S,SG)","2.2¢/kg +33.5%","",""
"3902","0","Polymers of propylene or of other olefins, in primary forms:","","","","","",""
"3902.10.00.00","1","Polypropylene","[""kg""]","6.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","33.5%","",""
"3902.20","1","Polyisobutylene:","","","","","",""
"3902.20.10.00","2","Elastomeric","[""kg""]","Free","","20%","",""
"3902.20.50.00","2","Other","[""kg""]","6.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","2.2¢/kg + 33.5%","",""
"3902.30.00.00","1","Propylene copolymers","[""kg""]","6.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","2.2¢/kg + 33.5%","",""
