HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"4001","0","Natural rubber, balata, gutta-percha, guayule, chicle and similar natural gums, in primary forms or in plates, sheets or strip:","","","","","",""
"4001.10.00.00","1","Natural rubber latex, whether or not pre-vulcanized","[""kg""]","Free","","Free","",""
"","1","Natural rubber in other forms:","","","","","",""
"4001.21.00","2","Smoked sheets","","Free","","Free","",""
"4001.21.00.10","3","Grade 1","[""kg""]","","","","",""
"4001.21.00.20","3","Grade 2","[""kg""]","","","","",""
"4001.21.00.30","3","Grade 3","[""kg""]","","","","",""
"4001.21.00.50","3","Other","[""kg""]","","","","",""
"4001.22.00","2","Technically specified natural rubber (TSNR)","","Free","","Free","",""
"4001.22.00.05","3","Grade 5","[""kg""]","","","","",""
"4001.22.00.10","3","Grade CV","[""kg""]","","","","",""
"4001.22.00.15","3","Grade L","[""kg""]","","","","",""
"4001.22.00.20","3","Grade 10","[""kg""]","","","","",""
"4001.22.00.25","3","Grade 20","[""kg""]","","","","",""
"4001.22.00.50","3","Other","[""kg""]","","","","",""
"4001.29.00.00","2","Other","[""kg""]","Free","","Free","",""
"4001.30.00","1","Balata, gutta-percha, guayule, chicle and similar natural gums","","Free","","Free","",""
"4001.30.00.05","2","Balata","[""kg""]","","","","",""
"4001.30.00.10","2","Gutta-percha and guttas, not elsewhere specified or included","[""kg""]","","","","",""
"4001.30.00.20","2","Chicle","[""kg""]","","","","",""
"4001.30.00.55","2","Other","[""kg""]","","","","",""
"4002","0","Synthetic rubber and factice derived from oils, in primary forms or in plates, sheets or strip; mixtures of any product of heading 4001 with any product of this heading, in primary forms or in plates, sheets or strip:","","","","","",""
"","1","Styrene-butadiene rubber (SBR); carboxylated styrene-butadiene rubber (XSBR):","","","","","",""
"4002.11.00.00","2","Latex","[""kg""]","Free","","20%","",""
"4002.19.00","2","Other","","Free","","20%","",""
"","3","Containing 50 percent or less styrene by weight of the dry polymer:","","","","","",""
"4002.19.00.14","4","Styrene-butadiene-styrene block co- polymers produced by solution polymerization (SBS, thermoplastic elastormers), in granules, crumbs or powders","[""kg""]","","","","",""
"4002.19.00.15","4","Styrene-butadiene rubber produced by emulsion polymerization (E-SBR) in bales","[""kg""]","","","","",""
"4002.19.00.16","4","Styrene-butadiene rubber produced by solution polymerization (S-SBR) in bales","[""kg""]","","","","",""
"4002.19.00.19","4","Other","[""kg""]","","","","",""
"4002.19.00.20","3","Containing over 50 percent styrene by weight of the dry polymer","[""kg""]","","","","",""
"4002.20.00.00","1","Butadiene rubber (BR)","[""kg""]","Free","","20%","",""
"","1","Isobutene-isoprene (butyl) rubber (IIR); halo-isobutene-isoprene rubber (CIIR or BIIR):","","","","","",""
"4002.31.00.00","2","Isobutene-isoprene (butyl) rubber (IIR)","[""kg""]","Free","","20%","",""
"4002.39.00.00","2","Other","[""kg""]","Free","","20%","",""
"","1","Chloroprene (chlorobutadiene) rubber (CR):","","","","","",""
"4002.41.00.00","2","Latex","[""kg""]","Free","","20%","",""
"4002.49.00.00","2","Other","[""kg""]","Free","","20%","",""
"","1","Acrylonitrile-butadiene rubber (NBR):","","","","","",""
"4002.51.00.00","2","Latex","[""kg""]","Free","","20%","",""
"4002.59.00.00","2","Other","[""kg""]","Free","","20%","",""
"4002.60.00.00","1","Isoprene rubber (IR)","[""kg""]","Free","","20%","",""
"4002.70.00.00","1","Ethylene-propylene-nonconjugated diene rubber (EPDM)","[""kg""]","Free","","20%","",""
"4002.80.00.00","1","Mixtures of any product of heading 4001 with any product of this heading","[""kg""]","Free","","20%","",""
"","1","Other:","","","","","",""
"4002.91.00.00","2","Latex","[""kg""]","Free","","20%","",""
"4002.99.00.00","2","Other","[""kg""]","Free","","20%","",""
"4003.00.00.00","0","Reclaimed rubber in primary forms or in plates, sheets or strip","[""kg""]","Free","","Free","",""
"4004.00.00.00","0","Waste, parings and scrap of rubber (other than hard rubber) and powders and granules obtained therefrom","[""kg""]","Free","","Free","",""
"4005","0","Compounded rubber, unvulcanized, in primary forms or in plates, sheets or strip:","","","","","",""
"4005.10.00.00","1","Compounded with carbon black or silica","[""kg""]","Free","","20%","",""
"4005.20.00.00","1","Solutions; dispersions other than those of subheading 4005.10","[""kg""]","Free","","20%","",""
"","1","Other:","","","","","",""
"4005.91.00.00","2","Plates, sheets, and strip","[""kg""]","Free","","20%","",""
"4005.99.00.00","2","Other","[""kg""]","Free","","20%","",""
"4006","0","Other forms (for example, rods, tubes and profile shapes) and articles (for example, discs and rings), of unvulcanized rubber:","","","","","",""
"4006.10.00.00","1","""Camel-back"" strips for retreading rubber tires","[""kg""]","2.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"4006.90","1","Other:","","","","","",""
"4006.90.10.00","2","Of natural rubber","[""kg""]","Free","","35%","",""
"4006.90.50.00","2","Other","[""kg""]","2.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"4007.00.00.00","0","Vulcanized rubber thread and cord","[""kg""]","Free","","35%","",""
"4008","0","Plates, sheets, strip, rods and profile shapes, of vulcanized rubber other than hard rubber:","","","","","",""
"","1","Of cellular rubber:","","","","","",""
"4008.11","2","Plates, sheets and strip:","","","","","",""
"4008.11.10.00","3","Of natural rubber","[""kg""]","Free","","25%","",""
"4008.11.50.00","3","Other","[""kg""]","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"4008.19","2","Other:","","","","","",""
"","3","Of natural rubber:","","","","","",""
"4008.19.20.00","4","Profile shapes","[""kg""]","Free","","25%","",""
"4008.19.40.00","4","Other","[""kg""]","Free","","25%","",""
"","3","Other:","","","","","",""
"4008.19.60.00","4","Profile shapes","[""kg""]","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"4008.19.80.00","4","Other","[""kg""]","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"","1","Of noncellular rubber:","","","","","",""
"4008.21.00.00","2","Plates, sheets and strip","[""kg""]","Free","","40%","",""
"4008.29","2","Other:","","","","","",""
"4008.29.20.00","3","Profile shapes","[""kg""]","2.9%","Free (A,AU,B,BH,C,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"4008.29.40.00","3","Other","[""kg""]","2.9%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"4009","0","Tubes, pipes and hoses, of vulcanized rubber other than hard rubber, with or without their fittings (for example, joints, elbows, flanges):","","","","","",""
"","1","Not reinforced or otherwise combined with other materials:","","","","","",""
"4009.11.00.00","2","Without fittings","[""kg""]","2.5%","Free (A*,AU,B,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4009.12.00","2","With fittings","","2.5%","Free (A,AU,B,BH,C,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4009.12.00.20","3","Brake hoses for the vehicles of subheadings 8701.21, 8701.22, 8701.23, 8701.24 or 8701.29 or headings 8702, 8703, 8704, 8705 or 8711","[""kg""]","","","","",""
"4009.12.00.50","3","Other","[""kg""]","","","","",""
"","1","Reinforced or otherwise combined only with metal:","","","","","",""
"4009.21.00.00","2","Without fittings","[""kg""]","2.5%","Free (A*,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4009.22.00","2","With fittings","","2.5%","Free (A,AU,B,BH,C,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4009.22.00.20","3","Brake hoses for the vehicles of subheadings 8701.21, 8701.22, 8701.23, 8701.24 or 8701.29 or headings 8702, 8703, 8704, 8705 or 8711","[""kg""]","","","","",""
"4009.22.00.50","3","Other","[""kg""]","","","","",""
"","1","Reinforced or otherwise combined only with textile materials:","","","","","",""
"4009.31.00.00","2","Without fittings","[""kg""]","2.5%","Free (A*,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4009.32.00","2","With fittings","","2.5%","Free (A*,AU,B,BH,C,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4009.32.00.20","3","Brake hoses for the vehicles of subheadings 8701.21, 8701.22, 8701.23, 8701.24 or 8701.29 or headings 8702, 8703, 8704, 8705 or 8711","[""kg""]","","","","",""
"4009.32.00.50","3","Other","[""kg""]","","","","",""
"","1","Reinforced or otherwise combined with other materials:","","","","","",""
"4009.41.00.00","2","Without fittings","[""kg""]","2.5%","Free (A*,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4009.42.00","2","With fittings","","2.5%","Free (A,AU,B,BH,C,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4009.42.00.20","3","Brake hoses for the vehicles of subheadings 8701.21, 8701.22, 8701.23, 8701.24 or 8701.29 or headings 8702, 8703, 8704, 8705 or 8711","[""kg""]","","","","",""
"4009.42.00.50","3","Other","[""kg""]","","","","",""
"4010","0","Conveyor or transmission belts or belting, of vulcanized rubber:","","","","","",""
"","1","Conveyor belts and belting:","","","","","",""
"4010.11.00.00","2","Reinforced only with metal","[""kg""]","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4010.12","2","Reinforced only with textile materials:","","","","","",""
"4010.12.10.00","3","With textile components in which vegetable fibers predominate by weight over any other single textile fiber","[""kg""]","4.1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"","3","With textile components in which man-made fibers predominate by weight over any other single textile fiber:","","","","","",""
"4010.12.50.00","4","Of a width exceeding 20 cm","[""kg""]","8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","74%","",""
"4010.12.55.00","4","Other","[""kg""]","6.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","74%","",""
"4010.12.90.00","3","Other","[""kg""]","1.9%","Free (A+,AU,BH,CL,CO,D, E,IL, JO,KR,MA,OM,P, PA,PE,S,SG)","25%","",""
"4010.19","2","Other:","","","","","",""
"","3","Combined with textile materials:","","","","","",""
"4010.19.10.00","4","With textile components in which vegetable fibers predominate by weight over any other single textile fiber","[""kg""]","4.1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"","4","With textile components in which man-made fibers predominate by weight over any other single textile fiber:","","","","","",""
"4010.19.50.00","5","Of a width exceeding 20 cm","[""kg""]","8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","74%","",""
"4010.19.55.00","5","Other","[""kg""]","6.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","74%","",""
"4010.19.80.00","4","Other","[""kg""]","1.9%","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR, MA,OM, P,PA,PE,S,SG)","25%","",""
"4010.19.91.00","3","Other","[""kg""]","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","1","Transmission belts or belting:","","","","","",""
"4010.31","2","Endless transmission belts of trapezoidal cross section (V-belts),V-ribbed, of an outside circumference exceeding 60 cm but not exceeding 180 cm:","","","","","",""
"4010.31.30.00","3","Combined with textile materials","[""kg""]","3.4%","Free (A+,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"4010.31.60.00","3","Other","[""kg""]","2.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4010.32","2","Endless transmission belts of trapezoidal cross section (V-belts), other than V-ribbed, of an outside circumference exceeding 60 cm but not exceeding 180 cm:","","","","","",""
"4010.32.30.00","3","Combined with textile materials","[""kg""]","3.4%","Free (A+,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"4010.32.60.00","3","Other","[""kg""]","2.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4010.33","2","Endless transmission belts of trapezoidal cross section (V-belts), V-ribbed, of an outside circumference exceeding 180 cm but not exceeding 240 cm:","","","","","",""
"4010.33.30.00","3","Combined with textile materials","[""kg""]","3.4%","Free (A+,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"4010.33.60.00","3","Other","[""kg""]","2.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4010.34","2","Endless transmission belts of trapezoidal cross section (V-belts), other thanV-ribbed, of an outside circumference exceeding 180 cm but not exceeding 240 cm:","","","","","",""
"4010.34.30.00","3","Combined with textile materials","[""kg""]","3.4%","Free (A+,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"4010.34.60.00","3","Other","[""kg""]","2.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4010.35","2","Endless synchronous belts of an outside circumference exceeding 60 cm but not exceeding 150 cm:","","","","","",""
"","3","Combined with textile materials:","","","","","",""
"4010.35.30.00","4","With textile components in which vegetable fibers predominate by weight over any other single textile fiber","[""kg""]","4.1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"","4","With textile components in which man-made fibers predominate by weight over any other single textile fiber:","","","","","",""
"4010.35.41.00","5","Of a width exceeding 20 cm","[""kg""]","8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","74%","",""
"4010.35.45.00","5","Other","[""kg""]","6.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","74%","",""
