HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"4201.00","0","Saddlery and harness for any animal (including traces, leads, knee pads, muzzles, saddle cloths, saddle bags, dog coats and the like), of any material:","","","","","",""
"4201.00.30.00","1","Dog leashes, collars, muzzles, harnesses and similar dog equipment","[""No.""]","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"4201.00.60.00","1","Other","[""No.""]","2.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15%","",""
"4202","0","Trunks, suitcases, vanity cases, attache cases, briefcases, school satchels, spectacle cases, binocular cases, camera cases, musical instrument cases, gun cases, holsters and similar containers; traveling bags, insulated food or beverage bags, toiletry bags, knapsacks and backpacks, handbags, shopping bags, wallets, purses, map cases, cigarette cases, tobacco pouches, tool bags, sports bags, bottle cases, jewelry boxes, powder cases, cutlery cases and similar containers, of leather or of composition leather, of sheeting of plastics, of textile materials, of vulcanized fiber or of paperboard, or wholly or mainly covered with such materials or with paper:","","","","","",""
"","1","Trunks, suitcases, vanity cases, attache cases, briefcases, school satchels and similar containers:","","","","","",""
"4202.11.00","2","With outer surface of leather or of composition leather","","8%","Free (A,AU,BH,CL,CO,D,IL,JO,KR,MA,NP,OM,P,PA,PE,R,S,SG) 6.4% (E)","35%","",""
"4202.11.00.30","3","Attache cases, briefcases, school satchels, occupational luggage cases and similar containers","[""No.""]","","","","",""
"4202.11.00.90","3","Other","[""No.""]","","","","",""
"4202.12","2","With outer surface of plastics or of textile materials:","","","","","",""
"","3","With outer surface of plastics:","","","","","",""
"4202.12.21","4","Trunks, suitcases, vanity cases and similar containers","","20%","Free (A,AU,BH,CL,CO,D,IL,JO,KR,MA,NP,OM,P,PA,PE,R,S,SG) 17.5% (E)","45%","",""
"4202.12.21.20","5","Structured, rigid on all sides","[""No.""]","","","","",""
"4202.12.21.50","5","Other","[""No.""]","","","","",""
"4202.12.29","4","Other","","20%","Free (AU,BH,CL,CO,D,IL,JO,KR,MA,NP, OM,P,PA,PE,R,S,SG) 17.5% (E)","45%","",""
"","5","Structured, rigid on all sides:","","","","","",""
"4202.12.29.10","6","Attache cases, briefcases and similar containers","[""No.""]","","","","",""
"4202.12.29.25","6","Other","[""No.""]","","","","",""
"","5","Other:","","","","","",""
"4202.12.29.35","6","Attache cases, briefcases and similar containers","[""No.""]","","","","",""
"4202.12.29.85","6","Other","[""No.""]","","","","",""
"","3","With outer surface of textile materials:","","","","","",""
"","4","Of vegetable fibers and not of pile or tufted construction:","","","","","",""
"4202.12.40.00","5","Of cotton (369)","[""No."",""kg""]","6.3%","Free (A,AU,BH,CL,CO,D,IL,JO,KR, MA,NP,OM,P,PA,PE,S,SG) 4.9% (E)","40%","",""
"4202.12.60.00","5","Other (870)","[""No."",""kg""]","5.7%","Free (AU,BH,CL,CO,IL,JO,KR,MA,NP, OM,P,PA,PE,S,SG) 4.4% (E)","40%","",""
