HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"4501","0","Natural cork, raw or simply prepared; waste cork; crushed, granulated or ground cork:","","","","","",""
"4501.10.00.00","1","Natural cork, raw or simply prepared","[""kg""]","Free","","Free","",""
"4501.90","1","Other:","","","","","",""
"4501.90.20.00","2","Waste cork","[""kg""]","Free","","Free","",""
"4501.90.40.00","2","Crushed, granulated or ground cork","[""kg""]","Free","","6.6¢/kg","",""
"4502.00.00.00","0","Natural cork, debacked or roughly squared, or in rectangular (including square) blocks, plates, sheets or strip (including sharp-edged blanks for corks or stoppers)","[""kg""]","Free","","22¢/kg","",""
"4503","0","Articles of natural cork:","","","","","",""
"4503.10","1","Corks and stoppers:","","","","","",""
"","2","Tapered and of a thickness (or length) greater than the maximum diameter:","","","","","",""
"4503.10.20.00","3","With maximum diameter not over 19 mm","[""kg""]","Free","","68¢/kg","",""
"","3","Other:","","","","","",""
"4503.10.30.00","4","Wholly of cork, of a thickness (or length) greater than the maximum diameter","[""kg""]","Free","","55¢/kg","",""
"4503.10.40.00","4","Other","[""kg""]","Free","","55¢/kg","",""
"4503.10.60.00","2","Other","[""kg""]","Free","","55¢/kg","",""
"4503.90","1","Other:","","","","","",""
"4503.90.20.00","2","Disks, wafers and washers","[""kg""]","Free","","55¢/kg","",""
"4503.90.40.00","2","Wallcoverings, backed with paper or otherwise reinforced","[""kg""]","Free","","3.3¢/kg + 20%","",""
"4503.90.60.00","2","Other","[""kg""]","14%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"4504","0","Agglomerated cork (with or without a binding substance) and articles of agglomerated cork:","","","","","",""
"4504.10","1","Blocks, plates, sheets and strip; tiles of any shape; solid cylinders, including disks:","","","","","",""
"4504.10.10.00","2","Vulcanized sheets and slabs wholly of ground or pulverized cork and rubber","[""kg""]","Free","","25%","",""
"4504.10.20.00","2","Insulation, coated or not coated, of compressed cork","[""m<sup>3<\/sup>"",""kg""]","Free","","Free","",""
"4504.10.30.00","2","Floor coverings","[""kg""]","Free","","22¢/kg","",""
"4504.10.40.00","2","Wallcoverings, backed with paper or otherwise reinforced","[""kg""]","Free","","3.3¢/kg + 20%","",""
"","2","Corks, stoppers, disks, wafers and washers:","","","","","",""
"4504.10.45.00","3","Stoppers, not tapered, wholly of cork, of a thickness (or length) greater than the maximum diameter","[""kg""]","Free","","55¢/kg","",""
"4504.10.47.00","3","Other","[""kg""]","Free","","55¢/kg","",""
"4504.10.50.00","2","Other","[""kg""]","Free","","45%","",""
"4504.90.00.00","1","Other","[""kg""]","Free","","45%","",""
