HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"4601","0","Plaits and similar products of plaiting materials, whether or not assembled into strips; plaiting materials, plaits and similar products of plaiting materials, bound together in parallel strands or woven, in sheet form, whether or not being finished articles (for example, mats, matting, screens):","","","","","",""
"","1","Mats, matting and screens of vegetable materials:","","","","","",""
"4601.21","2","Of bamboo:","","","","","",""
"4601.21.40.00","3","Woven or partly assembled","[""kg""]","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"","3","Other:","","","","","",""
"4601.21.80.00","4","Floor coverings","[""kg""]","Free","","40%","",""
"4601.21.90.00","4","Other","[""kg""]","8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"4601.22","2","Of rattan:","","","","","",""
"4601.22.40.00","3","Woven or partly assembled","[""kg""]","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"","3","Other:","","","","","",""
"4601.22.80.00","4","Floor coverings","[""kg""]","Free","","40%","",""
"4601.22.90.00","4","Other","[""kg""]","8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"4601.29","2","Other:","","","","","",""
"","3","Woven or partly assembled:","","","","","",""
"4601.29.40.00","4","Of willow","[""kg""]","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"4601.29.60.00","4","Other","[""kg""]","4.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"","3","Other:","","","","","",""
"4601.29.80.00","4","Floor coverings","[""kg""]","Free","","40%","",""
"4601.29.90.00","4","Other","[""kg""]","8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"","1","Other:","","","","","",""
"4601.92","2","Of bamboo:","","","","","",""
"4601.92.05.00","3","Plaits and similar products of plaiting materials, whether or not assembled into strips","[""kg""]","2.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"4601.92.20.00","3","Other","[""kg""]","6.6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"4601.93","2","Of rattan:","","","","","",""
"4601.93.01.00","3","Webbing","[""m<sup>2<\/sup>""]","Free","","20%","",""
"4601.93.05.00","3","Plaits and similar products of plaiting materials, whether or not assembled into strips","[""kg""]","2.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"4601.93.20.00","3","Other","[""kg""]","6.6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"4601.94","2","Of other vegetable materials:","","","","","",""
"4601.94.05.00","3","Plaits and similar products of plaiting materials, whether or not assembled into strips","[""kg""]","2.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"","3","Other:","","","","","",""
"4601.94.20.00","4","Of willow or wood","[""kg""]","6.6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"4601.94.40.00","4","Other","[""kg""]","Free","","25%","",""
"4601.99","2","Other:","","","","","",""
"4601.99.05.00","3","Plaits and similar products of plaiting materials, whether or not assembled into strips","[""kg""]","2.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"4601.99.90.00","3","Other","[""kg""]","3.3%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","25%","",""
"4602","0","Basketwork, wickerwork and other articles, made directly to shape from plaiting materials or made up from articles of heading 4601; articles of loofah:","","","","","",""
"","1","Of vegetable materials:","","","","","",""
"4602.11","2","Of bamboo:","","","","","",""
"4602.11.05.00","3","Fishing baskets or creels","[""No.""]","5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"","3","Other baskets and bags, whether or not lined:","","","","","",""
"4602.11.07.00","4","Wickerwork","[""No.""]","Free","","50%","",""
