HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"4801.00.01","0","Newsprint, in rolls or sheets","","Free","","Free","",""
"4801.00.01.20","1","Standard newsprint paper","[""t""]","","","","",""
"4801.00.01.40","1","Other","[""t""]","","","","",""
"4802","0","Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, and non perforated punch-cards and punch tape paper, in rolls or rectangular (including square) sheets, of any size, other than paper of heading 4801 or 4803; hand-made paper and paperboard:","","","","","",""
"4802.10.00.00","1","Handmade paper and paperboard","[""kg""]","Free","","17.5%","",""
"4802.20","1","Paper and paperboard of a kind used as a base for photo-sensitive, heat-sensitive or electro-sensitive paper or paperboard:","","","","","",""
"4802.20.10.00","2","In strips or rolls of a width exceeding <il>15 cm</il> or in rectangular (including square) sheets with one side exceeding <il>36 cm</il> and the other side exceeding <il>15 cm</il> in the unfolded state","[""m²""]","Free","","20%","",""
"","2","Other:","","","","","",""
"4802.20.20.00","3","Basic paper to be sensitized for use in photography","[""kg"",""m²""]","Free","","5%","",""
"4802.20.40","3","Other","","Free","","30%","",""
"4802.20.40.20","4","Containing by weight 25 percent or more cotton fiber","[""kg""]","","","","",""
"4802.20.40.40","4","Other","[""kg""]","","","","",""
"4802.40.00.00","1","Wallpaper base (hanging paper)","[""kg""]","Free","","10%","",""
"","1","Other paper and paperboard, not containing fibers obtained by a mechanical or chemi-mechanical process or of which not more than <il>10 percent</il> by weight of the total fiber content consists of such fibers:","","","","","",""
"4802.54","2","Weighing less than <il>40 g/m²:</il>","","","","","",""
"","3","In strips or rolls of a width exceeding <il>15 cm</il> or in rectangular (including square) sheets with one side exceeding <il>36 cm</il> and the other side exceeding <il>15 cm</il> in the unfolded state:","","","","","",""
"4802.54.10.00","4","Writing paper","[""kg""]","Free","","28%","",""
"4802.54.20.00","4","India and bible paper","[""kg""]","Free","","18%","",""
"4802.54.31.00","4","Other","[""kg""]","Free","","11.5%","",""
"","3","Other:","","","","","",""
"4802.54.50.00","4","Basic paper to be sensitized for use in photography","[""kg"",""m<sup>2<\/sup>""]","Free","","5%","",""
"4802.54.61.00","4","Other","[""kg""]","Free","","30%","",""
"4802.55","2","Weighing <il>40 g/m²</il> or more but not more than <il>150 g/m²</il>, in rolls:","","","","","",""
"","3","Of a width exceeding <il>15 cm:</il>","","","","","",""
"4802.55.10.00","4","Writing and cover paper","[""kg""]","Free","","28%","",""
"4802.55.20.00","4","Drawing paper","[""kg""]","Free","","15.5%","",""
"4802.55.30.00","4","India and bible paper","[""kg""]","Free","","18%","",""
"4802.55.40.00","4","Other","[""kg""]","Free","","11.5%","",""
"","3","Other:","","","","","",""
"4802.55.60.00","4","Basic paper to be sensitized for use in photography","[""kg"",""m²""]","Free","","5%","",""
"4802.55.70","4","Other","","Free","","30%","",""
"4802.55.70.20","5","Containing by weight 25 percent or more cotton fiber","[""kg""]","","","","",""
"4802.55.70.40","5","Other","[""kg""]","","","","",""
"4802.56","2","Weighing <il>40 g/m²</il> or more but not more than <il>150 g/m²</il>, in sheets with one side not exceeding <il>435 mm</il> and the other side not exceeding <il>297 mm</il> in the unfolded state:","","","","","",""
"","3","With one side exceeding <il>360 mm</il> and the other side exceeding <il>150 mm</il> in the unfolded state:","","","","","",""
"4802.56.10.00","4","Writing and cover paper","[""kg""]","Free","","28%","",""
"4802.56.20.00","4","Drawing paper","[""kg""]","Free","","15.5%","",""
"4802.56.30.00","4","India and bible paper","[""kg""]","Free","","18%","",""
"4802.56.40.00","4","Other","[""kg""]","Free","","11.5%","",""
"","3","Other:","","","","","",""
"4802.56.60.00","4","Basic paper to be sensitized for use in photography","[""kg"",""m²""]","Free","","5%","",""
"4802.56.70","4","Other","","Free","","30%","",""
"4802.56.70.20","5","Containing by weight <il>25 percent</il> or more cotton fiber","[""kg""]","","","","",""
"","5","Other:","","","","","",""
"4802.56.70.50","6","Writing and cover paper","[""kg""]","","","","",""
"4802.56.70.90","6","Other","[""kg""]","","","","",""
"4802.57","2","Other, weighing <il>40 g/m²</il> or more but not more than <il>150 g/m²:</il>","","","","","",""
