HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"5001.00.00.00","0","Silkworm cocoons suitable for reeling","[""kg""]","Free","","Free","",""
"5002.00.00.00","0","Raw silk (not thrown)","[""kg""]","Free","","Free","",""
"5003.00","0","Silk waste (including cocoons unsuitable for reeling, yarn waste and garnetted stock):","","","","","",""
"5003.00.10.00","1","Not carded or combed","[""kg""]","Free","","Free","",""
"5003.00.90.00","1","Other","[""kg""]","2.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"5004.00.00.00","0","Silk yarn (other than yarn spun from silk waste) not put up for retail sale","[""kg""]","Free","","40%","",""
"5005.00.00","0","Yarn spun from silk waste, not put up for retail sale","","Free","","50%","",""
"5005.00.00.10","1","Containing 85 percent or more by weight of silk or silk waste","[""kg""]","","","","",""
"5005.00.00.90","1","Other (800)","[""kg""]","","","","",""
"5006.00","0","Silk yarn and yarn spun from silk waste, put up for retail sale; silkworm gut:","","","","","",""
"5006.00.10.00","1","Containing 85 percent or more by weight of silk or silk waste","[""kg""]","Free","","40%","",""
"5006.00.90.00","1","Other (800)","[""kg""]","Free","","40%","",""
"5007","0","Woven fabrics of silk or of silk waste:","","","","","",""
"5007.10","1","Fabrics of noil silk:","","","","","",""
"5007.10.30","2","Containing 85 percent or more by weight of silk or silk waste","","0.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","90%","",""
"","3","Not jacquard woven:","","","","","",""
"5007.10.30.20","4","More than 127 cm in width","[""m²"",""kg""]","","","","",""
"5007.10.30.40","4","Other","[""m²"",""kg""]","","","","",""
"5007.10.30.90","3","Other","[""m²"",""kg""]","","","","",""
"5007.10.60","2","Other","","3.9%","Free (AU,BH, CL,CO,E*, IL,JO,KR,MA,OM,P,PA, PE,S,SG)","90%","",""
"","3","Subject to cotton restraints or to man-made fiber restraints:","","","","","",""
"5007.10.60.10","4","Of yarns of different colors (218)","[""m²"",""kg""]","","","","",""
"5007.10.60.20","4","Other (220)","[""m²"",""kg""]","","","","",""
"5007.10.60.30","3","Subject to wool restraints (410)","[""m²"",""kg""]","","","","",""
"5007.10.60.90","3","Other (810)","[""m²"",""kg""]","","","","",""
"5007.20.00","1","Other fabrics, containing 85 percent or more by weight of silk or of silk waste other than noil silk","","Free","","90%","",""
"","2","Printed:","","","","","",""
"5007.20.00.15","3","Measuring less than 77 cm in width or less than 77 cm between selvages, with more than 47 warp yarns per cm, of a kind for use in the manufacture of neckties","[""m²"",""kg""]","","","","",""
"","3","Other:","","","","","",""
"5007.20.00.25","4","More than 127 cm in width","[""m²"",""kg""]","","","","",""
"5007.20.00.35","4","Other","[""m²"",""kg""]","","","","",""
"","2","Other:","","","","","",""
"5007.20.00.55","3","Measuring less than 77 cm in width or less than 77 cm between selvages, with more than 47 warp yarns per cm, of a kind for use in the manufacture of neckties","[""m²"",""kg""]","","","","",""
"","3","Other:","","","","","",""
"","4","Not jacquard woven:","","","","","",""
"5007.20.00.65","5","More than 127 cm in width","[""m²"",""kg""]","","","","",""
"5007.20.00.85","5","Other","[""m²"",""kg""]","","","","",""
"5007.20.00.95","4","Other","[""m²"",""kg""]","","","","",""
"5007.90","1","Other fabrics:","","","","","",""
"5007.90.30","2","Containing 85 percent or more by weight of silk or silk waste","","0.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","90%","",""
"","3","Not jacquard woven:","","","","","",""
"5007.90.30.20","4","More than 127 cm in width","[""m²"",""kg""]","","","","",""
"5007.90.30.40","4","Other","[""m²"",""kg""]","","","","",""
"5007.90.30.90","3","Other","[""m²"",""kg""]","","","","",""
"5007.90.60","2","Other","","3.9%","Free (AU,BH, CL,CO,E*, IL,JO,KR,MA,OM,P,PA, PE,S,SG)","90%","",""
"","3","Subject to cotton restraints or to man-made fiber restraints:","","","","","",""
"5007.90.60.10","4","Of yarns of different colors (218)","[""m²"",""kg""]","","","","",""
"5007.90.60.20","4","Other (220)","[""m²"",""kg""]","","","","",""
"5007.90.60.30","3","Subject to wool restraints (410)","[""m²"",""kg""]","","","","",""
"5007.90.60.90","3","Other (810)","[""m²"",""kg""]","","","","",""
