HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"5301","0","Flax, raw or processed but not spun; flax tow and waste (including yarn waste and garnetted stock):","","","","","",""
"5301.10.00.00","1","Flax, raw or retted","[""kg""]","Free","","0.3¢/kg","",""
"","1","Flax, broken, scutched, hackled or otherwise processed, but not spun:","","","","","",""
"5301.21.00.00","2","Broken or scutched","[""kg""]","0.2¢/kg","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","3.3¢/kg","",""
"5301.29.00.00","2","Other","[""kg""]","3.8%","Free (AU,BH, CL,CO,E,IL,JO,KR,MA,OM,P,PA, PE,S,SG)","20%","",""
"5301.30.00.00","1","Flax tow and waste","[""kg""]","Free","","Free","",""
"5302","0","True hemp (<u>Cannabis</u> <u>sativa</u> <u>L.</u>), raw or processed but not spun; tow and waste of true hemp (including yarn waste and garnetted stock):","","","","","",""
"5302.10.00.00","1","True hemp, raw or retted","[""kg""]","Free","","4.4¢/kg","",""
"5302.90.00.00","1","Other","[""kg""]","Free","","Free","",""
"5303","0","Jute and other textile bast fibers (excluding flax, true hemp and ramie), raw or processed but not spun; tow and waste of these fibers (including yarn waste and garnetted stock):","","","","","",""
"5303.10.00.00","1","Jute and other textile bast fibers, raw or retted","[""kg""]","Free","","Free","",""
"5303.90.00.00","1","Other","[""kg""]","Free","","Free","",""
"5305.00.00.00","0","Coconut, abaca (Manila hemp or <u>Musa</u> <u>textilis</u> <u>Nee</u>), ramie and other vegetable textile fibers, not elsewhere specified or included, raw or processed but not spun; tow, noils and waste of these fibers (including yarn waste and garnetted stock)","[""kg""]","Free","","Free","",""
"5306","0","Flax yarn:","","","","","",""
"5306.10.00.00","1","Single (800)","[""kg""]","Free","","35%","",""
"5306.20.00.00","1","Multiple (folded) or cabled (800)","[""kg""]","Free","","40%","",""
"5307","0","Yarn of jute or of other textile bast fibers of heading 5303:","","","","","",""
"5307.10.00.00","1","Single","[""kg""]","Free","","15%","",""
"5307.20.00.00","1","Multiple (folded) or cabled","[""kg""]","Free","","25%","",""
"5308","0","Yarn of other vegetable textile fibers; paper yarn:","","","","","",""
"5308.10.00.00","1","Coir yarn","[""kg""]","Free","","Free","",""
"5308.20.00.00","1","True hemp yarn (800)","[""kg""]","Free","","35%","",""
"5308.90","1","Other:","","","","","",""
"5308.90.10.00","2","Paper yarn","[""kg""]","2.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"5308.90.90.00","2","Other (800)","[""kg""]","Free","","40%","",""
"5309","0","Woven fabrics of flax:","","","","","",""
"","1","Containing 85 percent or more by weight of flax:","","","","","",""
"5309.11.00","2","Unbleached or bleached","","Free","","40%","",""
"5309.11.00.10","3","Of a width exceeding 127 cm (810)","[""m²"",""kg""]","","","","",""
"5309.11.00.90","3","Other (810)","[""m²"",""kg""]","","","","",""
"5309.19.00","2","Other","","Free","","40%","",""
"5309.19.00.10","3","Of a width exceeding 127 cm (810)","[""m²"",""kg""]","","","","",""
"5309.19.00.90","3","Other (810)","[""m²"",""kg""]","","","","",""
"","1","Containing less than 85 percent by weight of flax:","","","","","",""
"5309.21","2","Unbleached or bleached:","","","","","",""
"5309.21.20.00","3","Containing more than 17 percent by weight of wool or fine animal hair (410)","[""m²"",""kg""]","14.5%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P,PA, PE,S,SG)","90%","",""
"","3","Other:","","","","","",""
"5309.21.30","4","Containing cotton and man-made fibers","","6.9%","Free (AU,BH, CL,CO,E*,IL,JO, KR,MA,OM,P, PA,PE,S,SG)","78%","",""
"","5","Subject to cotton restraints:","","","","","",""
"5309.21.30.05","6","Poplin or broadcloth (314)","[""m²"",""kg""]","","","","",""
"5309.21.30.10","6","Sheeting (313)","[""m²"",""kg""]","","","","",""
"5309.21.30.15","6","Printcloth (315)","[""m²"",""kg""]","","","","",""
"5309.21.30.20","6","Other (220)","[""m²"",""kg""]","","","","",""
"","5","Subject to man-made fiber restraints:","","","","","",""
"5309.21.30.55","6","Poplin or broadcloth (614)","[""m²"",""kg""]","","","","",""
"5309.21.30.60","6","Sheeting (613)","[""m²"",""kg""]","","","","",""
"5309.21.30.65","6","Printcloth (615)","[""m²"",""kg""]","","","","",""
"5309.21.30.70","6","Other (220)","[""m²"",""kg""]","","","","",""
"5309.21.30.90","5","Other (810)","[""m²"",""kg""]","","","","",""
"5309.21.40","4","Other","","Free","","40%","",""
"5309.21.40.10","5","Of a width exceeding 127 cm (810)","[""m²"",""kg""]","","","","",""
"5309.21.40.90","5","Other (810)","[""m²"",""kg""]","","","","",""
"5309.29","2","Other:","","","","","",""
"5309.29.20.00","3","Containing more than 17 percent by weight of wool or fine animal hair (410)","[""m²"",""kg""]","14.5%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","90%","",""
"","3","Other:","","","","","",""
"5309.29.30","4","Containing cotton and man-made fibers","","Free","","78%","",""
"","5","Subject to cotton restraints:","","","","","",""
"5309.29.30.05","6","Poplin or broadcloth (314)","[""m²"",""kg""]","","","","",""
"5309.29.30.10","6","Sheeting (313)","[""m²"",""kg""]","","","","",""
"5309.29.30.15","6","Printcloth (315)","[""m²"",""kg""]","","","","",""
"5309.29.30.20","6","Other (220)","[""m²"",""kg""]","","","","",""
"","5","Subject to man-made fiber restraints:","","","","","",""
"5309.29.30.55","6","Poplin or broadcloth (614)","[""m²"",""kg""]","","","","",""
"5309.29.30.60","6","Sheeting (613)","[""m²"",""kg""]","","","","",""
"5309.29.30.65","6","Printcloth (615)","[""m²"",""kg""]","","","","",""
"5309.29.30.70","6","Other (220)","[""m²"",""kg""]","","","","",""
"5309.29.30.90","5","Other (810)","[""m²"",""kg""]","","","","",""
"5309.29.40","4","Other","","Free","","40%","",""
"5309.29.40.10","5","Of a width exceeding 127 cm (810)","[""m²"",""kg""]","","","","",""
"5309.29.40.90","5","Other (810)","[""m²"",""kg""]","","","","",""
"5310","0","Woven fabrics of jute or of other textile bast fibers of heading 5303:","","","","","",""
"5310.10.00","1","Unbleached","","Free","","40%","",""
"5310.10.00.20","2","Not over 130 cm in width","[""m²"",""kg""]","","","","",""
"5310.10.00.40","2","Over 130 cm but not over 250 cm in width","[""m²"",""kg""]","","","","",""
"5310.10.00.60","2","Over 250 cm in width","[""m²"",""kg""]","","","","",""
"5310.90.00.00","1","Other","[""m²"",""kg""]","Free","","11.5%","",""
"5311.00","0","Woven fabrics of other vegetable textile fibers; woven fabrics of paper yarn:","","","","","",""
"","1","Of vegetable textile fibers:","","","","","",""
