HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"6701.00","0","Skins and other parts of birds with their feathers or down, feathers, parts of feathers, down and articles thereof (other than goods of heading 0505 and worked quills and scapes):","","","","","",""
"6701.00.30.00","1","Articles of feathers or down","[""No.""]","4.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"6701.00.60.00","1","Other","[""kg""]","4.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"6702","0","Artificial flowers, foliage and fruit and parts thereof; articles made of artificial flowers, foliage or fruit:","","","","","",""
"6702.10","1","Of plastics:","","","","","",""
"6702.10.20.00","2","Assembled by binding with flexible materials such as wire, paper, textile materials, or foil, or by gluing or by similar methods","[""No.""]","8.4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"6702.10.40.00","2","Other, including parts","[""No.""]","3.4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","80%","",""
"6702.90","1","Of other materials:","","","","","",""
"6702.90.10.00","2","Of feathers","[""No.""]","4.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"","2","Other:","","","","","",""
"6702.90.35.00","3","Of man-made fibers","[""No.""]","9%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","71.5%","",""
"6702.90.65.00","3","Other","[""No.""]","17%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","90%","",""
"6703.00","0","Human hair, dressed, thinned, bleached or otherwise worked; wool or other animal hair or other textile materials, prepared for use in making wigs or the like:","","","","","",""
"6703.00.30.00","1","Human hair","[""kg""]","Free","","20%","",""
"6703.00.60.00","1","Other","[""kg""]","Free","","35%","",""
"6704","0","Wigs, false beards, eyebrows and eyelashes, switches and the like, of human or animal hair or of textile materials; articles of human hair not elsewhere specified or included:","","","","","",""
"","1","Of synthetic textile materials:","","","","","",""
"6704.11.00.00","2","Complete wigs","[""No.""]","Free","","35%","",""
"6704.19.00.00","2","Other","[""No.""]","Free","","35%","",""
"6704.20.00.00","1","Of human hair","[""No.""]","Free","","35%","",""
"6704.90.00.00","1","Of other materials","[""No.""]","Free","","35%","",""
