HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"","1","I. PRIMARY MATERIALS; PRODUCTS IN GRANULAR OR POWDER FORM","","","","","",""
"7201","0","Pig iron and spiegeleisen in pigs, blocks or other primary forms:","","","","","",""
"7201.10.00.00","1","Nonalloy pig iron containing by weight 0.5 percent or less of phosphorus","[""t""]","Free","","$1.11/t","",""
"7201.20.00.00","1","Nonalloy pig iron containing by weight more than 0.5 percent of phosphorus","[""t""]","Free","","$1.11/t","",""
"7201.50","1","Alloy pig iron; spiegeleisen:","","","","","",""
"7201.50.30.00","2","Alloy pig iron","[""t""]","Free","","$1.11/t","",""
"7201.50.60.00","2","Spiegeleisen","[""t""]","Free","","0.5%","",""
"7202","0","Ferroalloys:","","","","","",""
"","1","Ferromanganese:","","","","","",""
"7202.11","2","Containing by weight more than 2 percent of carbon:","","","","","",""
"7202.11.10.00","3","Containing by weight more than 2 percent but not more than 4 percent of carbon","[""kg"",""Mn kg""]","1.4%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6.5%","",""
"7202.11.50.00","3","Containing by weight more than 4 percent of carbon","[""kg"",""Mn kg""]","1.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","10.5%","",""
"7202.19","2","Other:","","","","","",""
"7202.19.10.00","3","Containing by weight not more than 1 percent of carbon","[""kg"",""Mn kg""]","2.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","22%","",""
"7202.19.50.00","3","Containing by weight more than 1 percent but not more than 2 percent of carbon","[""kg"",""Mn kg""]","1.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6.5%","",""
"","1","Ferrosilicon:","","","","","",""
"7202.21","2","Containing by weight more than 55 percent of silicon:","","","","","",""
"","3","Containing by weight more than 55 percent but not more than 80 percent of silicon:","","","","","",""
"7202.21.10.00","4","Containing by weight more than 3 percent of calcium","[""kg"",""Si kg""]","1.1%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","11.5%","",""
"7202.21.50.00","4","Other","[""kg"",""Si kg""]","1.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","11.5%","",""
"7202.21.75.00","3","Containing by weight more than 80 percent but not more than 90 percent of silicon","[""kg"",""Si kg""]","1.9%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","9%","",""
"7202.21.90.00","3","Containing by weight more than 90 percent of silicon","[""kg"",""Si kg""]","5.8%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"7202.29.00","2","Other","","Free","","4.4¢/kg on silicon content","",""
"7202.29.00.10","3","Containing by weight over 2 percent of magnesium","[""kg"",""Si kg""]","","","","",""
"7202.29.00.50","3","Other","[""kg"",""Si kg""]","","","","",""
"7202.30.00.00","1","Ferrosilicon manganese","[""kg"",""Mn kg""]","3.9%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","23%","",""
"","1","Ferrochromium:","","","","","",""
"7202.41.00.00","2","Containing by weight more than 4 percent of carbon","[""kg"",""Cr kg""]","1.9%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","7.5%","",""
"7202.49","2","Other:","","","","","",""
"7202.49.10.00","3","Containing by weight more than 3 percent of carbon","[""kg"",""Cr kg""]","1.9%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","7.5%","",""
"7202.49.50","3","Other","","3.1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"7202.49.50.10","4","Containing by weight more than 0.5 percent of carbon","[""kg"",""Cr kg""]","","","","",""
"7202.49.50.90","4","Other","[""kg"",""Cr kg""]","","","","",""
"7202.50.00.00","1","Ferrosilicon chromium","[""kg"",""Cr kg""]","10%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"7202.60.00.00","1","Ferronickel","[""kg"",""Ni kg""]","Free","","6.6¢/kg","",""
"7202.70.00.00","1","Ferromolybdenum","[""kg"",""Mo kg""]","4.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","31.5%","",""
"7202.80.00.00","1","Ferrotungsten and ferrosilicon tungsten","[""kg"",""W kg""]","5.6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"","1","Other:","","","","","",""
"7202.91.00.00","2","Ferrotitanium and ferrosilicon titanium","[""kg""]","3.7%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"7202.92.00.00","2","Ferrovanadium","[""kg"",""V kg""]","4.2%","Free (A+,AU,BH,CL,CO,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"7202.93","2","Ferroniobium:","","","","","",""
"7202.93.40.00","3","Containing by weight less than 0.02 percent of phosphorus or sulfur or less than 0.4 percent of silicon","[""kg""]","5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"7202.93.80.00","3","Other","[""kg""]","5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"7202.99","2","Other:","","","","","",""
"7202.99.10.00","3","Ferrozirconium","[""kg""]","4.2%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"7202.99.20.00","3","Calcium silicon","[""kg""]","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"7202.99.80","3","Other","","5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"7202.99.80.20","4","Ferrophosphorus","[""kg""]","","","","",""
"7202.99.80.40","4","Other","[""kg""]","","","","",""
"7203","0","Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, in lumps, pellets or similar forms; iron having a minimum purity by weight of 99.94 percent, in lumps, pellets or similar forms:","","","","","",""
"7203.10.00.00","1","Ferrous products obtained by direct reduction of iron ore","[""t""]","Free","","$2.21/t","",""
"7203.90.00.00","1","Other","[""t""]","Free","","$2.21/t","",""
"7204","0","Ferrous waste and scrap; remelting scrap ingots of iron or steel:","","","","","",""
"7204.10.00.00","1","Waste and scrap of cast iron","[""t""]","Free","","74¢/t","",""
"","1","Waste and scrap of alloy steel:","","","","","",""
"7204.21.00.00","2","Of stainless steel","[""t""]","Free","","74¢/t","",""
"7204.29.00.00","2","Other","[""t""]","Free","","74¢/t","",""
"7204.30.00.00","1","Waste and scrap of tinned iron or steel","[""t""]","Free","","Free","",""
"","1","Other waste and scrap:","","","","","",""
"7204.41.00","2","Turnings, shavings, chips, milling waste, sawdust, filings, trimmings and stampings, whether or not in bundles","","Free","","74¢/t","",""
"7204.41.00.20","3","No. 1 bundles","[""t""]","","","","",""
"7204.41.00.40","3","No. 2 bundles","[""t""]","","","","",""
"7204.41.00.60","3","Borings, shovelings and turnings","[""t""]","","","","",""
"7204.41.00.80","3","Other","[""t""]","","","","",""
"7204.49.00","2","Other","","Free","","74¢/t","",""
"7204.49.00.20","3","No. 1 heavy melting","[""t""]","","","","",""
"7204.49.00.40","3","No. 2 heavy melting","[""t""]","","","","",""
"","3","Other:","","","","","",""
"7204.49.00.60","4","Cut plate and structural","[""t""]","","","","",""
"7204.49.00.70","4","Shredded","[""t""]","","","","",""
"7204.49.00.80","4","Other","[""t""]","","","","",""
"7204.50.00.00","1","Remelting scrap ingots","[""t""]","Free","","74¢/t","",""
"7205","0","Granules and powders, of pig iron, spiegeleisen, iron or steel:","","","","","",""
"7205.10.00.00","1","Granules","[""kg""]","Free","","3%","",""
