HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"7301","0","Sheet piling of iron or steel, whether or not drilled, punched or made from assembled elements; welded angles, shapes and sections, of iron or steel:","","","","","",""
"7301.10.00.00","1","Sheet piling","[""kg""]","Free","","2%","",""
"7301.20","1","Angles, shapes and sections:","","","","","",""
"7301.20.10.00","2","Of iron or nonalloy steel","[""kg""]","Free","","20%","",""
"7301.20.50.00","2","Of alloy steel","[""kg""]","Free","","28%","",""
"7302","0","Railway or tramway track construction material of iron or steel, the following: rails, check-rails and rack rails, switch blades, crossing frogs, point rods and other crossing pieces, sleepers (cross-ties), fish-plates, chairs, chair wedges, sole plates (base plates), rail clips, bedplates, ties and other material specialized for jointing or fixing rails:","","","","","",""
"7302.10","1","Rails:","","","","","",""
"7302.10.10","2","Of iron or nonalloy steel","","Free","","1%","",""
"","3","New:","","","","","",""
"","4","Not heat treated:","","","","","",""
"7302.10.10.10","5","Standard tee rails over 30 kg per meter","[""kg""]","","","","",""
"","5","Other:","","","","","",""
"7302.10.10.15","6","Over 30 kg per meter","[""kg""]","","","","",""
"7302.10.10.25","6","Other","[""kg""]","","","","",""
"","4","Heat treated:","","","","","",""
"7302.10.10.35","5","Standard tee rails over 30 kg per meter","[""kg""]","","","","",""
"","5","Other:","","","","","",""
"7302.10.10.45","6","Over 30 kg per meter","[""kg""]","","","","",""
"7302.10.10.55","6","Other","[""kg""]","","","","",""
"","3","Used:","","","","","",""
"7302.10.10.65","4","Railway rails for rerolling","[""kg""]","","","","",""
"7302.10.10.75","4","Other","[""kg""]","","","","",""
"7302.10.50","2","Of alloy steel","","Free","","9%","",""
"7302.10.50.20","3","New","[""kg""]","","","","",""
"","3","Used:","","","","","",""
"7302.10.50.40","4","Railway rails for rerolling","[""kg""]","","","","",""
"7302.10.50.60","4","Other","[""kg""]","","","","",""
"7302.30.00.00","1","Switch blades, crossing frogs, point rods and other crossing pieces","[""kg""]","Free","","45%","",""
"7302.40.00.00","1","Fish-plates and sole plates","[""kg""]","Free","","2%","",""
"7302.90","1","Other:","","","","","",""
"7302.90.10.00","2","Sleepers (cross-ties)","[""kg""]","Free","","2%","",""
"7302.90.90.00","2","Other","[""kg""]","Free","","45%","",""
"7303.00.00","0","Tubes, pipes and hollow profiles, of cast iron","","Free","","33%","",""
"7303.00.00.30","1","Soil pipe","[""kg""]","","","","",""
"7303.00.00.60","1","Pressure pipe with an inside diameter of less than <il>356 mm</il>","[""kg""]","","","","",""
"7303.00.00.90","1","Other","[""kg""]","","","","",""
"7304","0","Tubes, pipes and hollow profiles, seamless, of iron (other than cast iron) or steel:","","","","","",""
"","1","Line pipe of a kind used for oil or gas pipelines:","","","","","",""
"7304.11.00","2","Of stainless steel","","Free","","35%","",""
"7304.11.00.20","3","Having an outside diameter not exceeding <il>114.3 mm</il>","[""kg""]","","","","",""
