HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"7401.00.00.00","0","Copper mattes; cement copper (precipitated copper)","[""kg""]","Free","","6%","",""
"7402.00.00.00","0","Unrefined copper; copper anodes for electrolytic refining","[""kg"",""Cu kg""]","Free","","6%","",""
"7403","0","Refined copper and copper alloys, unwrought (other than master alloys of heading 7405):","","","","","",""
"","1","Refined copper:","","","","","",""
"7403.11.00.00","2","Cathodes and sections of cathodes","[""kg""]","1%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6%","",""
"7403.12.00.00","2","Wire bars","[""kg""]","1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6%","",""
"7403.13.00.00","2","Billets","[""kg""]","1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6%","",""
"7403.19.00.00","2","Other","[""kg""]","1%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6%","",""
"","1","Copper alloys:","","","","","",""
"7403.21.00.00","2","Copper-zinc base alloys (brass)","[""kg""]","1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6%","",""
"7403.22.00.00","2","Copper-tin base alloys (bronze)","[""kg""]","1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6%","",""
"7403.29.01","2","Other copper alloys","","1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6%","",""
"7403.29.01.10","3","Copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver)","[""kg""]","","","","",""
"7403.29.01.80","3","Other","[""kg""]","","","","",""
"7404.00","0","Copper waste and scrap:","","","","","",""
"7404.00.30","1","Spent anodes; waste and scrap with a copper content of less than 94 percent by weight","","Free","","6%","",""
"7404.00.30.20","2","Of refined copper","[""kg""]","","","","",""
"","2","Of copper alloys:","","","","","",""
"","3","Of copper-zinc base alloys (brass):","","","","","",""
"7404.00.30.45","4","Containing more than 0.3 percent of lead","[""kg""]","","","","",""
"7404.00.30.55","4","Other","[""kg""]","","","","",""
"7404.00.30.65","3","Of copper-tin base alloys (bronze)","[""kg""]","","","","",""
"7404.00.30.90","3","Other","[""kg""]","","","","",""
"7404.00.60","1","Other","","Free","","6%","",""
"7404.00.60.20","2","Of refined copper","[""kg""]","","","","",""
"","2","Of copper alloys:","","","","","",""
"","3","Of copper-zinc base alloys (brass):","","","","","",""
"7404.00.60.45","4","Containing more than 0.3 percent of lead","[""kg""]","","","","",""
"7404.00.60.55","4","Other","[""kg""]","","","","",""
"7404.00.60.65","3","Of copper-tin base alloys (bronze)","[""kg""]","","","","",""
"7404.00.60.90","3","Other","[""kg""]","","","","",""
"7405.00","0","Master alloys of copper:","","","","","",""
"7405.00.10.00","1","Containing by weight 5 percent or more but not more than 15 percent of phosphorus","[""kg""]","Free","","12%","",""
"7405.00.60","1","Other","","Free","","28%","",""
"7405.00.60.30","2","Beryllium copper master alloy","[""kg""]","","","","",""
"7405.00.60.50","2","Other","[""kg""]","","","","",""
"7406","0","Copper powders and flakes:","","","","","",""
"7406.10.00.00","1","Powders of non-lamellar structure","[""kg""]","Free","","49%","",""
"7406.20.00.00","1","Powders of lamellar structure; flakes","[""kg""]","Free","","12%","",""
"7407","0","Copper bars, rods and profiles:","","","","","",""
"7407.10","1","Of refined copper:","","","","","",""
"","2","Profiles:","","","","","",""
"7407.10.15.00","3","Hollow profiles","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","48%","",""
"7407.10.30.00","3","Other","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","48%","",""
"7407.10.50","2","Bars and rods","","1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","7%","",""
"7407.10.50.10","3","Having a rectangular cross section","[""kg""]","","","","",""
"7407.10.50.50","3","Other","[""kg""]","","","","",""
"","1","Of copper alloys:","","","","","",""
"7407.21","2","Of copper-zinc base alloys (brass):","","","","","",""
"","3","Profiles:","","","","","",""
"7407.21.15.00","4","Hollow profiles","[""kg""]","2.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","17%","",""
"7407.21.30.00","4","Other","[""kg""]","2.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","17%","",""
"","3","Bars and rods:","","","","","",""
"7407.21.50.00","4","Low fuming brazing rods","[""kg""]","2.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","9%","",""
"","4","Other:","","","","","",""
"7407.21.70.00","5","Having a rectangular cross section","[""kg""]","1.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","9%","",""
"7407.21.90.00","5","Other","[""kg""]","2.2%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","9%","",""
"7407.29","2","Other:","","","","","",""
"","3","Profiles:","","","","","",""
"7407.29.16","4","Hollow","","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","48%","",""
"7407.29.16.10","5","Of copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver)","[""kg""]","","","","",""
"7407.29.16.80","5","Other","[""kg""]","","","","",""
"","4","Other:","","","","","",""
"7407.29.34.00","5","Of copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver)","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","48%","",""
"7407.29.38.00","5","Other","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","48%","",""
"7407.29.40.00","3","Bars and rods of copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver)","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","48%","",""
"7407.29.50.00","3","Other bars and rods","[""kg""]","1.6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","9%","",""
"7408","0","Copper wire:","","","","","",""
"","1","Of refined copper:","","","","","",""
"7408.11","2","Of which the maximum cross-sectional dimension exceeds 6 mm:","","","","","",""
"7408.11.30.00","3","With a maximum cross-sectional dimension over 9.5 mm","[""kg""]","1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","7%","",""
"7408.11.60.00","3","With a maximum cross-sectional dimension over 6 mm but not over 9.5 mm","[""kg""]","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","28%","",""
"7408.19.00","2","Other","","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","28%","",""
"7408.19.00.30","3","With a maximum cross-sectional dimension of <il>3 mm</il> or less","[""kg""]","","","","",""
"7408.19.00.60","3","Other","[""kg""]","","","","",""
"","1","Of copper alloys:","","","","","",""
"7408.21.00.00","2","Of copper-zinc base alloys (brass)","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","28%","",""
"7408.22","2","Of copper-nickel base alloys (cupro-nickel) or copper-nickel-zinc base alloys (nickel silver):","","","","","",""
"7408.22.10.00","3","Coated or plated with metal","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","28%","",""
"7408.22.50.00","3","Not coated or plated with metal","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","28%","",""
"7408.29","2","Other:","","","","","",""
