HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"7801","0","Unwrought lead:","","","","","",""
"7801.10.00.00","1","Refined lead","[""kg""]","2.5% on the value of the lead content","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","10%","",""
"","1","Other:","","","","","",""
"7801.91.00.00","2","Containing by weight antimony as the principal other element","[""kg"",""Pb kg""]","2.5% on the value of the lead content","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","10%","",""
"7801.99","2","Other:","","","","","",""
"7801.99.30.00","3","Lead bullion","[""kg"",""Pb kg""]","2.5% on the value of the lead content","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","10.5%","",""
"7801.99.90","3","Other","","2.5% on the value of the lead content","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","10%","",""
"7801.99.90.30","4","Alloys of lead","[""kg"",""Pb kg""]","","","","",""
"7801.99.90.50","4","Other","[""kg"",""Pb kg""]","","","","",""
"7802.00.00","0","Lead waste and scrap","","Free","","11.5%","",""
"7802.00.00.30","1","Obtained from lead-acid storage batteries","[""kg"",""Pb kg""]","","","","",""
"7802.00.00.60","1","Other","[""kg"",""Pb kg""]","","","","",""
"7804","0","Lead plates, sheets, strip and foil; lead powders and flakes:","","","","","",""
"","1","Plates, sheets, strip and foil:","","","","","",""
"7804.11.00.00","2","Sheets, strip and foil of a thickness (excluding any backing) not exceeding 0.2 mm","[""kg""]","2.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"7804.19.00.00","2","Other","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"7804.20.00.00","1","Powders and flakes","[""kg""]","Free","","45%","",""
"7806","0","Other articles of lead:","","","","","",""
"7806.00.03.00","1","Lead bars, rods, profiles and wire","[""kg""]","1.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"7806.00.05.00","1","Lead tubes, pipes and tube or pipe fittings (for example, couplings, elbows, sleeves)","[""kg""]","2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"7806.00.80.00","1","Other","[""kg""]","3%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
