HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"8001","0","Unwrought tin:","","","","","",""
"8001.10.00.00","1","Tin, not alloyed","[""kg""]","Free","","Free","",""
"8001.20.00","1","Tin alloys","","Free","","Free","",""
"8001.20.00.10","2","Containing, by weight, 5 percent or less of lead","[""kg""]","","","","",""
"8001.20.00.50","2","Containing, by weight, more than 5 percent but not more than 25 percent of lead","[""kg"",""Pb kg""]","","","","",""
"8001.20.00.90","2","Containing, by weight, more than 25 percent of lead","[""kg"",""Pb kg""]","","","","",""
"8002.00.00.00","0","Tin waste and scrap","[""kg""]","Free","","Free","",""
"8003.00.00.00","0","Tin bars, rods, profiles and wire","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"8007.00","0","Other articles of tin:","","","","","",""
"8007.00.10","1","Articles not elsewhere specified or included of a type used for household, table or kitchen use; toilet and sanitary wares; all the foregoing not coated or plated with precious metal","","2.1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"8007.00.10.10","2","Suitable for food or beverage service","[""No.""]","","","","",""
"8007.00.10.50","2","Other","[""No.""]","","","","",""
"8007.00.20.00","1","Tin plates, sheets and strip, of a thickness exceeding <il>0.2 mm</il>","[""kg""]","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"8007.00.31.00","1","Tin foil (whether or not printed or backed with paper, paperboard, plastics or similar backing materials), of a thickness (excluding any backing) not exceeding <il>0.2 mm</il>","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"8007.00.32.00","1","Powders and flakes","[""kg""]","2.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"8007.00.40.00","1","Tin tubes, pipes and tube or pipe fittings (for example, couplings, elbows, sleeves)","[""kg""]","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"8007.00.50.00","1","Other","[""kg""]","2.8%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
