HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"8201","0","Handtools of the following kinds and base metal parts thereof: spades, shovels, mattocks, picks, hoes, forks and rakes; axes, bill hooks and similar hewing tools; secateurs and pruners of any kind; scythes, sickles, hay knives, hedge shears, timber wedges and other tools of a kind used in agriculture, horticulture or forestry:","","","","","",""
"8201.10.00.00","1","Spades and shovels, and parts thereof","[""No.""]","Free","","30%","",""
"8201.30.00","1","Mattocks, picks, hoes and rakes, and parts thereof","","Free","","45%","",""
"8201.30.00.10","2","Mattocks and picks, and parts thereof","[""No.""]","","","","",""
"8201.30.00.80","2","Other","[""No.""]","","","","",""
"8201.40","1","Axes, bill hooks and similar hewing tools, and parts thereof:","","","","","",""
"8201.40.30.00","2","Machetes, and parts thereof","[""No.""]","Free","","Free","",""
"8201.40.60","2","Other","","6.2%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"8201.40.60.10","3","Axes and adzes, and parts thereof","[""No.""]","","","","",""
"8201.40.60.80","3","Other","[""No.""]","","","","",""
"8201.50.00.00","1","Secateurs and similar one-handed pruners and shears (including poultry shears), and parts thereof","[""No.""]","1¢ each + 2.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20¢ each + 45%","",""
"8201.60.00.00","1","Hedge shears, two-handed pruning shears and similar two-handed shears, and parts thereof","[""No.""]","1¢ each + 2.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20¢ each + 45%","",""
"8201.90","1","Other handtools of a kind used in agriculture, horticulture or forestry, and parts thereof:","","","","","",""
"8201.90.30.00","2","Grass shears, and parts thereof","[""No.""]","2¢ each + 5.1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20¢ each + 45%","",""
"8201.90.40.00","2","Forks, and parts thereof","[""No.""]","Free","","15%","",""
"8201.90.60.00","2","Other","[""No.""]","Free","","Free","",""
"8202","0","Handsaws, and metal parts thereof; blades for saws of all kinds (including slitting, slotting or toothless saw blades), and base metal parts thereof:","","","","","",""
"8202.10.00.00","1","Handsaws, and parts (except blades) thereof","[""No.""]","Free","","20%","",""
"8202.20.00","1","Bandsaw blades, and parts thereof","","Free","","20%","",""
"8202.20.00.30","2","Metal cutting blades","[""No.""]","","","","",""
"8202.20.00.60","2","Other","[""No.""]","","","","",""
"","1","Circular saw blades (including slitting or slotting saw blades), and parts thereof:","","","","","",""
"8202.31.00.00","2","With working part of steel","[""No.""]","Free","","25%","",""
"8202.39.00","2","Other, including parts","","Free","","25%","",""
"8202.39.00.10","3","With diamond working parts","[""No.""]","","","","",""
"8202.39.00.40","3","Diamond sawblade cores","[""No.""]","","","","",""
"8202.39.00.70","3","Other","[""No.""]","","","","",""
"8202.40","1","Chain saw blades, and parts thereof:","","","","","",""
"8202.40.30.00","2","With cutting parts containing by weight over 0.2 percent of chromium, molybdenum, or tungsten or over <il>0.1 percent</il> of vanadium","[""No.""]","7.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"8202.40.60","2","Other","","Free","","27.5%","",""
"8202.40.60.30","3","In continuous lengths","[""m""]","","","","",""
"8202.40.60.60","3","Other","[""No.""]","","","","",""
"","1","Other saw blades, and parts thereof:","","","","","",""
"8202.91","2","Straight saw blades, for working metal:","","","","","",""
"8202.91.30.00","3","Hacksaw blades","[""No.""]","Free","","20%","",""
"8202.91.60.00","3","Other","[""gross""]","Free","","40¢/gross","",""
"8202.99.00.00","2","Other (including parts)","[""No.""]","Free","","20%","",""
"8203","0","Files, rasps, pliers (including cutting pliers), pincers, tweezers, metal cutting shears, pipe cutters, bolt cutters, perforating punches and similar handtools, and base metal parts thereof:","","","","","",""
"8203.10","1","Files, rasps and similar tools:","","","","","",""
"8203.10.30.00","2","Not over 11 cm in length","[""doz.""]","Free","","47.5¢/doz.","",""
"8203.10.60.00","2","Over 11 cm but not over 17 cm in length","[""doz.""]","Free","","62.5¢/doz.","",""
"8203.10.90.00","2","Over 17 cm in length","[""doz.""]","Free","","77.5¢/doz.","",""
"8203.20","1","Pliers (including cutting pliers), pincers, tweezers and similar tools, and parts thereof:","","","","","",""
"8203.20.20.00","2","Tweezers","[""No.""]","4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"","2","Other:","","","","","",""
"8203.20.40.00","3","Slip joint pliers","[""doz.""]","12%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"8203.20.60","3","Other (except parts)","","12¢/doz. + 5.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$1.20/doz. + 60%","",""
"8203.20.60.30","4","Pliers","[""doz.""]","","","","",""
"8203.20.60.60","4","Other","[""doz.""]","","","","",""
"8203.20.80.00","3","Parts","[""No.""]","4.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"8203.30.00.00","1","Metal cutting shears and similar tools, and parts thereof","[""No.""]","Free","","50%","",""
"8203.40","1","Pipe cutters, bolt cutters, perforating punches and similar tools, and parts thereof:","","","","","",""
"8203.40.30.00","2","With cutting part containing by weight over 0.2 percent of chromium, molybdenum, or tungsten or over 0.1 percent of vanadium","[""No.""]","6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
