HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"8901","0","Cruise ships, excursion boats, ferry boats, cargo ships, barges and similar vessels for the transport of persons or goods:","","","","","",""
"8901.10.00.00","1","Cruise ships, excursion boats and similar vessels principally designed for the transport of persons; ferry boats of all kinds","[""No.""]","Free","","Free","",""
"8901.20.00.00","1","Tankers","[""No.""]","Free","","Free","",""
"8901.30.00.00","1","Refrigerated vessels, other than those of subheading 8901.20","[""No.""]","Free","","Free","",""
"8901.90.00.00","1","Other vessels for the transport of goods and other vessels for the transport of both persons and goods","[""No.""]","Free","","Free","",""
"8902.00.00.00","0","Fishing vessels; factory ships and other vessels for processing or preserving fishery products","[""No.""]","Free","","Free","",""
"8903","0","Yachts and other vessels for pleasure or sports; row boats and canoes:","","","","","",""
"","1","Inflatable (including rigid hull inflatable) boats:","","","","","",""
"8903.11.00","2","Fitted or designed to be fitted with a motor, unladen (net) weight (excluding the motor) not exceeding 100 kg","","2.4%","Free(A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","3","Valued over $500:","","","","","",""
"8903.11.00.15","4","With attached rigid hull","[""No.""]","","","","",""
"8903.11.00.20","4","Other","[""No.""]","","","","",""
"8903.11.00.60","3","Other","[""No.""]","","","","",""
"8903.12.00","2","Not designed for use with a motor and unladen (net) weight not exceeding 100 kg","","2.4%","Free(A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","3","Valued over $500:","","","","","",""
"8903.12.00.15","4","With attached rigid hull","[""No.""]","","","","",""
"8903.12.00.20","4","Other","[""No.""]","","","","",""
"8903.12.00.60","3","Other","[""No.""]","","","","",""
"8903.19.00.00","2","Other","[""No.""]","2.4%","Free(A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","1","Sailboats, other than inflatable, with or without auxiliary motor:","","","","","",""
"8903.21.00","2","Of a length not exceeding 7.5 m","","1.5%","Free(A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"8903.21.00.10","3","With auxiliary motor","[""No.""]","","","","",""
"","3","Other:","","","","","",""
"8903.21.00.30","4","Of a length not exceeding 4 m","[""No.""]","","","","",""
"8903.21.00.35","4","Of a length exceeding 4 m but not exceeding 6.5 m","[""No.""]","","","","",""
"8903.21.00.40","4","Of a length exceeding 6.5 m but not exceeding 7.5 m","[""No.""]","","","","",""
"8903.22.00","2","Of a length exceeding 7.5 m but not exceeding 24 m","","1.5%","Free(A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"","3","With auxiliary motor:","","","","","",""
"8903.22.00.15","4","Of a length exceeding 7.5 m but not exceeding 9.2 m","[""No.""]","","","","",""
"8903.22.00.20","4","Of a length exceeding 9.2 m","[""No.""]","","","","",""
"","3","Other:","","","","","",""
"8903.22.00.25","4","Of a length exceeding 7.5 m but not exceeding 9.2 m","[""No.""]","","","","",""
"8903.22.00.60","4","Of a length exceeding 9.2 m","[""No.""]","","","","",""
"8903.23.00","2","Of a length exceeding 24 m","","1.5%","Free(A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"8903.23.00.15","3","With auxiliary motor","[""No.""]","","","","",""
"8903.23.00.20","3","Other","[""No.""]","","","","",""
"","1","Motorboats, other than inflatable, not including outboard motorboats:","","","","","",""
"8903.31.00","2","Of a length not exceeding 7.5 m","","1.5%","Free(A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"","3","Inboard/outdrive:","","","","","",""
"8903.31.00.15","4","Cabin cruisers","[""No.""]","","","","",""
"8903.31.00.20","4","Other","[""No.""]","","","","",""
"8903.31.00.25","3","Other","[""No.""]","","","","",""
"8903.32.00","2","Of a length exceeding 7.5 m but not exceeding 24 m","","1.5%","Free(A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"","3","Inboard/outdrive:","","","","","",""
"8903.32.00.15","4","Cabin cruisers","[""No.""]","","","","",""
"8903.32.00.20","4","Other","[""No.""]","","","","",""
"8903.32.00.25","3","Other","[""No.""]","","","","",""
"8903.33.00","2","Of a length exceeding 24 m","","1.5%","Free(A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"","3","Inboard/outdrive:","","","","","",""
"8903.33.00.15","4","Cabin cruisers","[""No.""]","","","","",""
"8903.33.00.20","4","Other","[""No.""]","","","","",""
"8903.33.00.25","3","Other","[""No.""]","","","","",""
"","1","Other:","","","","","",""
"8903.93","2","Of a length not exceeding 7.5 m:","","","","","",""
"","3","Row boats and canoes which are not of a type designed to be principally used with motors or sails:","","","","","",""
"8903.93.05.00","4","Canoes","[""No.""]","Free","","35%","",""
"8903.93.15.00","4","Other","[""No.""]","2.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"8903.93.20","3","Outboard motorboats","","1%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"","4","With hulls of metal:","","","","","",""
"8903.93.20.15","5","Not exceeding 5 m in length","[""No.""]","","","","",""
"8903.93.20.30","5","Exceeding 5 m in length","[""No.""]","","","","",""
"","4","With hulls of reinforced plastics:","","","","","",""
"8903.93.20.45","5","Not exceeding 5 m in length","[""No.""]","","","","",""
"8903.93.20.60","5","Exceeding 5 m in length","[""No.""]","","","","",""
"8903.93.20.75","4","Other","[""No.""]","","","","",""
"8903.93.90.00","3","Other","[""No.""]","1%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"8903.99","2","Other:","","","","","",""
"","3","Row boats and canoes which are not of a type designed to be principally used with motors or sails:","","","","","",""
"8903.99.06.00","4","Canoes","[""No.""]","Free","","35%","",""
"8903.99.16.00","4","Other","[""No.""]","2.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"8903.99.21","3","Outboard motorboats","","1%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"8903.99.21.10","4","With hulls of metal","[""No.""]","","","","",""
"8903.99.21.20","4","With hulls of reinforced plastics","[""No.""]","","","","",""
"8903.99.21.90","4","Other","[""No.""]","","","","",""
"8903.99.91.00","3","Other","[""No.""]","1%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"8904.00.00.00","0","Tugs and pusher craft","[""No.""]","Free","","Free","",""
"8905","0","Light-vessels, fire-floats, dredgers, floating cranes, and other vessels the navigability of which is subsidiary to their main function; floating docks; floating or submersible drilling or production platforms:","","","","","",""
"8905.10.00.00","1","Dredgers","[""No.""]","Free","","Free","",""
"8905.20.00.00","1","Floating or submersible drilling or production platforms","[""t"",""No.""]","Free","","Free","",""
"8905.90","1","Other:","","","","","",""
"8905.90.10.00","2","Floating docks","[""t"",""No.""]","Free","","35%","",""
"8905.90.50.00","2","Other","[""No.""]","Free","","Free","",""
"8906","0","Other vessels, including warships and lifeboats other than row boats:","","","","","",""
"8906.10.00.00","1","Warships","[""No.""]","Free","","Free","",""
"8906.90.00","1","Other","","Free","","Free","",""
"8906.90.00.10","2","Hulls","[""t"",""No.""]","","","","",""
"8906.90.00.90","2","Other","[""No.""]","","","","",""
"8907","0","Other floating structures (for example, rafts, tanks, cofferdams, landing-stages, buoys and beacons):","","","","","",""
"8907.10.00.00","1","Inflatable rafts","[""No.""]","Free","","45%","",""
"8907.90.00","1","Other","","Free","","45%","",""
"8907.90.00.30","2","Buoys","[""No.""]","","","","",""
"8907.90.00.60","2","Tanks","[""No.""]","","","","",""
"8907.90.00.90","2","Other","[""No.""]","","","","",""
"8908.00.00.00","0","Vessels and other floating structures for breaking up (scrapping)","[""t""]","Free","","Free","",""
