HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"9101","0","Wrist watches, pocket watches and other watches, including stop watches, with case of precious metal or of metal clad with precious metal:","","","","","",""
"","1","Wrist watches, electrically operated, whether or not incorporating a stop watch facility:","","","","","",""
"9101.11","2","With mechanical display only:","","","","","",""
"9101.11.40","3","Having no jewels or only one jewel in the movement","","51¢ each + 6.25% on the case and strap, band or bracelet + 5.3% on the battery","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,R,S, SG)","$2.25 each + 45% on the case +80% on the strap, band or bracelet + 35% on the battery","",""
"9101.11.80","3","Other","","87¢ each + 6.25% on the case and strap, band or bracelet + 5.3% on the battery","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,R,S, SG)","$3.25 each + 45% on the case +80% on the strap, band or bracelet + 35% on the battery","",""
"9101.19","2","Other:","","","","","",""
"9101.19.20","3","With opto-electronic display only.","","Free","","35%","",""
"","4","Straps, bands or bracelets entered with watches of subheading 9101.19.20 and classifiable therewith pursuant to additional U.S. note 2 to this chapter; all the foregoing whether or not attached to such watches at the time of entry:","","","","","",""
"9101.19.20.20","5","Of textile material or of base metal, whether or not gold- or silver-plated","[""No.""]","","","","",""
"9101.19.20.40","5","Other","[""No.""]","","","","",""
"9101.19.20.80","4","Other","[""No.""]","","","","",""
"9101.19.40","3","Other, having no jewels or only one jewel in the movement","","41¢ each + 5% on case and strap, band or bracelet + 4.2% on the battery","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,R,S,SG)","$2.25 each + 45% on the case +80% on the strap, band or bracelet + 35% on the battery","",""
"9101.19.80","3","Other","","61¢ each + 4.4% on case and strap, band or bracelet + 3.7% on the battery","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE, R,S,SG)","$3.25 each + 45% on the case +80% on the strap, band or bracelet + 35% on the battery","",""
"","1","Other wrist watches, whether or not incorporating a stop watch facility:","","","","","",""
"9101.21","2","With automatic winding:","","","","","",""
"","3","Having over 17 jewels in the movement:","","","","","",""
"","4","Straps, bands or bracelets entered with watches of subheading 9101.21.50 and classifiable therewith pursuant to additional U.S. note 2 to this chapter; all the foregoing whether or not attached to such watches at the time of entry:","","","","","",""
"9101.21.10.00","5","Of textile material or of base metal, whether or not gold- or silver-plated","[""No.""]","3.1%","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE, R,S,SG)","80%","",""
"9101.21.30.00","5","Other","[""No.""]","3.1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,R,S,SG)","80%","",""
"9101.21.50","4","Other","","Free","","$11.50 each + 45% on the case","",""
"9101.21.80","3","Other","","$1.61 each + 4.4% on the case and strap, band or bracelet","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE, R,S,SG)","$5.75 each + 45% on the case +80% on the strap, band or bracelet","",""
"9101.29","2","Other:","","","","","",""
"9101.29.10","3","Having no jewels or only one jewel in the movement","","40¢ each + 5% on the case and strap, band or bracelet","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,R,S, SG)","$2.25 each + 45% on the case +80% on the strap, band or bracelet","",""
"9101.29.20","3","Having over 1 jewel but not over 7 jewels in the movement","","61¢ each + 4.4% on the case and strap, band or bracelet","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,R,S, SG)","$3.25 each + 45% on the case +80% on the strap, band or bracelet","",""
"","3","Having over 7 jewels but not over 17 jewels in the movement:","","","","","",""
"","4","With movement valued not over $15 each","","","","","",""
"9101.29.30","5","With movement measuring not over 15.2 mm","","$2.28 each + 5% on the case and strap, band or bracelet","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,R,S,SG)","$4.75 each + 45% on the case + 80% on the strap, band or bracelet","",""
"9101.29.40","5","With movement measuring over 15.2 mm","","$1.92 each + 5% on the case and strap, band or bracelet","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,R,S,SG)","$4.75 each + 45% on the case + 80% on the strap, band or bracelet","",""
"9101.29.50","4","With movement valued over $15 each","","90¢ each + 4.4% on the case and strap, band or bracelet","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,R,S, SG)","$4.75 each + 45% on the case + 80% on the strap, band or bracelet","",""
"","3","Having over 17 jewels in the movement:","","","","","",""
"","4","Straps, bands or bracelets entered with watches of subheading 9101.29.90 and classifiable therewith pursuant to additional U.S. note 2 to this chapter; all the foregoing whether or not attached to such watches at the time of entry:","","","","","",""
"9101.29.70.00","5","Of textile material or of base metal, whether or not gold- or silver-plated","[""No.""]","3.1%","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA, OM,P, PA,PE,R,S,SG)","80%","",""
"9101.29.80.00","5","Other","[""No.""]","3.1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,R,S,SG)","80%","",""
"9101.29.90","4","Other","","Free","","$11.50 each + 45% on the case","",""
"","1","Other:","","","","","",""
"9101.91","2","Electrically operated:","","","","","",""
"9101.91.20.00","3","With opto-electronic display only","[""No.""]","Free","","35%","",""
"","3","Other:","","","","","",""
"9101.91.40","4","Having no jewels or only one jewel in the movement","","Free","","$2.25 each + 45% on the case + 35% on the battery","",""
"9101.91.80","4","Other","","Free","","$3.25 each + 45% on the case + 35% on the battery","",""
"9101.99","2","Other:","","","","","",""
"9101.99.20","3","Having no jewels or not over 7 jewels in the movement","","Free","","$2.25 each + 45% on the case","",""
"","3","Having over 7 but not over 17 jewels in the movement:","","","","","",""
"9101.99.40","4","With movement valued not over $15 each","","98¢ each + 3% on the case","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,R,S,SG)","$4.75 each + 45% on the case","",""
"9101.99.60","4","With movement valued over $15 each","","Free","","$4.75 each + 45% on the case","",""
"9101.99.80","3","Having over 17 jewels in the movement","","Free","","$11.50 each + 45% on the case","",""
"9102","0","Wrist watches, pocket watches and other watches, including stop watches, other than those of heading 9101:","","","","","",""
"","1","Wrist watches, electrically operated, whether or not incorporating a stop watch facility:","","","","","",""
"9102.11","2","With mechanical display only:","","","","","",""
"","3","Having no jewels or only one jewel in the movement:","","","","","",""
"","4","With strap, band or bracelet of textile material or of base metal, whether or not gold- or silver-plated","","","","","",""
"9102.11.10","5","With gold- or silver-plated case","","44¢ each + 6% on the case + 14% on the strap, band or bracelet + 5.3% on the battery","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA,OM,P, PA,PE,R,S,SG)","$1.90 each + 45% on the case + 110% on the strap, band or bracelet + 35% on the battery","",""
"9102.11.25","5","Other","","40¢ each + 8.5% on the case + 14% on the strap, band or bracelet + 5.3% on the battery","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA,OM,P, PA,PE,R,S,SG)","$1.70 each + 45% on the case + 110% on the strap, band or bracelet + 35% on the battery","",""
"","4","Other:","","","","","",""
"9102.11.30","5","With gold- or silver-plated case","","44¢ each + 6% on the case + 2.8% on the strap, band or bracelet + 5.3% on the battery","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA,OM,P, PA,PE,R,S,SG)","$1.90 each + 45% on the case + 35% on the strap, band or bracelet + 35% on the battery","",""
"9102.11.45","5","Other","","40¢ each + 8.5% on the case + 2.8% on the strap, band or bracelet + 5.3% on the battery","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,R,S,SG)","$1.70 each + 45% on the case + 35% on the strap, band or bracelet + 35% on the battery","",""
"","3","Other:","","","","","",""
"","4","With strap, band or bracelet of textile material or of base metal, whether or not gold- or silver-plated","","","","","",""
"9102.11.50","5","With gold- or silver-plated case","","80¢ each + 6% on the case + 14% on the strap, band or bracelet + 5.3% on the battery","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA,OM,P, PA,PE,R,S,SG)","$2.90 each + 45% on the case + 110% on the strap, band or bracelet + 35% on the battery","",""
"9102.11.65","5","Other","","76¢ each + 8.5% on the case + 14% on the strap, band or bracelet + 5.3% on the battery","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA,OM,P, PA,PE,R,S,SG)","$2.70 each + 45% on the case + 110% on the strap, band or bracelet + 35% on the battery","",""
"","4","Other:","","","","","",""
"9102.11.70","5","With gold- or silver-plated case","","80¢ each + 6% on the case + 2.8% on the strap, band or bracelet + 5.3% on the battery","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE, R,S,SG)","$2.90 each + 45% on the case + 35% on the strap, band or bracelet + 35% on the battery","",""
"9102.11.95","5","Other","","76¢ each + 8.5% on the case + 2.8% on the strap, band or bracelet + 5.3% on the battery","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA,OM,P, PA,PE,R,S,SG)","$2.70 each + 45% on the case + 35% on the strap, band or bracelet + 35% on the battery","",""
"9102.12","2","With opto-electronic display only:","","","","","",""
"","3","Straps, bands or bracelets entered with watches of subheading 9102.12.80 and classifiable therewith pursuant to additional U.S. note 2 to this chapter; all the foregoing whether or not attached to such watches at the time of entry:","","","","","",""
"9102.12.20.00","4","Of textile material or of base metal, whether or not gold- or silver-plated","[""No.""]","Free","","35%","",""
"9102.12.40.00","4","Other","[""No.""]","Free","","35%","",""
"9102.12.80.00","3","Other","[""No.""]","Free","","35%","",""
"9102.19","2","Other:","","","","","",""
"","3","Having no jewels or only one jewel in the movement:","","","","","",""
"9102.19.20","4","With strap, band or bracelet of textile material or of base metal, whether or not gold-or silver-plated","","32¢ each + 4.8% on the case + 11% on the strap, band or bracelet + 4.2% on the battery","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA,OM,P, PA,PE,R,S,SG)","$1.70 each + 45% on the case + 110% on the strap, band or bracelet + 35% on the battery","",""
"9102.19.40","4","Other","","32¢ each + 4.8% on the case + 2.2% on the strap, band or bracelet + 4.2% on the battery","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA,OM,P, PA,PE,R,S,SG)","$1.70 each + 45% on the case + 35% on the strap, band or bracelet + 35% on the battery","",""
"","3","Other:","","","","","",""
"9102.19.60","4","With strap, band or bracelet of textile material or of base metal, whether or not gold-or silver-plated","","57¢ each + 4.5% on the case + 10.6% on the strap, band or bracelet + 4% on the battery","Free (AU,BH, CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE, R,S,SG)","$2.70 each + 45% on the case + 110% on the strap, band or bracelet + 35% on the battery","",""
