HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"9601","0","Worked ivory, bone, tortoise-shell, horn, antlers, coral, mother-of-pearl and other animal carving material, and articles of these materials (including articles obtained by molding):","","","","","",""
"9601.10.00.00","1","Worked ivory and articles of ivory","[""No."",""kg""]","Free","","35%","",""
"9601.90","1","Other:","","","","","",""
"9601.90.20.00","2","Worked shell and articles thereof","[""No."",""kg""]","Free","","35%","",""
"9601.90.40.00","2","Coral, cut but not set, and cameos, suitable for use in jewelry","[""kg""]","2.1%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","10%","",""
"9601.90.60.00","2","Of bone, horn, hoof, whalebone, quill or any combination thereof","[""No."",""kg""]","Free","","25%","",""
"9601.90.80.00","2","Other","[""No."",""kg""]","3.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"9602.00","0","Worked vegetable or mineral carving material and articles of these materials; molded or carved articles of wax, of stearin, of natural gums or natural resins, of modeling pastes, and other molded or carved articles, not elsewhere specified or included; worked, unhardened gelatin (except gelatin of heading 3503) and articles of unhardened gelatin:","","","","","",""
"9602.00.10","1","Worked unhardened gelatin and articles thereof","","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"9602.00.10.40","2","Unfilled gelatin capsules","[""thousands""]","","","","",""
"9602.00.10.80","2","Other","[""No.""]","","","","",""
"9602.00.40.00","1","Molded or carved articles of wax","[""No.""]","1.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"9602.00.50","1","Other","","2.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"9602.00.50.10","2","Unfilled vegetable capsules","[""thousands""]","","","","",""
"9602.00.50.80","2","Other","[""No.""]","","","","",""
"9603","0","Brooms, brushes (including brushes constituting parts of machines, appliances or vehicles), hand-operated mechanical floor sweepers, not motorized, mops and feather dusters; prepared knots and tufts for broom or brush making; paint pads and rollers; squeegees (other than roller squeegees):","","","","","",""
"9603.10","1","Brooms and brushes, consisting of twigs or other vegetable materials bound together, with or without handles:","","","","","",""
"","2","Whiskbrooms, wholly or in part of broom corn:","","","","","",""
"","3","Valued not over 96¢ each:","","","","","",""
"9603.10.05.00","4","In any calendar year prior to the entry, or withdrawal from warehouse for comsumption, of 61,655 dozen whiskbrooms classifiable under subheadings 9603.10.05 to 9603.10.35, inclusive","[""No.""]","8%","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)","20%","",""
"9603.10.15.00","4","Other","[""No.""]","5¢ each","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","12¢ each","",""
"9603.10.35.00","3","Valued over 96¢ each","[""No.""]","14%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","32%","",""
"","2","Other brooms, wholly or in part of broom corn:","","","","","",""
"","3","Valued not over 96¢ each:","","","","","",""
"9603.10.40.00","4","In any calendar year prior to the entry, or withdrawal from warehouse for consumption, of 121,478 dozen brooms classifiable under subheadings 9603.10.40 to 9603.10.60, inclusive","[""No.""]","8%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","20%","",""
"9603.10.50.00","4","Other","[""No.""]","32¢ each","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","32¢ each","",""
"9603.10.60.00","3","Valued over 96¢ each","[""No.""]","32%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","32%","",""
"9603.10.90.00","2","Other","[""No.""]","10%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","1","Toothbrushes, shaving brushes, hair brushes, nail brushes, eyelash brushes and other toilet brushes for use on the person, including such brushes constituting parts of appliances:","","","","","",""
"9603.21.00.00","2","Toothbrushes, including dental-plate brushes","[""No.""]","Free","","2¢ each + 50%","",""
"9603.29","2","Other:","","","","","",""
"9603.29.40","3","Valued not over 40¢ each","","0.2¢ each + 7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","1¢ each + 50%","",""
"9603.29.40.10","4","Hairbrushes","[""No.""]","","","","",""
"9603.29.40.90","4","Other","[""No.""]","","","","",""
"9603.29.80","3","Valued over 40¢ each","","0.3¢ each + 3.6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","1¢ each + 50%","",""
"9603.29.80.10","4","Hairbrushes","[""No.""]","","","","",""
"9603.29.80.90","4","Other","[""No.""]","","","","",""
"9603.30","1","Artists' brushes, writing brushes and similar brushes for the application of cosmetics:","","","","","",""
"9603.30.20.00","2","Valued not over 5¢ each","[""No.""]","2.6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"9603.30.40.00","2","Valued over 5¢ but not over 10¢ each","[""No.""]","Free","","40%","",""
"9603.30.60.00","2","Valued over 10¢ each","[""No.""]","Free","","40%","",""
"9603.40","1","Paint, distemper, varnish or similar brushes (other than brushes of subheading 9603.30); paint pads and rollers:","","","","","",""
"9603.40.20.00","2","Paint rollers","[""No.""]","7.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"9603.40.40","2","Other","","4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"9603.40.40.20","3","Paint pads","[""No.""]","","","","",""
"9603.40.40.40","3","Natural bristle brushes","[""No.""]","","","","",""
"9603.40.40.60","3","Other","[""No.""]","","","","",""
"9603.50.00.00","1","Other brushes constituting parts of machines, appliances or vehicles","[""No.""]","Free","","35%","",""
"9603.90","1","Other:","","","","","",""
"9603.90.40.00","2","Feather dusters","[""No.""]","Free","","45%","",""
"9603.90.80","2","Other","","2.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"9603.90.80.10","3","Whiskbrooms","[""No.""]","","","","",""
"9603.90.80.20","3","Upright brooms","[""No.""]","","","","",""
"9603.90.80.30","3","Push brooms, 41 cm or less in width","[""No.""]","","","","",""
"9603.90.80.40","3","Other brooms","[""No.""]","","","","",""
"9603.90.80.50","3","Other","[""No.""]","","","","",""
"9604.00.00.00","0","Hand sieves and hand riddles","[""No.""]","4.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"9605.00.00.00","0","Travel sets for personal toilet, sewing or shoe or clothes cleaning (other than manicure and pedicure sets of heading 8214)","[""No.""]","8.1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"9606","0","Buttons, press-fasteners, snap-fasteners and press-studs, button molds and other parts of these articles; button blanks:","","","","","",""
"9606.10","1","Press-fasteners, snap-fasteners and press-studs and parts thereof:","","","","","",""
"9606.10.40.00","2","Valued not over 20¢ per dozen pieces or parts","[""gross""]","3.5%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"9606.10.80.00","2","Valued over 20¢ per dozen pieces or parts","[""gross""]","2.7%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","65%","",""
"","1","Buttons:","","","","","",""
"9606.21","2","Of plastics, not covered with textile material:","","","","","",""
"9606.21.20.00","3","Of casein","[""gross""]","Free","","45%","",""
"9606.21.40.00","3","Of acrylic resin, of polyester resin or of both such resins","[""gross"",""gr.lines""]","0.3¢/line/ gross + 4.6%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","1.5¢/line/ gross + 25%","",""
"9606.21.60.00","3","Other","[""gross""]","4.7%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"9606.22.00.00","2","Of base metal, not covered with textile material","[""gross""]","Free","","45%","",""
"9606.29","2","Other:","","","","","",""
"9606.29.20.00","3","Of acrylic resin, of polyester resin or of both such resins, covered with textile material","[""gross"",""gr.lines""]","0.3¢/line/ gross + 4.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","1.5¢/line/ gross + 25%","",""
"","3","Other:","","","","","",""
"9606.29.40.00","4","Of pearl or shell","[""gross"",""gr.lines""]","0.18¢/line/ gross + 2.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","1.75¢/line/ gross + 25%","",""
"9606.29.60.00","4","Other","[""gross""]","2.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"9606.30","1","Button molds and other parts of buttons; button blanks:","","","","","",""
"9606.30.40.00","2","Button blanks of casein","[""gross""]","Free","","45%","",""
"9606.30.80.00","2","Other","[""gross""]","6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"9607","0","Slide fasteners and parts thereof:","","","","","",""
"","1","Slide fasteners:","","","","","",""
"9607.11.00.00","2","Fitted with chain scoops of base metal","[""No.""]","10%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","66%","",""
"9607.19.00","2","Other","","13%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","66%","",""
"9607.19.00.20","3","Fitted with chain scoops of plastic","[""No.""]","","","","",""
"9607.19.00.40","3","Fitted with continuous plastic filament","[""No.""]","","","","",""
"9607.19.00.60","3","Other","[""No.""]","","","","",""
"9607.20.00","1","Parts","","11.5%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","66%","",""
"9607.20.00.40","2","Sliders, with or without pulls","[""thousands""]","","","","",""
"9607.20.00.80","2","Other","[""No.""]","","","","",""
"9608","0","Ball point pens; felt tipped and other porous-tipped pens and markers; fountain pens, stylograph pens and other pens; duplicating styli; propelling or sliding pencils (for example, mechanical pencils); pen-holders, pencil-holders and similar holders; parts (including caps and clips) of the foregoing articles, other than those of heading 9609:","","","","","",""
"9608.10.00.00","1","Ball point pens","[""No.""]","0.8¢ each + 5.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6¢ each + 40%","",""
"9608.20.00.00","1","Felt tipped and other porous-tipped pens and markers","[""gross""]","4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"9608.30.00","1","Fountain pens, stylograph pens and other pens","","0.4¢ each + 2.7%","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)","6¢ each + 40%","",""
"9608.30.00.31","2","India ink drawing pens","[""No.""]","","","","",""
"9608.30.00.39","2","Other","[""No.""]","","","","",""
"9608.40","1","Propelling or sliding pencils (for example, mechanical pencils):","","","","","",""
"9608.40.40.00","2","With a mechanical action for extending, or for extending and retracting, the lead","[""gross""]","6.6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) 3.3% (JP)","41.5%","",""
"9608.40.80.00","2","Other","[""gross""]","Free","","45%","",""
"9608.50.00.00","1","Sets of articles from two or more of the subheadings 9608.10, 9608.20, 9608.30 or 9608.40","[""No.""]","The rate applicable to each article in the absence of this subheading","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","The rate applicable, to each article in the absence of this subheading","",""
"9608.60.00.00","1","Refills for ball point pens, comprising the ball point and ink reservoir","[""No.""]","0.4¢ each + 2.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6¢ each + 40%","",""
"","1","Other:","","","","","",""
"9608.91.00.00","2","Pen nibs and nib points","[""gross""]","Free","","20¢/gross","",""
"9608.99","2","Other:","","","","","",""
"9608.99.20.00","3","Refill cartridges","[""No.""]","0.4¢ each + 2.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","6¢ each + 40%","",""
"9608.99.30.00","3","Balls for ball point pens","[""thousands""]","20¢/thousand + 3.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$2.50/thou- sand + 40%","",""
"","3","Other:","","","","","",""
"9608.99.40.00","4","Parts of articles provided for in subheadings 9608.10 and 9608.30 (other than balls for ball point pens)","[""No.""]","Free","","6¢ each + 40%","",""
"9608.99.60.00","4","Other","[""No.""]","Free","","45%","",""
"9609","0","Pencils (other than those pencils of heading 9608), crayons, pencil leads, pastels, drawing charcoals, writing or drawing chalks and tailors' chalks:","","","","","",""
"9609.10.00.00","1","Pencils and crayons, with leads encased in a sheath","[""gross""]","14¢/gross + 4.3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50¢/gross + 30%","",""
"9609.20","1","Pencil leads, black or colored:","","","","","",""
"9609.20.20.00","2","Not over 1.5 mm in maximum cross-sectional dimension","[""gross""]","Free","","20¢/gross","",""
"9609.20.40.00","2","Over 1.5 mm in maximum cross-sectional dimension","[""gross""]","Free","","6¢/gross","",""
"9609.90","1","Other:","","","","","",""
"9609.90.40.00","2","Tailors' chalks","[""kg""]","Free","","25%","",""
"9609.90.80.00","2","Other","[""gross""]","Free","","50¢/gross + 30%","",""
"9610.00.00.00","0","Slates and boards, with writing or drawing surfaces, whether or not framed","[""No.""]","3.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","33 1/3%","",""
