HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"1001","0","Wheat and meslin:","","","","","",""
"","1","Durum wheat:","","","","","",""
"1001.11.00.00","2","Seed","[""kg""]","0.65¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","1.5¢/kg","",""
"1001.19.00","2","Other","","0.65¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","1.5¢/kg","",""
"1001.19.00.25","3","Certified Organic","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"1001.19.00.51","4","Grade 1","[""kg""]","","","","",""
"1001.19.00.53","4","Grade 2","[""kg""]","","","","",""
"1001.19.00.69","4","Other","[""kg""]","","","","",""
"","1","Other:","","","","","",""
"1001.91.00.00","2","Seed","[""kg""]","2.8%","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","10%","",""
"1001.99.00","2","Other","","0.35¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","1.5¢/kg","",""
"1001.99.00.05","3","Canadian western extra strong hard red spring (CWES/HRS) wheat","[""kg""]","","","","",""
"","3","Other:","","","","","",""
"","4","Certified organic:","","","","","",""
"1001.99.00.07","5","Red spring wheat","[""kg""]","","","","",""
"1001.99.00.09","5","Other","[""kg""]","","","","",""
"","4","Other:","","","","","",""
"","5","Red spring wheat:","","","","","",""
"","6","Grade 1:","","","","","",""
"1001.99.00.10","7","Having a specified protein content not exceeding 12.9% by weight","[""kg""]","","","","",""
"1001.99.00.17","7","Having a specified protein content exceeding 12.9% but not exceeding 13.9% by weight.","[""kg""]","","","","",""
"1001.99.00.18","7","Having a specified protein content exceeding 13.9% by weight","[""kg""]","","","","",""
"","6","Grade 2:","","","","","",""
"1001.99.00.27","7","Having a specified protein content not exceeding 12.9% by weight","[""kg""]","","","","",""
"1001.99.00.30","7","Having a specified protein content exceeding 12.9% but not exceeding 13.9% by weight.","[""kg""]","","","","",""
"1001.99.00.33","7","Having a specified protein content exceeding 13.9% by weight.","[""kg""]","","","","",""
"1001.99.00.36","6","Other red spring wheat","[""kg""]","","","","",""
"1001.99.00.45","5","White winter wheat","[""kg""]","","","","",""
"1001.99.00.55","5","""Canadian"" western red winter wheat","[""kg""]","","","","",""
"1001.99.00.65","5","Soft white spring wheat","[""kg""]","","","","",""
"1001.99.00.97","5","Other","[""kg""]","","","","",""
"1002","0","Rye:","","","","","",""
"1002.10.00","1","Seed","","Free","","0.59¢/kg","",""
"1002.10.00.10","2","Seeds of a kind used for sowing","[""kg""]","","","","",""
"1002.10.00.90","2","Other","[""kg""]","","","","",""
"1002.90.00.00","1","Other","[""kg""]","Free","","0.59¢/kg","",""
"1003","0","Barley:","","","","","",""
"1003.10.00.00","1","Seed","[""kg""]","0.15¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","0.92¢/kg","",""
"1003.90","1","Other:","","","","","",""
