HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"1401","0","Vegetable materials of a kind used primarily for plaiting (for example, bamboos, rattans, reeds, rushes, osier, raffia, cleaned, bleached or dyed cereal straw, and lime bark):","","","","","",""
"1401.10.00.00","1","Bamboos","[""No.""]","Free","","Free","",""
"1401.20","1","Rattans:","","","","","",""
"1401.20.20","2","In the rough or cut transversely into sections","","Free","","Free","",""
"1401.20.20.10","3","In the rough, 4 meters or more in length","[""No.""]","","","","",""
"1401.20.20.90","3","Other","[""No.""]","","","","",""
"1401.20.40.00","2","Other","[""No.""]","2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"1401.90","1","Other:","","","","","",""
"1401.90.20.00","2","Willow (osier)","[""kg""]","4.4%","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","35%","",""
"1401.90.40.00","2","Other","[""kg""]","3.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"1404","0","Vegetable products not elsewhere specified or included:","","","","","",""
"1404.20.00.00","1","Cotton linters","[""kg""]","Free","","Free","",""
"1404.90","1","Other:","","","","","",""
"1404.90.10.00","2","Vegetable hair","[""kg""]","0.5¢/kg","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","2.2¢/kg","",""
"","2","Vegetable materials of a kind used primarily in brooms or in brushes (for example, broomcorn piassava, couch grass and istle), whether or not in hanks or bundles:","","","","","",""
"1404.90.20.00","3","Broomcorn (<i>Sorghum vulgare</i> var. <i>technicum</i>)","[""t""]","$4.95/t","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","$22/t","",""
"1404.90.30.00","3","Istle","[""kg""]","Free","","Free","",""
"1404.90.40.00","3","Other","[""kg""]","2.3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"1404.90.90","2","Other","","Free","","Free","",""
"","3","Raw vegetable materials of a kind used primarily in dyeing or tanning:","","","","","",""
"1404.90.90.20","4","Canaigre, chestnut, curupay, divi-divi, eucalyptus, gall nuts, hemlock, larch, mangrove, myrobalan, oak, quebracho, sumac, tara, urunday, valonia, wattle and other materials of a kind used primarily in tanning","[""kg""]","","","","",""
"1404.90.90.40","4","Other","[""kg""]","","","","",""
"1404.90.90.90","3","Other","[""kg""]","","","","",""
