HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"","1","I. CHEMICAL ELEMENTS","","","","","",""
"2801","0","Fluorine, chlorine, bromine and iodine:","","","","","",""
"2801.10.00.00","1","Chlorine","[""kg""]","Free","","25%","",""
"2801.20.00.00","1","Iodine","[""kg""]","Free","","Free","",""
"2801.30","1","Fluorine; bromine:","","","","","",""
"2801.30.10.00","2","Fluorine","[""kg""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2801.30.20.00","2","Bromine","[""kg""]","5.5%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S, SG)","37%","",""
"2802.00.00.00","0","Sulfur, sublimed or precipitated; colloidal sulfur","[""t""]","Free","","Free","",""
"2803.00.00","0","Carbon (carbon blacks and other forms of carbon not elsewhere specified or included)","","Free","","20%","",""
"2803.00.00.10","1","Carbon black","[""kg""]","","","","",""
"2803.00.00.50","1","Other","[""kg""]","","","","",""
"2804","0","Hydrogen, rare gases and other nonmetals:","","","","","",""
"2804.10.00.00","1","Hydrogen","[""thousand m<sup>3<\/sup>""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","1","Rare gases:","","","","","",""
"2804.21.00.00","2","Argon","[""thousand m<sup>3<\/sup>""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2804.29.00","2","Other","","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2804.29.00.10","3","Helium","[""thousand m<sup>3<\/sup>""]","","","","",""
"2804.29.00.20","3","Neon","[""thousand m<sup>3<\/sup>""]","","","","",""
"2804.29.00.30","3","Isotopically pure rare gases having a purity of 99 percent or more by volume","[""thousand m<sup>3<\/sup>""]","","","","",""
"2804.29.00.55","3","Other","[""thousand m<sup>3<\/sup>""]","","","","",""
"2804.30.00.00","1","Nitrogen","[""thousand m<sup>3<\/sup>""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2804.40.00.00","1","Oxygen","[""thousand m<sup>3<\/sup>""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"2804.50.00","1","Boron; tellurium","","Free","","25%","",""
"2804.50.00.10","2","Boron","[""kg""]","","","","",""
"2804.50.00.20","2","Tellurium","[""kg""]","","","","",""
"","1","Silicon:","","","","","",""
"2804.61.00.00","2","Containing by weight not less than 99.99 percent of silicon","[""kg""]","Free","","25%","",""
"2804.69","2","Other:","","","","","",""
"2804.69.10.00","3","Containing by weight less than 99.99 percent but not less than 99 percent of silicon","[""kg"",""Si kg""]","5.3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","21%","",""
