HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"","1","I. HYDROCARBONS AND THEIR HALOGENATED, SULFONATED, NITRATED OR NITROSATED DERIVATIVES","","","","","",""
"2901","0","Acyclic hydrocarbons:","","","","","",""
"2901.10","1","Saturated:","","","","","",""
"2901.10.10.00","2","Ethane and butane","[""kg""]","Free","","Free","",""
"2901.10.30.00","2","<i>n</i>-Pentane and isopentane","[""kg""]","Free","","25%","",""
"","2","Other:","","","","","",""
"2901.10.40.00","3","Derived in whole or in part from petroleum, shale oil or natural gas","[""kg""]","Free","","25%","",""
"2901.10.50.00","3","Other","[""kg""]","Free","","25%","",""
"","1","Unsaturated:","","","","","",""
"2901.21.00.00","2","Ethylene","[""kg""]","Free","","Free","",""
"2901.22.00.00","2","Propene (Propylene)","[""kg""]","Free","","Free","",""
"2901.23.00.00","2","Butene (Butylene) and isomers thereof","[""kg""]","Free","","Free","",""
"2901.24","2","Buta-1,3-diene and isoprene:","","","","","",""
"2901.24.10.00","3","Buta-1,3-diene","[""kg""]","Free","","Free","",""
"","3","Isoprene:","","","","","",""
"2901.24.20.00","4","Having a purity of 95 percent or more by weight","[""kg""]","Free","","25%","",""
"2901.24.50.00","4","Other","[""kg""]","Free","","25%","",""
"2901.29","2","Other:","","","","","",""
"2901.29.10","3","Derived in whole or in part from petroleum, shale oil or natural gas","","Free","","25%","",""
"2901.29.10.10","4","Linear <i>α</i>-olefins (C<sub>6</sub>-C<sub>30</sub>), unmixed","[""kg""]","","","","",""
"2901.29.10.50","4","Other","[""kg""]","","","","",""
"2901.29.50.00","3","Other","[""kg""]","Free","","25%","",""
"2902","0","Cyclic hydrocarbons:","","","","","",""
"","1","Cyclanes, cyclenes and cycloterpenes:","","","","","",""
"2902.11.00.00","2","Cyclohexane","[""kg""]","Free","","15.4¢/kg + 40%","",""
"2902.19.00","2","Other","","Free","","25%","",""
"2902.19.00.10","3","Dicyclopentadiene","[""kg""]","","","","",""
"2902.19.00.50","3","Other","[""kg""]","","","","",""
"2902.20.00.00","1","Benzene","[""liters""]","Free","","Free","",""
"2902.30.00.00","1","Toluene","[""liters""]","Free","","Free","",""
"","1","Xylenes:","","","","","",""
"2902.41.00.00","2","<i>o</i>-Xylene","[""liters""]","Free","","Free","",""
"2902.42.00.00","2","<i>m</i>-Xylene","[""liters""]","Free","","Free","",""
"2902.43.00.00","2","<i>p</i>-Xylene","[""liters""]","Free","","Free","",""
"2902.44.00.00","2","Mixed xylene isomers","[""liters""]","Free","","Free","",""
"2902.50.00.00","1","Styrene","[""kg""]","Free","","15.4¢/kg + 45%","",""
"2902.60.00.00","1","Ethylbenzene","[""kg""]","Free","","15.4¢/kg + 55%","",""
"2902.70.00.00","1","Cumene","[""kg""]","Free","","Free","",""
"2902.90","1","Other:","","","","","",""
"2902.90.10.00","2","Pseudocumene","[""kg""]","Free","","Free","",""
"2902.90.20.00","2","Acenaphthene, chrysene, cymene, dimethylnaphthalenes, fluoranthene, fluorene, indene, mesitylene, methylanthracene, methylnaphthalene, phenanthrene and pyrene","[""kg""]","Free","","Free","",""
"2902.90.30","2","Alkylbenzenes and polyalkylbenzenes","","Free","","15.4¢/kg + 55%","",""
"2902.90.30.10","3","Dodecylbenzene","[""kg""]","","","","",""
"2902.90.30.50","3","Other","[""kg""]","","","","",""
"2902.90.40.00","2","Anthracene; and 1,4-Di-(2-methylstyryl)benzene","[""kg""]","Free","","15.4¢/kg + 68.5%","",""
