HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"3401","0","Soap; organic surface-active products and preparations for use as soap, in the form of bars, cakes, molded pieces or shapes, whether or not containing soap; organic surface-active products and preparations for washing the skin, in the form of liquid or cream and put up for retail sale, whether or not containing soap; paper, wadding, felt and nonwovens, impregnated, coated or covered with soap or detergent:","","","","","",""
"","1","Soap and organic surface-active products and preparations, in the form of bars, cakes, molded pieces or shapes, and paper, wadding, felt and nonwovens, impregnated, coated or covered with soap or detergent:","","","","","",""
"3401.11","2","For toilet use (including medicated products):","","","","","",""
"3401.11.10.00","3","Castile soap","[""kg""]","Free","","15%","",""
"3401.11.50.00","3","Other","[""kg""]","Free","","4.4¢/kg + 30%","",""
"3401.19.00.00","2","Other","[""kg""]","Free","","4.4¢/kg + 15%","",""
"3401.20.00.00","1","Soap in other forms","[""kg""]","Free","","4.4¢/kg + 30%","",""
"3401.30","1","Organic surface-active products and preparations for washing the skin, in the form of liquid or cream and put up for retail sale, whether or not containing soap:","","","","","",""
"3401.30.10.00","2","Containing any aromatic or modified aromatic surface-active agent","[""kg""]","4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,K,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 53.5%","",""
"3401.30.50.00","2","Other","[""kg""]","Free","","25%","",""
"3402","0","Organic surface-active agents (other than soap); surface-active preparations, washing preparations (including auxiliary washing preparations) and cleaning preparations, whether or not containing soap, other than those of heading 3401:","","","","","",""
"","1","Anionic organic surface-active agents, whether or not put up for retail sale:","","","","","",""
"3402.31","2","Linear alkylbenzene sulfonic acids and their salts:","","","","","",""
"3402.31.10.00","3","Aromatic or modified aromatic","[""kg""]","6.5%","Free
(A, AU, BH, CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)","15.4¢/kg + 52.5%","",""
"3402.31.90.00","3","Other","[""kg""]","3.7%","Free 
(A, AU, BH, CL,CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)","25%","",""
"3402.39","2","Other:","","","","","",""
"3402.39.10.00","3","Aromatic or modified aromatic","[""kg""]","4%","Free 
(A, AU, BH, CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)","15.4¢/kg + 53.5%","",""
"3402.39.90","3","Other","","3.7%","Free (A, AU, BH, CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)","25%","",""
"3402.39.90.10","4","Salts of sulfated alcohols","[""kg""]","","","","",""
"3402.39.90.20","4","Salts of sulfated polyethers","[""kg""]","","","","",""
"3402.39.90.50","4","Other","[""kg""]","","","","",""
"","1","Other organic surface-active agents, whether or not put up for retail sale:","","","","","",""
"3402.41","2","Cationic:","","","","","",""
"3402.41.10.00","3","Aromatic or modified aromatic","[""kg""]","4%","Free (A, AU, BH, CL, CO, D,E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)","15.4¢/kg + 53.5%","",""
"3402.41.90.00","3","Other","[""kg""]","4%","Free (A, AU, BH, CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)","16.5¢/kg + 30%","",""
"3402.42","2","Non-ionic:","","","","","",""
"3402.42.10.00","3","Aromatic or modified aromatic","[""kg""]","4%","Free (A, AU, BH, CL, CO, D, E, IL, JO, K, KR, MA, OM, P, PA, PE, S, SG)","15.4¢/kg + 53.5%","",""
"","3","Other:","","","","","",""
"3402.42.20","4","Fatty substances of animal, vegetable or microbial origin","","4%","Free (A, AU, BH, CL, CO, D, E, IL, JO, K, KR, MA, OM, P, PA, PE, S, SG)","16.5¢/kg + 30%","",""
"3402.42.20.10","5","Polyethers","[""kg""]","","","","",""
"3402.42.20.20","5","Esters and ether-esters of polyhydric alcohols","[""kg""]","","","","",""
"3402.42.20.50","5","Other","[""kg""]","","","","",""
"3402.42.90.00","4","Other","[""kg""]","3.7%","Free 
(A, AU, BH, CL, CO, D, E, IL, JO, K, KR, MA, OM, P, PA, PE, S, SG)","25%","",""
"3402.49","2","Other:","","","","","",""
"3402.49.10.00","3","Aromatic or modified aromatic","[""kg""]","4%","Free  (A, AU, BH, CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)","15.4¢/kg + 53.5%","",""
"3402.49.90.00","3","Other","[""kg""]","3.7%","Free  (A, AU, BH, CL, CO, D, E, IL, JO, KR, MA, OM, P, PA, PE, S, SG)","25%","",""
"3402.50","1","Preparations put up for retail sale:","","","","","",""
"3402.50.11.00","2","Containing any aromatic or modified aromatic surface-active agent","[""kg""]","4%","Free  (A, AU, BH, CL, CO, D, E, IL, JO, K, KR, MA, OM, P, PA, PE, S, SG)","15.4¢/kg + 53.5%","",""
"3402.50.51.00","2","Other","[""kg""]","Free","","25%","",""
"3402.90","1","Other:","","","","","",""
"3402.90.10.00","2","Synthetic detergents","[""kg""]","3.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 53.5%","",""
"","2","Other:","","","","","",""
"3402.90.30.00","3","Containing any aromatic or modified aromatic surface-active agent","[""kg""]","4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 44.5%","",""
"3402.90.50","3","Other","","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,L,MA,OM,P,PA,PE,S,SG)","25%","",""
"3402.90.50.10","4","Washing preparations","[""kg""]","","","","",""
"3402.90.50.30","4","Cleaning preparations","[""kg""]","","","","",""
"3402.90.50.50","4","Other","[""kg""]","","","","",""
"3403","0","Lubricating preparations (including cutting-oil preparations, bolt or nut release preparations, antirust or anticorrosion preparations and mold release preparations, based on lubricants) and preparations of a kind used for the oil or grease treatment of textile materials, leather, furskins or other materials, but excluding preparations containing, as basic constituents, 70 percent or more by weight of petroleum oils or oils obtained from bituminous minerals:","","","","","",""
"","1","Containing petroleum oils or oils obtained from bituminous minerals:","","","","","",""
"3403.11","2","Preparations for the treatment of textile materials, leather, furskins or other materials:","","","","","",""
"","3","Preparations for the treatment of textile materials:","","","","","",""
"3403.11.20.00","4","Containing 50 percent or more by weight of petroleum oils or of oils obtained from bituminous minerals","[""liters""]","0.2%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA,OM,P, PA,PE,S,SG)","0.4%","",""
"3403.11.40.00","4","Other","[""kg""]","6.1%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg + 49.5%","",""
"3403.11.50.00","3","Other","[""kg""]","1.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"3403.19","2","Other:","","","","","",""
"3403.19.10.00","3","Containing 50 percent or more by weight of petroleum oils or of oils obtained from bituminous minerals","[""liters""]","0.2%","Free (A+,AU,BH,CL,CO,D,E,IL, JO, JP, KR,MA,OM,P, PA,PE,S,SG)","0.4%","",""
"3403.19.50.00","3","Other","[""kg""]","5.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) 2.9%(JP)","20%","",""
"","1","Other:","","","","","",""
"3403.91","2","Preparations for the treatment of textile materials, leather, furskins or other materials:","","","","","",""
"3403.91.10.00","3","Preparations for the treatment of textile materials","[""kg""]","6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) 3%(JP)","25%","",""
"3403.91.50.00","3","Other","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) 3.25% (JP)","30%","",""
"3403.99.00.00","2","Other","[""kg""]","6.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) 3.25% (JP)","30%","",""
"3404","0","Artificial waxes and prepared waxes:","","","","","",""
"3404.20.00.00","1","Of poly(oxyethylene) (polyethylene glycol)","[""kg""]","Free","","54.5%","",""
"3404.90","1","Other:","","","","","",""
"3404.90.10.00","2","Containing bleached beeswax","[""kg""]","Free","","30%","",""
"3404.90.51","2","Other","","Free","","Free","",""
"3404.90.51.10","3","Of chemically modified lignite","[""kg""]","","","","",""
"3404.90.51.50","3","Other","[""kg""]","","","","",""
