HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"","3","I. GOODS OF SILICEOUS FOSSIL MEALS OR OF SIMILAR SILICEOUS EARTHS, AND REFRACTORY GOODS","","","","","",""
"6901.00.00.00","0","Bricks, blocks, tiles and other ceramic goods of siliceous fossil meals (for example, kieselguhr, tripolite or diatomite) or of similar siliceous earths","[""t""]","Free","","30%","",""
"6902","0","Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods, other than those of siliceous fossil meals or similar siliceous earths:","","","","","",""
"6902.10","1","Containing by weight, singly or together, more than 50 percent of the elements magnesium, calcium or chromium, expressed as MgO, CaO or Cr<sub>2</sub>O<sub>3</sub>:","","","","","",""
"6902.10.10.00","2","Magnesite bricks","[""thousands"",""t""]","Free","","13%","",""
"6902.10.50.00","2","Other","[""t""]","Free","","30%","",""
"6902.20","1","Containing by weight more than 50 percent of alumina (Al<sub>2</sub>O<sub>3</sub>), of silica (SiO<sub>2</sub>) or of a mixture or compound of these products:","","","","","",""
"6902.20.10","2","Bricks","","Free","","25%","",""
"6902.20.10.10","3","Alumina","[""thousands"",""t""]","","","","",""
"6902.20.10.20","3","Other","[""thousands"",""t""]","","","","",""
"6902.20.50","2","Other","","Free","","30%","",""
"6902.20.50.10","3","Alumina","[""t""]","","","","",""
"6902.20.50.20","3","Other","[""t""]","","","","",""
"6902.90","1","Other:","","","","","",""
"6902.90.10","2","Bricks","","Free","","25%","",""
"6902.90.10.10","3","Clay","[""thousands"",""t""]","","","","",""
"6902.90.10.20","3","Other","[""thousands"",""t""]","","","","",""
"6902.90.50","2","Other","","Free","","30%","",""
"6902.90.50.10","3","Clay","[""t""]","","","","",""
"6902.90.50.20","3","Other","[""t""]","","","","",""
"6903","0","Other refractory ceramic goods (for example, retorts, crucibles, muffles, nozzles, plugs, supports, cupels, tubes, pipes, sheaths, rods and slide gates), other than those of siliceous fossil meals or of similar siliceous earths:","","","","","",""
"6903.10.00.00","1","Containing by weight more than 50 percent of free carbon","[""kg""]","Free","","45%","",""
"6903.20.00.00","1","Containing by weight more than 50 percent of alumina (Al<sub>2</sub>O<sub>3</sub>) or of a mixture or compound of alumina and of silica (SiO<sub>2</sub>)","[""kg""]","Free","","30%","",""
"6903.90.00","1","Other","","Free","","30%","",""
"6903.90.00.10","2","Of clay","[""kg""]","","","","",""
"6903.90.00.50","2","Other","[""kg""]","","","","",""
"","1","II. OTHER CERAMIC PRODUCTS:","","","","","",""
"6904","0","Ceramic building bricks, flooring blocks, support or filler tiles and the like:","","","","","",""
"6904.10.00","1","Building bricks","","Free","","Free","",""
"","2","Solid bricks:","","","","","",""
"6904.10.00.10","3","Heat insulating","[""thousands""]","","","","",""
"6904.10.00.20","3","Other","[""thousands""]","","","","",""
"","2","Hollow bricks:","","","","","",""
"6904.10.00.30","3","Heat insulating","[""thousands""]","","","","",""
"6904.10.00.40","3","Other","[""thousands""]","","","","",""
"6904.90.00.00","1","Other","[""thousands""]","Free","","30%","",""
"6905","0","Roofing tiles, chimney pots, cowls, chimney liners, architectural ornaments and other ceramic constructional goods:","","","","","",""
"6905.10.00.00","1","Roofing tiles","[""m<sup>2<\/sup>""]","13.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"6905.90.00","1","Other","","3.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"6905.90.00.10","2","Heat insulating","[""No.""]","","","","",""
"6905.90.00.50","2","Other","[""No.""]","","","","",""
"6906.00.00.00","0","Ceramic pipes, conduits, guttering and pipe fittings","[""kg""]","Free","","30%","",""
"6907","0","Ceramic flags and paving, hearth or wall tiles; ceramic mosaic cubes and the like, whether or not on a backing; finishing ceramics:","","","","","",""
"","1","Flags and paving, hearth or wall tiles, other than those of subheading 6907.30 and 6907.40:","","","","","",""
"6907.21","2","Of a water absorption coefficient by weight not exceeding 0.5%:","","","","","",""
"6907.21.10","3","Unglazed","","10%","Free (AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"6907.21.10.05","4","Tiles, whether or not rectangular, the largest surface area of which is capable of being enclosed in a square the side of which is less than 7 cm","[""m<sup>2<\/sup>""]","","","","",""
"","4","Other:","","","","","",""
"6907.21.10.11","5","Tiles, the largest surface area of which is capable of being enclosed in a square the side of which is 30 cm or less","[""m<sup>2<\/sup>""]","","","","",""
"6907.21.10.51","5","Other","[""m<sup>2<\/sup>""]","","","","",""
