HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"5601","0","Wadding of textile materials and articles thereof; textile fibers, not exceeding 5 mm in length (flock), textile dust and mill neps:","","","","","",""
"","1","Wadding of textile materials and articles thereof:","","","","","",""
"5601.21.00","2","Of cotton","","3.6%","Free (AU,B,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","40%","",""
"5601.21.00.10","3","Wadding, in the piece (223)","[""kg""]","","","","",""
"5601.21.00.90","3","Other (369)","[""kg""]","","","","",""
"5601.22.00","2","Of man-made fibers","","6.3%","Free (AU,B,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","74%","",""
"5601.22.00.10","3","Wadding, in the piece (223)","[""kg""]","","","","",""
"5601.22.00.50","3","Flocked swabs, other than articles of heading 3926 (669)","[""kg""]","","","","",""
"5601.22.00.91","3","Other (669)","[""kg""]","","","","",""
"5601.29.00","2","Other","","4%","Free (AU,B,BH, CL,CO,E*,IL,JO,KR,MA,OM,P,PA, PE,S,SG)","40%","",""
"5601.29.00.10","3","Containing 85 percent or more by weight of silk or silk waste","[""kg""]","","","","",""
"5601.29.00.20","3","Of wool or fine animal hair (469)","[""kg""]","","","","",""
"5601.29.00.90","3","Other (899)","[""kg""]","","","","",""
"5601.30.00.00","1","Textile flock and dust and mill neps","[""kg""]","Free","","25%","",""
"5602","0","Felt, whether or not impregnated, coated, covered or laminated:","","","","","",""
"5602.10","1","Needleloom felt and stitchbonded fiber fabrics:","","","","","",""
"5602.10.10.00","2","Laminated fabrics (223)","[""kg""]","12%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","83.5%","",""
"5602.10.90","2","Other","","10.6%","Free (AU,B,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","74%","",""
"5602.10.90.10","3","Of wool or fine animal hair (414)","[""kg""]","","","","",""
"5602.10.90.90","3","Other (223)","[""kg""]","","","","",""
"","1","Other felt, not impregnated, coated, covered or laminated:","","","","","",""
"5602.21.00.00","2","Of wool or fine animal hair (414)","[""kg""]","49.5¢/kg + 7.5%","Free (AU,B,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","88¢/kg + 40%","",""
"5602.29.00.00","2","Of other textile materials (223)","[""kg""]","6.3%","Free (AU,B,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","74%","",""
"5602.90","1","Other:","","","","","",""
"5602.90.30.00","2","Laminated fabrics (223)","[""kg""]","Free","","83.5%","",""
"","2","Other:","","","","","",""
"5602.90.60.00","3","Of man-made fibers (223)","[""kg""]","6.3%","Free (AU,B,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","74%","",""
"5602.90.90.00","3","Other (414)","[""kg""]","52.9¢/kg + 8%","Free (AU,B,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","88¢/kg + 40%","",""
"5603","0","Nonwovens, whether or not impregnated, coated, covered or laminated:","","","","","",""
"","1","Of man-made filaments:","","","","","",""
"5603.11.00","2","Weighing not more than 25 g/m<sup>2</sup>","","Free","","74%","",""
"5603.11.00.10","3","Impregnated, coated or covered with material other than or in addition to rubber, plastics, wood pulp or glass fibers; ""imitation suede"" (223)","[""kg""]","","","","",""
"5603.11.00.70","3","Nonwoven articles, ready for use and packaged for industrial, institutional or retail sale, whether or not separated, perforated or impregnated, not elsewhere specified or included (223)","[""kg""]","","","","",""
"5603.11.00.95","3","Other (223)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"5603.12.00","2","Weighing more than 25 g/m<sup>2</sup> but not more than 70 g/m<sup>2</sup>","","Free","","74%","",""
"5603.12.00.10","3","Impregnated, coated or covered with material other than or in addition to rubber, plastics, wood pulp or glass fibers; ""imitation suede"" (223)","[""kg""]","","","","",""
"5603.12.00.70","3","Nonwoven articles, ready for use and packaged for industrial, institutional or retail sale, whether or not separated, perforated or impregnated, not elsewhere specified or included (223)","[""kg""]","","","","",""
"5603.12.00.95","3","Other (223)","[""kg""]","","","","",""
"5603.13.00","2","Weighing more than 70 g/m<sup>2</sup> but not more than 150 g/m<sup>2</sup>","","Free","","74%","",""
"5603.13.00.10","3","Impregnated, coated or covered with material other than or in addition to rubber, plastics, wood pulp or glass fibers; ""imitation suede"" (223)","[""kg""]","","","","",""
"5603.13.00.70","3","Nonwoven articles, ready for use and packaged for industrial, institutional or retail sale, whether or not separated, perforated or impregnated, not elsewhere specified or included (223)","[""kg""]","","","","",""
"5603.13.00.95","3","Other (223)","[""kg""]","","","","",""
"5603.14","2","Weighing more than 150 g/m<sup>2</sup>:","","","","","",""
"5603.14.30.00","3","Laminated fabrics (223)","[""kg""]","Free","","83.5%","",""
"5603.14.90","3","Other","","Free","","74%","",""
"5603.14.90.10","4","Impregnated, coated or covered with material other than or in addition to rubber, plastics, wood pulp or glass fibers; ""imitation suede"" (223)","[""kg""]","","","","",""
"5603.14.90.90","4","Other (223)","[""kg""]","","","","",""
"","1","Other:","","","","","",""
"5603.91.00","2","Weighing not more than 25 g/m<sup>2</sup>","","Free","","74%","",""
"5603.91.00.10","3","Impregnated, coated or covered with material other than or in addition to rubber, plastics, wood pulp or glass fibers; ""imitation suede"" (223)","[""kg""]","","","","",""
"5603.91.00.90","3","Other (223)","[""kg""]","","","","",""
"5603.92.00","2","Weighing more than 25 g/m<sup>2</sup> but not more than 70 g/m<sup>2</sup>","","Free","","74%","",""
"5603.92.00.10","3","Impregnated, coated or covered with material other than or in addition to rubber, plastics, wood pulp or glass fibers; ""imitation suede"" (223)","[""kg""]","","","","",""
"5603.92.00.70","3","Nonwoven articles, ready for use and packaged for industrial, institutional or retail sale, whether or not separated, perforated or impregnated, not elsewhere specified or included (223)","[""kg""]","","","","",""
"5603.92.00.95","3","Other (223)","[""kg""]","","","","",""
"5603.93.00","2","Weighing more than 70 g/m<sup>2</sup> but not more than 150 g/m<sup>2</sup>","","Free","","74%","",""
"5603.93.00.10","3","Impregnated, coated or covered with material other than or in addition to rubber, plastics, wood pulp or glass fibers; ""imitation suede"" (223)","[""kg""]","","","","",""
"5603.93.00.90","3","Other (223)","[""kg""]","","","","",""
"5603.94","2","Weighing more than 150 g/m<sup>2</sup>:","","","","","",""
"5603.94.10","3","Floor covering underlays","","Free","","40%","",""
"5603.94.10.10","4","Of wool or fine animal hair (469)","[""m<sup>2<\/sup>"",""<u>kg<\/u>""]","","","","",""
"5603.94.10.90","4","Other","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"","3","Other:","","","","","",""
"5603.94.30.00","4","Laminated fabrics (223)","[""kg""]","Free","","83.5%","",""
"5603.94.90","4","Other","","Free","","74%","",""
"5603.94.90.10","5","Impregnated, coated or covered with material other than or in addition to rubber, plastics, wood pulp or glass fibers; ""imitation suede"" (223)","[""kg""]","","","","",""
"","5","Other nonwovens, whether or not impregnated, coated or covered:","","","","","",""
"5603.94.90.30","6","Thermal bonded, of staple fibers (223)","[""kg""]","","","","",""
"5603.94.90.50","6","Obtained by mechanical entanglement, of staple fibers (223)","[""kg""]","","","","",""
"","6","Other:","","","","","",""
"5603.94.90.70","7","Of filaments (223)","[""kg""]","","","","",""
"5603.94.90.90","7","Of staple fibers (223)","[""kg""]","","","","",""
"5604","0","Rubber thread and cord, textile covered; textile yarn, and strip and the like of heading 5404 or 5405, impregnated, coated, covered or sheathed with rubber or plastics:","","","","","",""
"5604.10.00.00","1","Rubber thread and cord, textile covered (201)","[""kg""]","6.3%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","40%","",""
"","1","Other:","","","","","",""
"5604.90.20.00","2","High tenacity yarn of polyesters, of nylon or other polyamides or of viscose rayon, impregnated or coated (201)","[""kg""]","8.8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","50%","",""
"5604.90.90.00","2","Other","[""kg""]","5%","Free (AU,BH, CL,CO,E*,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","50%","",""
