HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"","1","I. OTHER MADE UP TEXTILE ARTICLES","","","","","",""
"6301","0","Blankets and traveling rugs:","","","","","",""
"6301.10.00.00","1","Electric blankets (666)","[""No."",""<u>kg<\/u>""]","11.4%","Free (AU,BH, CL,CO,E*,IL,JO, KR,MA,OM,P, PA,PE,S,SG)","77.5%","",""
"6301.20.00","1","Blankets (other than electric blankets) and traveling rugs, of wool or fine animal hair","","Free","","$1.10/kg + 60%","",""
"6301.20.00.10","2","Not over 3 meters in length (464)","[""No."",""<u>kg<\/u>""]","","","","",""
"6301.20.00.20","2","Over 3 meters in length (410)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"6301.30.00","1","Blankets (other than electric blankets) and traveling rugs, of cotton","","8.4%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","30%","",""
"6301.30.00.10","2","Woven (369)","[""No."",""<u>kg<\/u>""]","","","","",""
"6301.30.00.20","2","Other (369)","[""No."",""<u>kg<\/u>""]","","","","",""
"6301.40.00","1","Blankets (other than electric blankets) and traveling rugs, of synthetic fibers","","8.5%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","77.5%","",""
"6301.40.00.10","2","Woven (666)","[""No."",""<u>kg<\/u>""]","","","","",""
"6301.40.00.20","2","Other (666)","[""No."",""<u>kg<\/u>""]","","","","",""
"6301.90.00","1","Other blankets and traveling rugs","","7.2%","Free (AU,BH, CL,CO,E*,IL, JO,KR, MA,NP,OM,P, PA,PE,S,SG)","90%","",""
"6301.90.00.10","2","Of artificial fibers (666)","[""No."",""<u>kg<\/u>""]","","","","",""
"","2","Other:","","","","","",""
"6301.90.00.20","3","Containing 85 percent or more by weight of silk or silk waste","[""No."",""kg""]","","","","",""
"6301.90.00.30","3","Other (899)","[""No."",""<u>kg<\/u>""]","","","","",""
"6302","0","Bed linen, table linen, toilet linen and kitchen linen:","","","","","",""
"6302.10.00","1","Bed linen, knitted or crocheted","","6%","Free (AU,BH, CL,CO,E*,IL,JO, KR,MA,OM,P, PA,PE,S,SG)","25%","",""
"","2","Of cotton:","","","","","",""
"6302.10.00.05","3","Pillowcases and bolster cases (362)","[""No."",""kg""]","","","","",""
"6302.10.00.08","3","Sheets (362)","[""No."",""kg""]","","","","",""
"6302.10.00.15","3","Other (362)","[""No."",""kg""]","","","","",""
"6302.10.00.20","2","Other (666)","[""No."",""<u>kg<\/u>""]","","","","",""
"","1","Other bed linen, printed:","","","","","",""
"6302.21","2","Of cotton:","","","","","",""
"","3","Containing any embroidery, lace, braid, edging, trimming, piping or applique work:","","","","","",""
"6302.21.30","4","Napped","","11.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","90%","",""
"6302.21.30.10","5","Pillowcases, other than bolster cases (360)","[""No."",""kg""]","","","","",""
"6302.21.30.20","5","Sheets (361)","[""No."",""kg""]","","","","",""
"6302.21.30.30","5","Bolster cases (360)","[""No."",""kg""]","","","","",""
"6302.21.30.40","5","Pillowcovers (369)","[""No."",""<u>kg<\/u>""]","","","","",""
"6302.21.30.50","5","Other (362)","[""No."",""kg""]","","","","",""
"6302.21.50","4","Not napped","","20.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","90%","",""
"6302.21.50.10","5","Pillowcases, other than bolster cases (360)","[""No."",""kg""]","","","","",""
"6302.21.50.20","5","Sheets (361)","[""No."",""kg""]","","","","",""
"6302.21.50.30","5","Bolster cases (360)","[""No."",""kg""]","","","","",""
"6302.21.50.40","5","Pillowcovers (369)","[""No."",""<u>kg<\/u>""]","","","","",""
"6302.21.50.50","5","Other (362)","[""No."",""kg""]","","","","",""
"","3","Other:","","","","","",""
"6302.21.70","4","Napped","","2.5%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","25%","",""
"6302.21.70.10","5","Pillowcases, other than bolster cases (360)","[""No."",""kg""]","","","","",""
"6302.21.70.20","5","Sheets (361)","[""No."",""kg""]","","","","",""
"6302.21.70.30","5","Bolster cases (360)","[""No."",""kg""]","","","","",""
"6302.21.70.40","5","Pillow covers (369)","[""No."",""<u>kg<\/u>""]","","","","",""
"6302.21.70.50","5","Other (362)","[""No."",""kg""]","","","","",""
"6302.21.90","4","Not napped","","6.7%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","25%","",""
"6302.21.90.10","5","Pillowcases, other than bolster cases (360)","[""No."",""kg""]","","","","",""
"6302.21.90.20","5","Sheets (361)","[""No."",""kg""]","","","","",""
"6302.21.90.30","5","Bolster cases (360)","[""No."",""kg""]","","","","",""
"6302.21.90.40","5","Pillow covers (369)","[""No."",""<u>kg<\/u>""]","","","","",""
"6302.21.90.50","5","Other (362)","[""No."",""kg""]","","","","",""
"6302.22","2","Of man-made fibers:","","","","","",""
"6302.22.10","3","Containing any embroidery, lace, braid, edging, trimming, piping or applique work","","14.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","90%","",""
"","4","Pillowcases, other than bolster cases:","","","","","",""
"6302.22.10.10","5","Napped (666)","[""No."",""<u>kg<\/u>""]","","","","",""
"6302.22.10.20","5","Not napped (666)","[""No."",""<u>kg<\/u>""]","","","","",""
"","4","Sheets:","","","","","",""
"6302.22.10.30","5","Napped (666)","[""No."",""<u>kg<\/u>""]","","","","",""
"6302.22.10.40","5","Not napped (666)","[""No."",""<u>kg<\/u>""]","","","","",""
"","4","Other:","","","","","",""
"6302.22.10.50","5","Bolster cases (666)","[""No."",""<u>kg<\/u>""]","","","","",""
"6302.22.10.60","5","Other (666)","[""No."",""<u>kg<\/u>""]","","","","",""
"6302.22.20","3","Other","","11.4%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","77.5%","",""
"6302.22.20.10","4","Pillow cases (666)","[""No."",""<u>kg<\/u>""]","","","","",""
"6302.22.20.20","4","Sheets (666)","[""No."",""<u>kg<\/u>""]","","","","",""
"6302.22.20.30","4","Other (666)","[""No."",""<u>kg<\/u>""]","","","","",""
"6302.29.00","2","Of other textile materials","","4.5%","Free (AU,BH, CL,CO,E*, IL, JO,KR, MA,OM,P, PA,PE,S,SG)","90%","",""
"6302.29.00.10","3","Containing 85 percent or more by weight of silk or silk waste","[""No."",""kg""]","","","","",""
"6302.29.00.20","3","Other (899)","[""No."",""<u>kg<\/u>""]","","","","",""
"","1","Other bed linen:","","","","","",""
"6302.31","2","Of cotton:","","","","","",""
"","3","Containing any embroidery, lace, braid, edging, trimming, piping or applique work:","","","","","",""
"6302.31.30","4","Napped","","11.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","90%","",""
"6302.31.30.10","5","Pillowcases, other than bolster cases (360)","[""No."",""kg""]","","","","",""
"6302.31.30.20","5","Sheets (361)","[""No."",""kg""]","","","","",""
"6302.31.30.30","5","Bolster cases (360)","[""No."",""kg""]","","","","",""
"6302.31.30.40","5","Pillowcovers (369)","[""No."",""<u>kg<\/u>""]","","","","",""
"6302.31.30.50","5","Other (362)","[""No."",""kg""]","","","","",""
"6302.31.50","4","Not napped","","20.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","90%","",""
"6302.31.50.10","5","Pillowcases, other than bolster cases (360)","[""No."",""kg""]","","","","",""
"6302.31.50.20","5","Sheets (361)","[""No."",""kg""]","","","","",""
"6302.31.50.30","5","Bolster cases (360)","[""No."",""kg""]","","","","",""
"6302.31.50.40","5","Pillowcovers (369)","[""No."",""<u>kg<\/u>""]","","","","",""
