HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"9001","0","Optical fibers and optical fiber bundles; optical fiber cables other than those of heading 8544; sheets and plates of polarizing material; lenses (including contact lenses), prisms, mirrors and other optical elements, of any material, unmounted, other than such elements of glass not optically worked:","","","","","",""
"9001.10.00","1","Optical fibers, optical fiber bundles and cables","","6.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","65%","",""
"","2","Optical fibers:","","","","","",""
"9001.10.00.30","3","For transmission of voice, data or video communications","[""m""]","","","","",""
"","3","Other:","","","","","",""
"9001.10.00.50","4","Plastic optical fibers","[""m""]","","","","",""
"9001.10.00.70","4","Other","[""m""]","","","","",""
"","2","Optical fiber bundles and cables:","","","","","",""
"9001.10.00.75","3","Plastic optical fiber bundles and cables","[""Fiber m""]","","","","",""
"9001.10.00.85","3","Other","[""Fiber m""]","","","","",""
"9001.20.00.00","1","Sheets and plates of polarizing material","[""kg""]","Free","","50%","",""
"9001.30.00.00","1","Contact lenses","[""No.""]","2%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"9001.40.00.00","1","Spectacle lenses of glass","[""prs.""]","2%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"9001.50.00.00","1","Spectacle lenses of other materials","[""prs.""]","2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"9001.90","1","Other:","","","","","",""
"9001.90.40.00","2","Lenses","[""No.""]","Free","","45%","",""
"9001.90.50.00","2","Prisms","[""No.""]","Free","","65%","",""
"9001.90.60.00","2","Mirrors","[""No.""]","Free","","45%","",""
"","2","Other:","","","","","",""
"9001.90.80.00","3","Halftone screens designed for use in engraving or photographic processes","[""No.""]","Free","","25%","",""
"9001.90.90.00","3","Other","[""No.""]","Free","","85%","",""
"9002","0","Lenses, prisms, mirrors and other optical elements, of any material, mounted, being parts of or fittings for instruments or apparatus, other than such elements of glass not optically worked; parts and accessories thereof:","","","","","",""
"","1","Objective lenses and parts and accessories thereof:","","","","","",""
"9002.11","2","For cameras, projectors or photographic enlargers or reducers:","","","","","",""
"9002.11.40.00","3","Projection","[""No.""]","2.45%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"","3","Other:","","","","","",""
"9002.11.60.00","4","Mounted lenses suitable for use in, and entered separately from, closed-circuit television cameras, with or without attached electrical or non-electrical closed-circuit television camera connectors, and with or without attached motors","[""No.""]","Free","","45%","",""
"9002.11.90.00","4","Other","[""No.""]","2.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,JP,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"9002.19.00.00","2","Other","[""No.""]","Free","","45%","",""
"9002.20","1","Filters and parts and accessories thereof:","","","","","",""
"9002.20.40.00","2","Photographic","[""No.""]","Free","","20%","",""
"9002.20.80.00","2","Other","[""No.""]","Free","","65%","",""
"9002.90","1","Other:","","","","","",""
"9002.90.20.00","2","Prisms","[""No.""]","Free","","65%","",""
"9002.90.40.00","2","Mirrors","[""No.""]","Free","","45%","",""
"","2","Other:","","","","","",""
"9002.90.70.00","3","Halftone screens designed for use in engraving or photographic processes","[""No.""]","Free","","25%","",""
"9002.90.85.00","3","Mounted lenses suitable for use in, and entered separately from, closed-circuit television cameras, with or without attached electrical or non-electrical closed-circuit television camera connectors, and with or without attached motors","[""No.""]","Free","","65%","",""
"9002.90.95.00","3","Other","[""No.""]","Free","","65%","",""
"9003","0","Frames and mountings for spectacles, goggles or the like, and parts thereof:","","","","","",""
"","1","Frames and mountings:","","","","","",""
