HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"9701","0","Painting, drawings and pastels, executed entirely by hand, other than drawings of heading 4906 and other than hand-painted or hand-decorated manufacture articles; collages, mosaics and similar decorative plaques:","","","","","",""
"","1","Of an age exceeding 100 years:","","","","","",""
"9701.21.00.00","2","Paintings, drawings, and pastels","[""No.""]","Free","","Free","",""
"9701.22.00.00","2","Mosaics","[""No.""]","Free","","Free","",""
"9701.29.00.00","2","Other","[""No.""]","Free","","Free","",""
"","1","Other:","","","","","",""
"9701.91.00.00","2","Paintings, drawings, and pastels","[""No.""]","Free","","Free","",""
"9701.92.00.00","2","Mosaics","[""No.""]","Free","","Free","",""
"9701.99.00.00","2","Other","[""No.""]","Free","","Free","",""
"9702","0","Original engravings, prints and lithographs:","","","","","",""
"9702.10.00.00","1","Of an age exceeding 100 years","[""No.""]","Free","","Free","",""
"9702.90.00.00","1","Other","[""No.""]","Free","","Free","",""
"9703","0","Original sculptures and statuary, in any material:","","","","","",""
"9703.10.00.00","1","Of an age exceeding 100 years","[""No.""]","Free","","Free","",""
"9703.90.00.00","1","Other","[""No.""]","Free","","Free","",""
"9704.00.00.00","0","Postage or revenue stamps, stamp-postmarks, first-day covers, postal stationery (stamped paper) and the like, used or unused, other than those of heading 4907","[""No.""]","Free","","Free","",""
"9705","0","Collections and collectors’ pieces of archaeological, ethnographic, historical, zoological, botanical, mineralogical, anatomical, paleontological or numismatic interest:","","","","","",""
"9705.10.00","1","Collections and collectors’ pieces of archaeological, ethnographic or historical interest","","Free","","Free","",""
"9705.10.00.10","2","Archaeological pieces of a kind described in statistical note 1 to this chapter","[""kg""]","","","","",""
"9705.10.00.20","2","Ethnographic pieces of a kind described in statistical note 1 to this chapter","[""kg""]","","","","",""
"9705.10.00.90","2","Other","[""kg""]","","","","",""
"","1","Collections and collectors’ pieces of zoological, botanical, mineralogical, anatomical or paleontological interest:","","","","","",""
"9705.21.00.00","2","Human specimens and parts thereof","[""g""]","Free","","Free","",""
"9705.22.00.00","2","Extinct or endangered species and parts thereof","[""g""]","Free","","Free","",""
"9705.29.00.00","2","Other","[""g""]","Free","","Free","",""
"","1","Collections and collectors’ pieces of numismatic interest:","","","","","",""
"9705.31.00","2","Of an age exceeding 100 years","","Free","","Free","",""
"9705.31.00.01","3","Coins made prior to the 14th century and not known to be the direct products of excavations, finds or archaeological sites","[""g""]","","","","",""
"","3","Other:","","","","","",""
"","4","Of an age equal to or exceeding 250 years:","","","","","",""
"9705.31.00.10","5","Gold","[""g""]","","","","",""
"9705.31.00.40","5","Other","[""g""]","","","","",""
"","4","Of an age exceeding 100 years but less than 250 years:","","","","","",""
"9705.31.00.50","5","Gold","[""g""]","","","","",""
"9705.31.00.65","5","Other","[""g""]","","","","",""
"9705.39.00","2","Other","","Free","","Free","",""
"9705.39.00.10","4","Gold","[""g""]","","","","",""
"9705.39.00.40","4","Other","[""g""]","","","","",""
"9706","0","Antiques of an age exceeding 100 years:","","","","","",""
"9706.10.00","1","Of an age exceeding 250 years","","Free","","Free","",""
"9706.10.00.20","2","Silverware","[""kg""]","","","","",""
"9706.10.00.40","2","Furniture","[""kg""]","","","","",""
"9706.10.00.60","2","Other","[""kg""]","","","","",""
"9706.90.00","1","Other","","Free","","Free","",""
"9706.90.00.20","2","Silverware","[""kg""]","","","","",""
"9706.90.00.40","2","Furniture","[""kg""]","","","","",""
"9706.90.00.60","2","Other","[""kg""]","","","","",""
