HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"9401","0","Seats (other than those of heading 9402), whether or not convertible into beds, and parts thereof:","","","","","",""
"9401.10","1","Seats of a kind used for aircraft:","","","","","",""
"9401.10.40.00","2","Leather upholstered","[""No.""]","Free","","45%","",""
"9401.10.80.00","2","Other","[""No.""]","Free","","45%","",""
"9401.20.00.00","1","Seats of a kind used for motor vehicles","[""No.""]","Free","","25%","",""
"","1","Swivel seats with variable height adjustment:","","","","","",""
"9401.31.00.00","2","Of wood","[""No.""]","Free","","45%","",""
"9401.39.00","2","Other","","Free","","45%","",""
"9401.39.00.10","3","Household","[""No.""]","","","","",""
"9401.39.00.30","3","Other","[""No.""]","","","","",""
"","1","Seats other than garden seats or camping equipment, convertible into beds:","","","","","",""
"9401.41.00.00","2","Of wood","[""No.""]","Free","","40%","",""
"9401.49.00.00","2","Other","[""No.""]","Free","","40%","",""
"","1","Seats of cane, osier, bamboo or similar materials:","","","","","",""
"9401.52.00.00","2","Of bamboo","[""No.""]","Free","","60%","",""
"9401.53.00.00","2","Of rattan","[""No.""]","Free","","60%","",""
"9401.59.00.00","2","Other","[""No.""]","Free","","60%","",""
"","1","Other seats, with wooden frames:","","","","","",""
"9401.61","2","Upholstered:","","","","","",""
"","3","Chairs:","","","","","",""
"9401.61.20","4","Of teak","","Free","","40%","",""
"","5","Household:","","","","","",""
"9401.61.20.11","6","Of plantation-harvested teak","[""No.""]","","","","",""
"9401.61.20.15","6","Other","[""No.""]","","","","",""
"","5","Other:","","","","","",""
"9401.61.20.31","6","Of plantation-harvested teak","[""No.""]","","","","",""
"9401.61.20.35","6","Other","[""No.""]","","","","",""
"9401.61.40","4","Other","","Free","","40%","",""
"9401.61.40.01","5","Chairs for children, including highchairs","[""No.""]","","","","",""
"9401.61.40.11","5","Other household","[""No.""]","","","","",""
"9401.61.40.31","5","Other","[""No.""]","","","","",""
"9401.61.60","3","Other","","Free","","40%","",""
"9401.61.60.01","4","Stationary activity centers for children","[""No.""]","","","","",""
"9401.61.60.05","4","Other seats for children","[""No.""]","","","","",""
"9401.61.60.11","4","Other household","[""No.""]","","","","",""
"9401.61.60.31","4","Other","[""No.""]","","","","",""
"9401.69","2","Other:","","","","","",""
"9401.69.20","3","Bent-wood seats","","Free","","42.5%","",""
"9401.69.20.10","4","Household","[""No.""]","","","","",""
"9401.69.20.30","4","Other","[""No.""]","","","","",""
"","3","Other:","","","","","",""
"","4","Chairs:","","","","","",""
"9401.69.40","5","Of teak","","Free","","40%","",""
"","6","Household:","","","","","",""
"9401.69.40.11","7","Of plantation-harvested teak","[""No.""]","","","","",""
