HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"1901","0","Malt extract; food preparations of flour, groats, meal, starch or malt extract, not containing cocoa or containing less than 40 percent by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included; food preparations of goods of headings 0401 to 0404, not containing cocoa or containing less than 5 percent by weight of cocoa calculated on a totally defatted basis, not elsewhere specified or included:","","","","","",""
"1901.10","1","Preparations suitable for infants or young children, put up for retail sale:","","","","","",""
"","2","Preparations suitable for infants, put up for retail sale:","","","","","",""
"","3","Containing over 10 percent by weight of milk solids:","","","","","",""
"1901.10.05.00","4","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","17.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"","4","Other:","","","","","",""
"","5","Infant formula containing oligosaccharides:","","","","","",""
"1901.10.11.00","6","Described in additional U.S. note 2 to this chapter and entered pursuant to its provisions","[""kg"",""kg cmsc""]","17.5%","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"1901.10.16.00","6","Other","[""kg"",""kg cmsc""]","$1.035/kg + 14.9%","Free (BH,CL,JO,KR,MA,OM,P,PE,SG) 6.9¢/kg + 0.9% (PA) See 9822.04.25 (AU) See 9823.08.01-9823.08.38 (S+) See 9918.04.60-9918.04.80 (CO)","$1.217/kg + 17.5%","",""
"","5","Other:","","","","","",""
"","6","Dairy products described in additional U.S. note 1 to chapter 4:","","","","","",""
"1901.10.21.00","7","Described in additional U.S. note 10 to chapter 4 and entered pursuant to its provisions","[""kg""]","17.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"1901.10.26.00","7","Other","[""kg"",""kg cmsc""]","$1.035/kg + 14.9%","Free (BH,CL,JO,KR,MA,OM,P,PE,SG) 6.9¢/kg + 0.9% (PA) See 9822.04.25 (AU) See 9823.08.01-9823.08.38 (S+) See 9918.04.60-9918.04.80 (CO)","$1.217/kg + 17.5%","",""
"1901.10.29.00","6","Other","[""kg"",""kg cmsc""]","14.9%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"","3","Other:","","","","","",""
"1901.10.31.00","4","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","17.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"","4","Other:","","","","","",""
"","5","Infant formula containing oligosaccharides:","","","","","",""
"1901.10.33.00","6","Described in additional U.S. note 2 to this chapter and entered pursuant to its provisions","[""kg""]","17.5%","Free (A+,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"1901.10.36.00","6","Other","[""kg""]","$1.035/kg + 14.9%","Free (BH,CL,JO,KR,MA,OM,P,PE,SG) 6.9¢/kg + 0.9% (PA) See 9822.04.25 (AU) See 9823.08.01-9823.08.38 (S+) See 9918.04.60-9918.04.80 (CO)","$1.217/kg + 17.5%","",""
"","5","Other:","","","","","",""
"","6","Dairy products described in additional U.S. note 1 to chapter 4:","","","","","",""
"1901.10.41.00","7","Described in additional U.S. note 10 to chapter 4 and entered pursuant to its provisions","[""kg""]","17.5%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"1901.10.44.00","7","Other","[""kg""]","$1.035/kg + 14.9%","Free (BH,CL,JO,KR,MA,OM,P,PE,SG) 6.9¢/kg + 0.9% (PA) See 9822.04.25 (AU) See 9823.08.01-9823.08.38 (S+) See 9918.04.60-9918.04.80 (CO)","$1.217/kg + 17.5%","",""
"1901.10.49.00","6","Other","[""kg""]","14.9%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"","2","Preparations suitable for young children, put up for retail sale:","","","","","",""
"","3","Dairy products described in additional U.S. note 1 to chapter 4:","","","","","",""
"","4","Dairy preparations containing over 10 percent by weight of milk solids:","","","","","",""
"1901.10.52.00","5","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","16%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
