HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"2601","0","Iron ores and concentrates, including roasted iron pyrites:","","","","","",""
"","1","Iron ores and concentrates, other than roasted iron pyrites:","","","","","",""
"2601.11.00","2","Non-agglomerated","","Free","","Free","",""
"2601.11.00.30","3","Concentrates","[""t""]","","","","",""
"","3","Ores:","","","","","",""
"2601.11.00.60","4","Coarse","[""t""]","","","","",""
"2601.11.00.90","4","Other","[""t""]","","","","",""
"2601.12.00","2","Agglomerated","","Free","","Free","",""
"2601.12.00.30","3","Pellets","[""t""]","","","","",""
"2601.12.00.60","3","Briquettes","[""t""]","","","","",""
"2601.12.00.90","3","Other","[""t""]","","","","",""
"2601.20.00.00","1","Roasted iron pyrites","[""t""]","Free","","Free","",""
"2602.00.00","0","Manganese ores and concentrates, including ferruginous manganese ores and concentrates with a manganese content of 20 percent or more, calculated on the dry weight","","Free","","2.2¢/kg on manganese content","",""
"2602.00.00.40","1","Containing less than 47 percent by weight of manganese","[""kg"",""Mn kg""]","","","","",""
"2602.00.00.60","1","Containing 47 percent or more by weight of manganese","[""kg"",""Mn kg""]","","","","",""
"2603.00.00","0","Copper ores and concentrates","","1.7¢/kg on lead content","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","8.8¢/kg on copper content + 3.3¢/kg on lead content + 3.7¢/kg on zinc content","",""
"2603.00.00.10","1","Copper content","[""Cu kg""]","","","","",""
"2603.00.00.20","1","Lead content","[""Pb kg""]","","","","",""
"2603.00.00.30","1","Zinc content","[""Zn kg""]","","","","",""
"2603.00.00.40","1","Silver content","[""Ag g""]","","","","",""
"2603.00.00.50","1","Gold content","[""Au g""]","","","","",""
"2604.00.00","0","Nickel ores and concentrates","","Free","","Free","",""
"2604.00.00.40","1","Nickel content","[""Ni kg""]","","","","",""
"2604.00.00.80","1","Other metal content","[""kg""]","","","","",""
"2605.00.00.00","0","Cobalt ores and concentrates","[""kg"",""Co kg""]","Free","","Free","",""
"2606.00.00","0","Aluminum ores and concentrates","","Free","","$1/t","",""
"","1","Bauxite, calcined:","","","","","",""
"2606.00.00.30","2","Refractory grade","[""t""]","","","","",""
"2606.00.00.60","2","Other","[""t""]","","","","",""
"2606.00.00.90","1","Other","[""t""]","","","","",""
