HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"5201.00","0","Cotton, not carded or combed:","","","","","",""
"","1","Having a staple length under 28.575 mm (1-1/8 inches):","","","","","",""
"5201.00.05.00","2","Harsh or rough, having a staple length under <il>19.05 mm</il> (3/4 inch)","[""kg""]","Free","","Free","",""
"","2","Other:","","","","","",""
"5201.00.12.00","3","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","Free","","Free","",""
"5201.00.14.00","3","Described in additional U.S. note 5 to this chapter and entered pursuant to its provisions","[""kg""]","Free","","Free","",""
"5201.00.18.00","3","Other","[""kg""]","31.4¢/kg","Free (A+,AU,BH,CL,CO,JO,KR,MA,OM,P,PE,S,SG) 3.1¢/kg (PA)","36.9¢/kg","",""
"","1","Having a staple length of 28.575 mm (1-1/8 inches) or more but under 34.925 mm (1-3/8 inches):","","","","","",""
"5201.00.22.00","2","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","4.4¢/kg","Free (A+,AU,BH,CL,CO,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","15.4¢/kg","",""
"","2","Other, harsh or rough, having a staple length of 29.36875 mm (1-5/32 inches) or more and white in color (except cotton of perished staple, grabbots and cotton pickings):","","","","","",""
"5201.00.24.00","3","Described in additional U.S. note 6 to this chapter and entered pursuant to its provisions","[""kg""]","4.4¢/kg","Free (A+,BH,CL,CO,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg","",""
"5201.00.28.00","3","Other","[""kg""]","31.4¢/kg","Free (A+,AU,BH,CL,CO,JO,KR,MA,OM,P,PE,S,SG) 3.1¢/kg (PA)","36.9¢/kg","",""
"","2","Other:","","","","","",""
"5201.00.34.00","3","Described in additional U.S. note 7 to this chapter and entered pursuant to its provisions","[""kg""]","4.4¢/kg","Free (A+,BH,CL,CO,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg","",""
"5201.00.38.00","3","Other","[""kg""]","31.4¢/kg","Free (A+,AU,BH,CL,CO,JO,KR,MA,OM,P,PE,S,SG) 3.1¢/kg (PA)","36.9¢/kg","",""
"","1","Having a staple length of 34.925 mm (1-3/8 inches) or more:","","","","","",""
"5201.00.55.00","2","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","1.5¢/kg","Free (AU,BH, CL,CO,E,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","15.4¢/kg","",""
"5201.00.60.00","2","Described in additional U.S. note 8 to this chapter and entered pursuant to its provisions","[""kg""]","1.5¢/kg","Free (BH,CL,CO,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15.4¢/kg","",""
"5201.00.80.00","2","Other","[""kg""]","31.4¢/kg","Free (AU,BH,CL,CO,JO,KR,MA,OM,P,PE,S,SG) 3.1¢/kg (PA)","36.9¢/kg","",""
"5202","0","Cotton waste (including yarn waste and garnetted stock):","","","","","",""
"5202.10.00.00","1","Yarn waste (including thread waste)","[""kg""]","Free","","Free","",""
"","1","Other:","","","","","",""
"5202.91.00.00","2","Garnetted stock","[""kg""]","4.3%","Free (A+,AU,BH,CL,CO,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","5%","",""
"5202.99","2","Other:","","","","","",""
"","3","Card strips made from cotton having a staple length under 30.1625 mm (1-3/16 inches) and lap waste, sliver waste and roving waste:","","","","","",""
"5202.99.05.00","4","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","Free","","Free","",""
"5202.99.10.00","4","Described in additional U.S. note 9 to this chapter and entered pursuant to its provisions","[""kg""]","Free","","Free","",""
"5202.99.30.00","4","Other","[""kg""]","7.8¢/kg","Free (A+,AU,BH,CL,CO,JO,KR,MA,OM,P,PE,S,SG) 0.7¢/kg (PA)","9.2¢/kg","",""
"5202.99.50.00","3","Other","[""kg""]","Free","","Free","",""
"5203.00","0","Cotton, carded or combed:","","","","","",""
"","1","Fibers of cotton processed but not spun:","","","","","",""
"5203.00.05.00","2","Described in general note 15 of the tariff schedule and entered pursuant to its provisions","[""kg""]","5%","Free (A+,AU,BH,CL,CO,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","5%","",""
"5203.00.10.00","2","Described in additional U.S. note 10 to this chapter and entered pursuant to its provisions","[""kg""]","5%","Free (A+,BH,CL,CO,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","5%","",""
"5203.00.30.00","2","Other","[""kg""]","31.4¢/kg","Free (A+,AU,BH,CL,CO,JO,KR,MA,OM,P,PE,S,SG) 3.1¢/kg (PA)","36.9¢/kg","",""
"5203.00.50.00","1","Other","[""kg""]","4.3%","Free (A+,AU,BH,CL,CO,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","5%","",""
"5204","0","Cotton sewing thread, whether or not put up for retail sale:","","","","","",""
"","1","Not put up for retail sale:","","","","","",""
"5204.11.00.00","2","Containing 85 percent or more by weight of cotton (200)","[""kg""]","4.4%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","25.5%","",""
"5204.19.00.00","2","Other (200)","[""kg""]","4.4%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","25.5%","",""
"5204.20.00.00","1","Put up for retail sale (200)","[""kg""]","4.4%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","25.5%","",""
"5205","0","Cotton yarn (other than sewing thread), containing 85 percent or more by weight of cotton, not put up for retail sale:","","","","","",""
"","1","Single yarn, of uncombed fibers:","","","","","",""
"5205.11","2","Not exceeding 14 nm:","","","","","",""
"5205.11.10.00","3","Unbleached, not mercerized (300)","[""kg""]","3.7%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","6.9%","",""
"5205.11.20.00","3","Other (300)","[""kg""]","5%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","11.9%","",""
"5205.12","2","Exceeding 14 nm but not exceeding 43 nm:","","","","","",""
"5205.12.10.00","3","Unbleached, not mercerized (300)","[""kg""]","5.2%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","10.3%","",""
"5205.12.20.00","3","Other (300)","[""kg""]","6.5%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","15.3%","",""
"5205.13","2","Exceeding 43 nm but not exceeding 52 nm:","","","","","",""
"5205.13.10.00","3","Unbleached, not mercerized (300)","[""kg""]","6.5%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","13.9%","",""
"5205.13.20.00","3","Other (300)","[""kg""]","7.3%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","18.9%","",""
"5205.14","2","Exceeding 52 nm but not exceeding 80 nm:","","","","","",""
"5205.14.10.00","3","Unbleached, not mercerized (300)","[""kg""]","7.8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","17.3%","",""
"5205.14.20.00","3","Other (300)","[""kg""]","8.7%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","22.3%","",""
"5205.15","2","Exceeding 80 nm:","","","","","",""
"5205.15.10.00","3","Unbleached, not mercerized (300)","[""kg""]","9.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","29.1%","",""
"5205.15.20.00","3","Other (300)","[""kg""]","12%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","34.1%","",""
"","1","Single yarn, of combed fibers:","","","","","",""
"5205.21.00","2","Not exceeding 14 nm","","5.8%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","11.9%","",""
"5205.21.00.20","3","Ring spun (301)","[""kg""]","","","","",""
"5205.21.00.90","3","Other (301)","[""kg""]","","","","",""
"5205.22.00","2","Exceeding 14 nm but not exceeding 43 nm","","7.3%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15.3%","",""
"5205.22.00.20","3","Ring spun (301)","[""kg""]","","","","",""
"5205.22.00.90","3","Other (301)","[""kg""]","","","","",""
"5205.23.00","2","Exceeding 43 nm but not exceeding 52 nm","","8.6%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","18.9%","",""
"5205.23.00.20","3","Ring spun (301)","[""kg""]","","","","",""
"5205.23.00.90","3","Other (301)","[""kg""]","","","","",""
"5205.24.00","2","Exceeding 52 nm but not exceeding 80 nm","","9.9%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","22.3%","",""
"5205.24.00.20","3","Ring spun (301)","[""kg""]","","","","",""
"5205.24.00.90","3","Other (301)","[""kg""]","","","","",""
"5205.26.00","2","Measuring less than 125 decitex but not less than 106.38 decitex (exceeding 80 metric number but not exceeding 94 metric number)","","12%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","34.1%","",""
"5205.26.00.20","3","Ring spun (301)","[""kg""]","","","","",""
"5205.26.00.90","3","Other (301)","[""kg""]","","","","",""
"5205.27.00","2","Measuring less than 106.38 decitex but not less than 83.33 decitex (exceeding 94 metric number but not exceeding 120 metric number)","","12%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","34.1%","",""
"5205.27.00.20","3","Ring spun (301)","[""kg""]","","","","",""
"5205.27.00.90","3","Other (301)","[""kg""]","","","","",""
"5205.28.00","2","Measuring less than 83.33 decitex (exceeding 120 metric number)","","12%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","34.1%","",""
"5205.28.00.20","3","Ring spun (301)","[""kg""]","","","","",""
"5205.28.00.90","3","Other (301)","[""kg""]","","","","",""
"","1","Multiple (folded) or cabled yarn, of uncombed fibers:","","","","","",""
"5205.31.00.00","2","Not exceeding 14 nm per single yarn (300)","[""kg""]","5.8%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","11.9%","",""
"5205.32.00.00","2","Exceeding 14 nm but not exceeding 43 nm per single yarn (300)","[""kg""]","7.3%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","15.3%","",""
"5205.33.00.00","2","Exceeding 43 nm but not exceeding 52 nm per single yarn (300)","[""kg""]","8.6%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","18.9%","",""
"5205.34.00.00","2","Exceeding 52 nm but not exceeding 80 nm per single yarn (300)","[""kg""]","9.9%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","22.3%","",""
"5205.35.00.00","2","Exceeding 80 nm per single yarn (300)","[""kg""]","12%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","34.1%","",""
"","1","Multiple (folded) or cabled yarn, of combed fibers:","","","","","",""
"5205.41.00","2","Not exceeding 14 nm per single yarn","","5%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","11.9%","",""
"5205.41.00.20","3","Ring spun (301)","[""kg""]","","","","",""
"5205.41.00.90","3","Other (301)","[""kg""]","","","","",""
