HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"5401","0","Sewing thread of man-made filaments, whether or not put up for retail sale:","","","","","",""
"5401.10.00.00","1","Of synthetic filaments (200)","[""kg""]","11.4%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"5401.20.00.00","1","Of artificial filaments (200)","[""kg""]","11.4%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","55%","",""
"5402","0","Synthetic filament yarn (other than sewing thread), not put up for retail sale, including synthetic monofilament of less than <il>67 decitex</il>:","","","","","",""
"","1","High tenacity yarn of nylon or other polyamides, whether or not textured:","","","","","",""
"5402.11","2","Of aramids:","","","","","",""
"5402.11.30","3","Single yarn","","8.8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM, P,PA,PE,S,SG)","50%","",""
"","4","Not more than 920 decitex:","","","","","",""
"5402.11.30.10","5","Monofilament; multifilament, untwisted or with twist of less than 5 turns per meter","[""kg""]","","","","",""
"5402.11.30.30","5","Multifilament, with twist of 5 turns or more per meter (606)","[""kg""]","","","","",""
"","4","More than 920 decitex:","","","","","",""
"5402.11.30.50","5","Monofilament; multifilament, untwisted or with twist of less than 5 turns per meter","[""kg""]","","","","",""
"5402.11.30.70","5","Multifilament, with twist of 5 turns or more per meter (606)","[""kg""]","","","","",""
"5402.11.60.00","3","Multiple (folded) or cabled (606)","[""kg""]","8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","55%","",""
"5402.19","2","Other:","","","","","",""
"5402.19.30","3","Single yarn","","8.8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","50%","",""
"","4","Not more than 920 decitex:","","","","","",""
"5402.19.30.10","5","Monofilament; multifilament, untwisted or with twist of less than 5 turns per meter","[""kg""]","","","","",""
"5402.19.30.30","5","Multifilament, with twist of 5 turns or more per meter (606)","[""kg""]","","","","",""
"","4","More than 920 decitex:","","","","","",""
"5402.19.30.50","5","Monofilament; multifilament, untwisted or with twist of less than 5 turns per meter","[""kg""]","","","","",""
"5402.19.30.70","5","Multifilament, with twist of 5 turns or more per meter (606)","[""kg""]","","","","",""
"5402.19.60.00","3","Multiple (folded) or cabled (606)","[""kg""]","8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","55%","",""
"5402.20","1","High tenacity yarn of polyesters, whether or not textured:","","","","","",""
"5402.20.30","2","Single yarn","","8.8%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"","3","Not more than 920 decitex:","","","","","",""
"5402.20.30.10","4","Monofilament; multifilament, untwisted or with twist of less than 5 turns per meter","[""kg""]","","","","",""
"5402.20.30.30","4","Multifilament, with twist of 5 turns or more per meter (606)","[""kg""]","","","","",""
"","3","More than 920 decitex:","","","","","",""
"5402.20.30.50","4","Monofilament; multifilament, untwisted or with twist of less than 5 turns per meter","[""kg""]","","","","",""
"5402.20.30.70","4","Multifilament, with twist of 5 turns or more per meter (606)","[""kg""]","","","","",""
"5402.20.60.00","2","Multiple (folded) or cabled (606)","[""kg""]","7.5%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"","1","Textured yarn:","","","","","",""
"5402.31","2","Of nylon or other polyamides, measuring per single yarn not more than 500 decitex:","","","","","",""
"5402.31.30.00","3","Single yarn (600)","[""kg""]","8.8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","50%","",""
"5402.31.60.00","3","Multiple (folded) or cabled yarn (600)","[""kg""]","8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","55%","",""
"5402.32","2","Of nylon or other polyamides, measuring per single yarn more than 500 decitex:","","","","","",""
"5402.32.30.00","3","Single yarn (600)","[""kg""]","8%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"5402.32.60.00","3","Multiple (folded) or cabled yarn (600)","[""kg""]","8%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"5402.33","2","Of polyesters:","","","","","",""
"5402.33.30.00","3","Single yarn (600)","[""kg""]","8.8%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"5402.33.60.00","3","Multiple (folded) or cabled yarn (600)","[""kg""]","8%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","55%","",""
"5402.34","2","Of polypropylene:","","","","","",""
"5402.34.30.00","3","Single yarn (600)","[""kg""]","8.8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","50%","",""
"5402.34.60.00","3","Multiple (folded) or cabled yarn (600)","[""kg""]","8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","55%","",""
"5402.39","2","Other:","","","","","",""
"5402.39.31","3","Single yarn","","8.8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","50%","",""
"5402.39.31.10","4","Of polyethylene (600)","[""kg""]","","","","",""
"5402.39.31.90","4","Other (600)","[""kg""]","","","","",""
"5402.39.61","3","Multiple (folded) or cabled yarn","","8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","55%","",""
"5402.39.61.10","4","Of polyethylene (600)","[""kg""]","","","","",""
"5402.39.61.90","4","Other (600)","[""kg""]","","","","",""
"","1","Other yarn, single, untwisted or with a twist not exceeding 50 turns/m:","","","","","",""
"5402.44.00","2","Elastomeric","","8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","50%","",""
"5402.44.00.05","3","Monofilament; multifilament, untwisted or with twist of less than 5 turns per meter","[""kg""]","","","","",""
"5402.44.00.40","3","Other","[""kg""]","","","","",""
"5402.45","2","Other, of nylon or other polyamides:","","","","","",""
"5402.45.10.00","3","Colored multifilament, untwisted or with a twist of less than 5 turns per meter, measuring not less than 22 decitex per filament, certified by the importer to be used in the manufacture of wigs for dolls","[""kg""]","Free","","50%","",""
"5402.45.90","3","Other","","8%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","50%","",""
"","4","Monofilament; multifilament, untwisted or with twist of less than 5 turns per meter:","","","","","",""
"5402.45.90.10","5","Multifilament, partially oriented","[""kg""]","","","","",""
"5402.45.90.30","5","Other","[""kg""]","","","","",""
"5402.45.90.40","4","Multifilament, with twist of 5 turns or more per meter (606)","[""kg""]","","","","",""
"5402.46.00.00","2","Other, of polyesters, partially oriented","[""kg""]","8.8%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"5402.47","2","Other, of polyesters:","","","","","",""
