HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"6201","0","Men's or boys' overcoats, carcoats, capes, cloaks, anoraks (including ski jackets), windbreakers and   similar articles (including padded, sleeveless jackets), other than those of heading 6203:","","","","","",""
"6201.20","1","Of wool or fine animal hair:","","","","","",""
"6201.20.11","2","Overcoats, carcoats, capes, cloaks and similar coats:","","41¢/kg + 16.3%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","52.9¢/kg + 58.5%","",""
"6201.20.11.10","3","Men's (434)","[""doz."",""kg""]","","","","",""
"6201.20.11.20","3","Boys' (434)","[""doz."",""kg""]","","","","",""
"","2","Anoraks (including ski-jackets), windbreakers and similar articles (including padded, sleeveless jackets):","","","","","",""
"","3","Recreational performance outerwear:","","","","","",""
"6201.20.19.00","4","Padded, sleeveless jackets (459)","[""doz."",""<u>kg<\/u>""]","8.5%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","58.5%","",""
"6201.20.29","4","Other","","49.7¢/kg + 19.7%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","52.9¢/kg + 58.5%","",""
"6201.20.29.11","5","Men's (434)","[""doz."",""kg""]","","","","",""
"6201.20.29.21","5","Boys' (434)","[""doz."",""kg""]","","","","",""
"","3","Other:","","","","","",""
"6201.20.35.00","4","Padded, sleeveless jackets (459)","[""doz."",""<u>kg<\/u>""]","8.5%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","58.5%","",""
"6201.20.40","4","Other","","49.7¢/kg + 19.7%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","52.9¢/kg + 58.5%","",""
"6201.20.40.11","5","Men's (434)","[""doz."",""kg""]","","","","",""
"6201.20.40.21","5","Boys' (434)","[""doz."",""kg""]","","","","",""
"6201.30","1","Of cotton:","","","","","",""
"","2","Overcoats, carcoats, capes, cloaks and similar coats:","","","","","",""
"6201.30.12.00","3","Containing 15 percent or more by weight of down and waterfowl plumage and of which down comprises 35   percent or more by weight; containing 10 percent or more by weight of down (353)","[""doz."",""kg""]","4.4%","Free (AU,BH,CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","60%","",""
