HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"6801.00.00.00","0","Setts, curbstones and flagstones, of natural stone (except slate)","[""t""]","2.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"6802","0","Worked monumental or building stone (except slate) and articles thereof, other than goods of heading 6801; mosaic cubes and the like, of natural stone (including slate), whether or not on a backing; artificially colored granules, chippings and powder, of natural stone (including slate):","","","","","",""
"6802.10.00.00","1","Tiles, cubes and similar articles, whether or not rectangular (including square), the largest face of which is capable of being enclosed in a square the side of which is less than <il>7 cm</il>; artificially colored granules, chippings and powder","[""kg""]","4.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"","1","Other monumental or building stone and articles thereof, simply cut or sawn, with a flat or even surface:","","","","","",""
"6802.21","2","Marble, travertine and alabaster:","","","","","",""
"6802.21.10.00","3","Travertine","[""t""]","4.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"6802.21.50.00","3","Other","[""t""]","1.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","13%","",""
"6802.23.00.00","2","Granite","[""t""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"6802.29","2","Other stone:","","","","","",""
"6802.29.10.00","3","Calcareous stone, other than marble, travertine or alabaster","[""t""]","4.9%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"6802.29.90.00","3","Other","[""t""]","6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"","1","Other:","","","","","",""
"6802.91","2","Marble, travertine and alabaster:","","","","","",""
"","3","Marble:","","","","","",""
"6802.91.05.00","4","Slabs","[""t""]","2.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15%","",""
"6802.91.15.00","4","Other","[""t""]","4.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"","3","Travertine:","","","","","",""
"6802.91.20.00","4","Articles of subheading 6802.21.10 that have been dressed or polished, but not further worked","[""t""]","4.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"6802.91.25.00","4","Other","[""t""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"6802.91.30.00","3","Alabaster","[""t""]","4.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"6802.92.00.00","2","Other calcareous stone","[""t""]","4.9%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","50%","",""
"6802.93.00","2","Granite","","3.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","60%","",""
"6802.93.00.10","3","Articles for monumental or building purposes of subheading 6802.23.00, not cut to size, with only one face surface-worked more than simply cut or sawn","[""t""]","","","","",""
"","3","Articles for monumental or building purposes of subheading 6802.23.00, cut to size, with one or more faces or edges surface-worked more than simply cut or sawn:","","","","","",""
"6802.93.00.20","4","With a maximum thickness of <il>1.5 cm</il>","[""t""]","","","","",""
"6802.93.00.25","4","With a maximum thickness greater than <il>1.5 cm</il> but not greater than <il>7.5 cm</il>","[""t""]","","","","",""
"","4","With a maximum thickness greater than <il>7.5 cm:</il>","","","","","",""
"6802.93.00.35","5","Monuments, bases and markers","[""t""]","","","","",""
"6802.93.00.60","5","Other","[""t""]","","","","",""
"6802.93.00.90","3","Other","[""t""]","","","","",""
"6802.99.00","2","Other stone","","6.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"6802.99.00.30","3","Monuments, bases and markers","[""t""]","","","","",""
"","3","Other:","","","","","",""
"","4","Quartzite:","","","","","",""
"6802.99.00.50","5","Slabs","[""t""]","","","","",""
"6802.99.00.70","5","Other","[""t""]","","","","",""
"6802.99.00.90","4","Other","[""t""]","","","","",""
"6803.00","0","Worked slate and articles of slate or of agglomerated slate:","","","","","",""
"6803.00.10.00","1","Roofing slate","[""m<sup>2<\/sup>""]","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"6803.00.50.00","1","Other","[""t""]","Free","","25%","",""
"6804","0","Millstones, grindstones, grinding wheels and the like, without frameworks, for grinding, sharpening, polishing, trueing or cutting, hand sharpening or polishing stones, and parts thereof, of natural stone, of agglomerated natural or artificial abrasives, or of ceramics, with or without parts of other materials:","","","","","",""
"6804.10.00.00","1","Millstones and grindstones for milling, grinding or pulping","[""No.""]","Free","","Free","",""
"","1","Other millstones, grindstones, grinding wheels and the like:","","","","","",""
"6804.21.00","2","Of agglomerated synthetic or natural diamond","","Free","","30%","",""
"6804.21.00.10","3","Segments for circular sawblades, consisting of diamond agglomerated with metal","[""No.""]","","","","",""
"6804.21.00.20","3","Articles consisting of a continuous rim segment of diamond agglomerated with metal, attached to circular plates of steel (whether or not attached to non-steel plates)","[""No.""]","","","","",""
"6804.21.00.30","3","Articles consisting of multiple segments of diamond agglomerated with metal, attached to circular plates of steel, without cutting parts (whether or not attached to non-steel plates)","[""No.""]","","","","",""
"6804.21.00.90","3","Other","[""No.""]","","","","",""
"6804.22","2","Of other agglomerated abrasives or of ceramics:","","","","","",""
"6804.22.10.00","3","Bonded with synthetic resins","[""kg""]","5¢/kg + 2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","$1.10/kg + 40%","",""
"","3","Other:","","","","","",""
"6804.22.40.00","4","Abrasive wheels","[""No.""]","Free","","20%","",""
"6804.22.60.00","4","Other","[""kg""]","Free","","30%","",""
"6804.23.00.00","2","Of natural stone","[""No.""]","Free","","Free","",""
"6804.30.00.00","1","Hand sharpening or polishing stones","[""No.""]","Free","","Free","",""
"6805","0","Natural or artificial abrasive powder or grain, on a base of textile material, of paper, of paperboard or of other materials, whether or not cut to shape or sewn or otherwise made up:","","","","","",""
"6805.10.00.00","1","On a base of woven textile fabric only","[""kg""]","Free","","20%","",""
"6805.20.00.00","1","On a base of paper or paperboard only","[""kg""]","Free","","20%","",""
"6805.30","1","On a base of other materials:","","","","","",""
"6805.30.10.00","2","Articles wholly or partly coated with abrasives, in the form of sheets, strips, disks, belts, sleeves or similar forms","[""kg""]","Free","","20%","",""
"6805.30.50.00","2","Other","[""kg""]","Free","","20%","",""
