HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"7501","0","Nickel mattes, nickel oxide sinters and other intermediate products of nickel metallurgy:","","","","","",""
"7501.10.00.00","1","Nickel mattes","[""kg"",""Ni kg""]","Free","","Free","",""
"7501.20.00.00","1","Nickel oxide sinters and other intermediate products of nickel metallurgy","[""kg"",""Ni kg""]","Free","","Free","",""
"7502","0","Unwrought nickel:","","","","","",""
"7502.10.00.00","1","Nickel, not alloyed","[""kg""]","Free","","6.6¢/kg","",""
"7502.20.00.00","1","Nickel alloys","[""kg""]","Free","","6.6¢/kg","",""
"7503.00.00.00","0","Nickel waste and scrap","[""kg""]","Free","","6.6¢/kg","",""
"7504.00.00","0","Nickel powders and flakes","","Free","","6.6¢/kg","",""
"7504.00.00.10","1","Powders","[""kg""]","","","","",""
"7504.00.00.50","1","Flakes","[""kg""]","","","","",""
"7505","0","Nickel bars, rods, profiles and wire:","","","","","",""
"","1","Bars, rods and profiles:","","","","","",""
"7505.11","2","Of nickel, not alloyed:","","","","","",""
"","3","Bars and rods:","","","","","",""
"7505.11.10.00","4","Cold-formed","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"7505.11.30.00","4","Not cold-formed","[""kg""]","2.6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"7505.11.50.00","3","Profiles","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"7505.12","2","Of nickel alloys:","","","","","",""
"","3","Bars and rods:","","","","","",""
"7505.12.10.00","4","Cold-formed","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"7505.12.30.00","4","Not cold-formed","[""kg""]","2.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"7505.12.50.00","3","Profiles","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"","1","Wire:","","","","","",""
"7505.21","2","Of nickel, not alloyed:","","","","","",""
"7505.21.10.00","3","Cold-formed","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
