HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"7601","0","Unwrought aluminum:<nl/>","","","","","",""
"7601.10","1","Aluminum, not alloyed:","","","","","",""
"7601.10.30.00","2","Of uniform cross section throughout its length, the least cross-sectional dimension of which is not greater than <il>9.5 mm</il>, in coils","[""kg""]","2.6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","18.5%","",""
"7601.10.60","2","Other","","Free","","11%","",""
"7601.10.60.40","3","Of 99.9 percent aluminum or greater","[""kg""]","","","","",""
"7601.10.60.45","3","Of greater than 99.8 percent but less than 99.9 percent","[""kg""]","","","","",""
"7601.10.60.90","3","Other","[""kg""]","","","","",""
"7601.20","1","Aluminum alloys:","","","","","",""
"7601.20.30.00","2","Of uniform cross section throughout its length, the least cross-sectional dimension of which is not greater than 9.5 mm, in coils","[""kg""]","2.6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","18.5%","",""
"","2","Other:","","","","","",""
"7601.20.60.00","3","Containing 25 percent or more by weight of silicon","[""kg""]","2.1%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","25%","",""
"7601.20.90","3","Other","","Free","","10.5%","",""
"7601.20.90.30","4","Aluminum vanadium master alloy","[""kg""]","","","","",""
"","4","Other:","","","","","",""
"7601.20.90.45","5","Of uniform circular cross section throughout its length, the foregoing comprised of billets, not in coils","[""kg""]","","","","",""
"7601.20.90.60","5","Other, containing 0.03 percent or more by weight of lead (secondary aluminum)","[""kg""]","","","","",""
"","5","Other:","","","","","",""
"7601.20.90.75","6","Remelt scrap ingot","[""kg""]","","","","",""
"7601.20.90.80","6","Sheet ingot (slab) of a kind described in statistical note 3 to this chapter","[""kg""]","","","","",""
"7601.20.90.85","6","Foundry ingot of a kind described in statistical note 4 to this chapter","[""kg""]","","","","",""
"7601.20.90.95","6","Other","[""kg""]","","","","",""
"7602.00.00","0","Aluminum waste and scrap","","Free","","Free","",""
"7602.00.00.35","1","Recyclable used beverage containers","[""kg""]","","","","",""
"7602.00.00.95","1","Recyclable aluminum from industrial processes, including turnings, borings, shavings, filings, clippings and chips","[""kg""]","","","","",""
"7602.00.00.97","1","Other recyclable aluminum","[""kg""]","","","","",""
"7602.00.00.98","1","Other","[""kg""]","","","","",""
"7603","0","Aluminum powders and flakes:","","","","","",""
"7603.10.00.00","1","Powders of non-lamellar structure","[""kg""]","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"7603.20.00.00","1","Powders of lamellar structure; flakes","[""kg""]","3.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","11%","",""
"7604","0","Aluminum bars, rods and profiles:","","","","","",""
"7604.10","1","Of aluminum, not alloyed:","","","","","",""
"7604.10.10.00","2","Profiles","[""kg""]","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"","2","Bars and rods:","","","","","",""
"7604.10.30.00","3","Having a round cross section","[""kg""]","2.6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","11%","",""
"7604.10.50.00","3","Other","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","13.5%","",""
"","1","Of aluminum alloys:","","","","","",""
"7604.21.00","2","Hollow profiles","","1.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","15.5%","",""
"7604.21.00.10","3","Heat-treatable industrial alloys of a kind described in statistical note 7 to this chapter","[""kg""]","","","","",""
"7604.21.00.90","3","Other","[""kg""]","","","","",""
"7604.29","2","Other:","","","","","",""
"7604.29.10","3","Other profiles","","5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"7604.29.10.10","4","Heat-treatable industrial alloys of a kind described in statistical note 7 to this chapter","[""kg""]","","","","",""
"7604.29.10.90","4","Other","[""kg""]","","","","",""
"","3","Bars and rods:","","","","","",""
"7604.29.30","4","Having a round cross section","","2.6%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","11%","",""
"7604.29.30.30","5","High-strength heat-treatable alloys of a kind described in statistical note 6 to this chapter","[""kg""]","","","","",""
"7604.29.30.60","5","Heat-treatable industrial alloys of a kind described in statistical note 7 to this chapter","[""kg""]","","","","",""
"7604.29.30.90","5","Other","[""kg""]","","","","",""
"7604.29.50","4","Other","","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","13.5%","",""
"7604.29.50.20","5","High-strength heat-treatable alloys of a kind described in statistical note 6 to this chapter","[""kg""]","","","","",""
"7604.29.50.50","5","Heat-treatable industrial alloys of a kind described in statistical note 7 to this chapter","[""kg""]","","","","",""
"7604.29.50.90","5","Other","[""kg""]","","","","",""
"7605","0","Aluminum wire:","","","","","",""
"","1","Of aluminum, not alloyed:","","","","","",""
"7605.11.00.00","2","Of which the maximum cross-sectional dimension exceeds <il>7 mm</il>","[""kg""]","2.6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","11%","",""
"7605.19.00.00","2","Other","[""kg""]","4.2%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","1","Of aluminum alloys:","","","","","",""
"7605.21.00.00","2","Of which the maximum cross-sectional dimension exceeds <il>7 mm</il>","[""kg""]","2.6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","11%","",""
"7605.29.00.00","2","Other","[""kg""]","4.2%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"7606","0","Aluminum plates, sheets and strip, of a thickness exceeding <il>0.2 mm</il>:","","","","","",""
"","1","Rectangular (including square):","","","","","",""
"7606.11","2","Of aluminum, not alloyed:","","","","","",""
"7606.11.30","3","Not clad","","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","13.5%","",""
"7606.11.30.30","4","With a thickness of more than 6.3 mm","[""kg""]","","","","",""
"7606.11.30.60","4","With a thickness of 6.3 mm or less","[""kg""]","","","","",""
"7606.11.60.00","3","Clad","[""kg""]","2.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","9.5%","",""
"7606.12","2","Of aluminum alloys:","","","","","",""
"7606.12.30","3","Not clad","","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","13.5%","",""
"","4","With a thickness of more than 6.3 mm:","","","","","",""
"7606.12.30.15","5","High-strength heat-treatable alloys of a kind described in statistical note 6 to this chapter","[""kg""]","","","","",""
"7606.12.30.25","5","Heat-treatable industrial alloys of a kind described in statistical note 7 to this chapter","[""kg""]","","","","",""
"7606.12.30.35","5","Other","[""kg""]","","","","",""
"","4","With a thickness of <il>6.3 mm</il> or less:","","","","","",""
"","5","Aluminum can stock:","","","","","",""
"7606.12.30.45","6","Body stock","[""kg""]","","","","",""
"7606.12.30.55","6","Lid stock","[""kg""]","","","","",""
"","5","Other:","","","","","",""
"7606.12.30.91","6","Heat-treatable industrial alloys of a kind described in statistical note 7 to this chapter","[""kg""]","","","","",""
"7606.12.30.96","6","Other","[""kg""]","","","","",""
"7606.12.60.00","3","Clad","[""kg""]","6.5%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"","1","Other:","","","","","",""
"7606.91","2","Of aluminum, not alloyed:","","","","","",""
"7606.91.30","3","Not clad","","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","13.5%","",""
"7606.91.30.55","4","With a thickness of more than 6.3 mm","[""kg""]","","","","",""
"7606.91.30.95","4","With a thickness of 6.3 mm or less","[""kg""]","","","","",""
"7606.91.60","3","Clad","","2.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","9.5%","",""
"7606.91.60.55","4","With a thickness of more than 6.3 mm","[""kg""]","","","","",""
"7606.91.60.95","4","With a thickness of 6.3 mm or less","[""kg""]","","","","",""
"7606.92","2","Of aluminum alloys:","","","","","",""
"7606.92.30","3","Not clad","","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","13.5%","",""
"7606.92.30.25","4","With a thickness of more than 6.3 mm","[""kg""]","","","","",""
"7606.92.30.35","4","With a thickness of 6.3 mm or less","[""kg""]","","","","",""
"7606.92.60","3","Clad","","6.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"7606.92.60.55","5","With a thickness of more than 6.3 mm","[""kg""]","","","","",""
"7606.92.60.95","5","With a thickness of 6.3 mm or less","[""kg""]","","","","",""
"7607","0","Aluminum foil (whether or not printed, or backed with paper, paperboard, plastics or similar backing materials) of a thickness (excluding any backing) not exceeding 0.2 mm:","","","","","",""
"","1","Not backed:","","","","","",""
"7607.11","2","Rolled but not further worked:","","","","","",""
"","3","Of a thickness not exceeding <il>0.15 mm:</il>","","","","","",""
"7607.11.30.00","4","Of a thickness not exceeding <il>0.01 mm</il>","[""kg""]","5.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"7607.11.60","4","Of a thickness exceeding <il>0.01 mm</il>","","5.3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"7607.11.60.10","5","Boxed aluminum foil weighing not more than 11.3 kg","[""kg"",""m<sup>2<\/sup>""]","","","","",""
"7607.11.60.90","5","Other","[""kg"",""m<sup>2<\/sup>""]","","","","",""
"7607.11.90","3","Other","","3%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","13.5%","",""
"","4","Aluminum can stock:","","","","","",""
"7607.11.90.30","5","Body stock","[""kg""]","","","","",""
"7607.11.90.60","5","Lid stock","[""kg""]","","","","",""
"7607.11.90.90","4","Other","[""kg""]","","","","",""
"7607.19","2","Other:","","","","","",""
"7607.19.10.00","3","Etched capacitor foil","[""kg""]","5.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","40%","",""
"","3","Other:","","","","","",""
"7607.19.30.00","4","Cut to shape, of a thickness not exceeding <il>0.15 mm</il>","[""kg""]","5.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"7607.19.60.00","4","Other","[""kg""]","3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","13.5%","",""
"7607.20","1","Backed:","","","","","",""
"7607.20.10.00","2","Covered or decorated with a character, design, fancy effect or pattern","[""kg""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","22.5%","",""
"7607.20.50.00","2","Other","[""kg""]","Free","","23%","",""
"7608","0","Aluminum tubes and pipes:","","","","","",""
"7608.10.00","1","Of aluminum, not alloyed","","5.7%","Free (A,AU,B,BH,C,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"7608.10.00.30","2","Seamless","[""kg""]","","","","",""
"7608.10.00.90","2","Other","[""kg""]","","","","",""
"7608.20.00","1","Of aluminum alloys","","5.7%","Free (A,AU,B,BH,C,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"7608.20.00.30","2","Seamless","[""kg""]","","","","",""
"7608.20.00.90","2","Other","[""kg""]","","","","",""
"7609.00.00.00","0","Aluminum tube or pipe fittings (for example, couplings, elbows, sleeves)","[""kg""]","5.7%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"7610","0","Aluminum structures (excluding prefabricated buildings of heading 9406) and parts of structures (for example, bridges and bridge-sections, towers, lattice masts, roofs, roofing frameworks, doors and windows and their frames and thresholds for doors, balustrades, pillars and columns); aluminum plates, rods, profiles, tubes and the like, prepared for use in structures:","","","","","",""
"7610.10.00","1","Doors, windows and their frames and thresholds for doors","","5.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"7610.10.00.10","2","Windows and their frames","[""kg""]","","","","",""
"7610.10.00.20","2","Thresholds for doors","[""kg""]","","","","",""
"7610.10.00.30","2","Other","[""kg""]","","","","",""
"7610.90.00","1","Other","","5.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"7610.90.00.20","2","Sheet-metal roofing, siding, flooring, and roof guttering and drainage equipment","[""kg""]","","","","",""
"7610.90.00.40","2","Architectural and ornamental work","[""kg""]","","","","",""
"","2","Other:","","","","","",""
"7610.90.00.60","3","Mobile homes","[""kg""]","","","","",""
"7610.90.00.80","3","Other","[""kg""]","","","","",""
"7611.00.00","0","Aluminum reservoirs, tanks, vats and similar containers, for any material (other than compressed or liquefied gas), of a capacity exceeding 300 liters, whether or not lined or heat insulated, but not fitted with mechanical or thermal equipment","","2.6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"7611.00.00.30","1","Tanks","[""No.""]","","","","",""
"7611.00.00.90","1","Other","[""No.""]","","","","",""
"7612","0","Aluminum casks, drums, cans, boxes and similar containers (including rigid or collapsible tubular containers), for any material (other than compressed or liquefied gas), of a capacity not exceeding 300 liters, whether or not lined or heat insulated, but not fitted with mechanical or thermal equipment:","","","","","",""
"7612.10.00.00","1","Collapsible tubular containers","[""No.""]","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"7612.90","1","Other:","","","","","",""
"7612.90.10","2","Of a capacity not exceeding 20 liters","","5.7%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"","3","Cans of a capacity not exceeding 355 ml:","","","","","",""
"7612.90.10.40","4","With a circular cross section, of a kind used for aerosols","[""No.""]","","","","",""
"7612.90.10.45","4","Other","[""No.""]","","","","",""
"7612.90.10.60","3","Cans of a capacity exceeding 355 ml but less than 3.8 liters","[""No.""]","","","","",""
"7612.90.10.90","3","Other","[""No.""]","","","","",""
"7612.90.50.00","2","Other","[""No.""]","Free","","25%","",""
"7613.00.00.00","0","Aluminum containers for compressed or liquefied gas","[""No.""]","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"7614","0","Stranded wire, cables, plaited bands and the like, including slings and similar articles, of aluminum, not electrically insulated:","","","","","",""
"7614.10","1","With steel core:","","","","","",""
"7614.10.10.00","2","Not fitted with fittings and not made up into articles","[""kg""]","4.9%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","35%","",""
"7614.10.50.00","2","Fitted with fittings or made up into articles","[""kg""]","4.9%","Free (A*,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"7614.90","1","Other:","","","","","",""
"","2","Not fitted with fittings and not made up into articles:","","","","","",""
"7614.90.20","3","Electrical conductors","","4.9%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","35%","",""
"7614.90.20.30","4","With a cross-sectional area less than 240 mm²","[""kg""]","","","","",""
"7614.90.20.60","4","With a cross-sectional area greater than or equal to 240 mm²","[""kg""]","","","","",""
"7614.90.40.00","3","Other","[""kg""]","4.9%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","35%","",""
"7614.90.50.00","2","Fitted with fittings or made up into articles","[""kg""]","5.7%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"7615","0","Table, kitchen or other household articles and parts thereof, of aluminum; pot scourers and scouring or polishing pads, gloves and the like, of aluminum; sanitary ware and parts thereof, of aluminum:","","","","","",""
"7615.10","1","Table, kitchen or other household articles and parts thereof; pot scourers and scouring or polishing pads, gloves and the like:","","","","","",""
"7615.10.11.00","2","Pot scourers and scouring or polishing pads, gloves and the like","[""kg""]","3.1%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45.5%","",""
"","2","Other:","","","","","",""
"","3","Cooking and kitchen ware:","","","","","",""
"","4","Enameled or glazed or containing nonstick interior finishes:","","","","","",""
"7615.10.20","5","Cast","","3.1%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45.5%","",""
"7615.10.20.15","6","Bakeware (cookware not suitable for stove top use)","[""No."",""kg""]","","","","",""
"7615.10.20.25","6","Other","[""No."",""kg""]","","","","",""
"7615.10.30","5","Other","","3.1%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45.5%","",""
"7615.10.30.15","6","Bakeware (cookware not suitable for stove top use)","[""No."",""kg""]","","","","",""
"7615.10.30.25","6","Other","[""No."",""kg""]","","","","",""
"","4","Not enameled or glazed and not containing nonstick interior finishes:","","","","","",""
"7615.10.50","5","Cast","","3.1%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45.5%","",""
"7615.10.50.20","6","Bakeware (cookware not suitable for stove top use)","[""No."",""kg""]","","","","",""
"7615.10.50.40","6","Other","[""No."",""kg""]","","","","",""
"7615.10.71","5","Other","","3.1%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45.5%","",""
"7615.10.71.25","6","Containers suitable for food preparation, baking, reheating or storage, 0.04 mm or more but not over 0.22 mm in thickness","[""No."",""kg""]","","","","",""
"","6","Other cookware:","","","","","",""
"7615.10.71.30","7","Bakeware (cookware not suitable for stove top use)","[""No."",""kg""]","","","","",""
"7615.10.71.55","7","Other","[""No."",""kg""]","","","","",""
"7615.10.71.80","6","Other","[""No."",""kg""]","","","","",""
"7615.10.91.00","3","Other","[""kg""]","3.1%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45.5%","",""
"7615.20.00.00","1","Sanitary ware and parts thereof","[""kg""]","3.8%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45.5%","",""
"7616","0","Other articles of aluminum:","","","","","",""
"7616.10","1","Nails, tacks, staples (other than those of heading 8305), screws, bolts, nuts, screw hooks, rivets, cotters, cotter pins, washers and similar articles:","","","","","",""
"7616.10.10.00","2","Nails, tacks and staples","[""kg""]","5.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"7616.10.30.00","2","Rivets","[""kg""]","4.7%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"7616.10.50.00","2","Cotters and cotter pins","[""kg""]","5.7%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","45%","",""
"","2","Other:","","","","","",""
"7616.10.70","3","Having shanks, threads or holes over 6 mm in diameter","","5.5%","Free (A,AU,B,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG) 2.75% (JP)","45%","",""
"7616.10.70.30","4","Threaded fasteners","[""kg""]","","","","",""
