HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"9301","0","Military weapons, other than revolvers, pistols and the arms of heading 9307:","","","","","",""
"9301.10.00","1","Artillery weapons (for example, guns, howitzers and mortars)","","Free","","27.5%","",""
"9301.10.00.10","2","Self propelled","[""No.""]","","","","",""
"9301.10.00.80","2","Other","[""No.""]","","","","",""
"9301.20.00.00","1","Rocket launchers; flame-throwers; grenade launchers; torpedo tubes and similar projectors","[""No""]","Free","","27.5%","",""
"9301.90","1","Other:","","","","","",""
"9301.90.30","2","Rifles","","4.7% on the value of the rifle + 20% on the value of the telescopic sight, if any","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","65%","",""
"9301.90.30.10","3","Telescopic sights imported with rifles","[""No.""]","","","","",""
"9301.90.30.20","3","Rifles","[""No.""]","","","","",""
"9301.90.60.00","2","Shotguns","[""No.""]","2.6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","65%","",""
"9301.90.90","2","Other","","Free","","27.5%","",""
"9301.90.90.30","3","Machine guns","[""No.""]","","","","",""
"9301.90.90.90","3","Other","[""No.""]","","","","",""
"9302.00.00","0","Revolvers and pistols, other than those of heading 9303 or 9304","","14¢ each + 3%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","$3.50 each + 55%","",""
"9302.00.00.20","1","Revolvers","[""No.""]","","","","",""
"9302.00.00.40","1","Semiautomatic pistols","[""No.""]","","","","",""
"9302.00.00.90","1","Other","[""No.""]","","","","",""
"9303","0","Other firearms and similar devices which operate by the firing of an explosive charge (for example, sporting shot- guns and rifles, muzzle-loading firearms, Very pistols and other devices designed to project only signal flares, pistols and revolvers for firing blank ammunition, captive-bolt humane killers, line-throwing guns):","","","","","",""
"9303.10.00.00","1","Muzzle-loading firearms","[""No.""]","Free","","Free","",""
"9303.20.00","1","Other sporting, hunting or target-shooting shotguns, including combination shotgun-rifles","","2.6%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","65%","",""
"","2","Shotguns:","","","","","",""
"9303.20.00.20","3","Autoloading","[""No.""]","","","","",""
"9303.20.00.30","3","Pump action","[""No.""]","","","","",""
"9303.20.00.40","3","Over and under","[""No.""]","","","","",""
"9303.20.00.65","3","Other","[""No.""]","","","","",""
"9303.20.00.80","2","Combination shotgun-rifles","[""No.""]","","","","",""
"9303.30","1","Other sporting, hunting or target-shooting rifles:","","","","","",""
"9303.30.40","2","Valued over $25 but not over $50 each","","3.8% on the value of the rifle + 10% on the value of the telescopic sight, if any","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","65%","",""
"9303.30.40.10","3","Telescopic sights imported with rifles","[""No.""]","","","","",""
"","3","Rifles:","","","","","",""
"9303.30.40.20","4","Centerfire","[""No.""]","","","","",""
"9303.30.40.30","4","Rimfire","[""No.""]","","","","",""
"9303.30.80","2","Other","","3.1% on the value of the rifle + 13% on the value of the telescopic sight, if any","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","65%","",""
