chapter_id,section_id,chapter_code,title_en,title_short,description,heading_count,general_notes,ai_generated,confidence_score,source_reference,created_at,updated_at,revision_year,effective_date,status,statistical_suffix,trade_volume_rank,complexity_score
1,1,01,Live animals,Live animals,"Live horses, cattle, sheep, goats, swine, poultry and other live animals",6,"This chapter covers all live animals except fish and crustaceans, molluscs and other aquatic invertebrates",1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
2,1,02,Meat and edible meat offal,Meat & meat offal,"Meat of bovine animals, swine, sheep, goats, horses and other animals, fresh, chilled, frozen or processed",10,This chapter covers meat and edible offal of the animals falling within Chapter 01,1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
3,1,03,"Fish and crustaceans, molluscs and other aquatic invertebrates",Fish & aquatic invertebrates,"Live fish, fresh or chilled fish, frozen fish, fish fillets, crustaceans, molluscs and other aquatic invertebrates",8,"This chapter covers fish (including livers and roes), crustaceans, molluscs and other aquatic invertebrates",1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
4,1,04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere specified or included","Dairy, eggs & honey","Milk and cream, buttermilk, yogurt, cheese, birds' eggs, natural honey and other edible animal products",10,"This chapter covers dairy products, eggs, honey and other edible products of animal origin",1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
5,1,05,"Products of animal origin, not elsewhere specified or included",Other animal products,"Human hair, pig, hog or boar bristles, horsehair, ivory, tortoise-shell, whalebone, horns, hoofs, feathers, down and other animal products",11,"This chapter covers animal products not covered elsewhere, including human hair and various animal-derived materials",1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
6,2,06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",Live plants & cut flowers,"Live trees, shrubs, plants, bulbs, roots, cut flowers and ornamental foliage suitable for bouquets or decoration",4,"This chapter covers live trees, plants, bulbs, roots and cut flowers",1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
7,2,07,Edible vegetables and certain roots and tubers,Edible vegetables,"Potatoes, tomatoes, onions, cabbages, lettuce, carrots, beans, peas and other fresh or chilled vegetables",14,"This chapter covers edible vegetables, certain roots and tubers, fresh or chilled",1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
8,2,08,Edible fruit and nuts; peel of citrus fruit or melons,Edible fruit & nuts,"Coconuts, Brazil nuts, bananas, dates, figs, pineapples, grapes, melons, apples, pears, stone fruit, berries and other edible fruit and nuts",14,"This chapter covers edible fruit and nuts, whether fresh, dried, or prepared",1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
9,2,09,"Coffee, tea, mate and spices","Coffee, tea & spices","Coffee, tea, mate, pepper, vanilla, cinnamon, cloves, nutmeg, ginger and other spices",10,"This chapter covers coffee, tea, mate and spices",1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
10,2,10,Cereals,Cereals,"Wheat, rye, barley, oats, maize (corn), rice, grain sorghum, buckwheat, millet and other cereals",8,This chapter covers cereals whether or not in the ear or on the stalk,1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
11,2,11,Products of the milling industry; malt; starches; inulin; wheat gluten,Milling products & starches,"Flour, groats, meal, pellets, flakes, malt, starches, inulin, wheat gluten and other milling industry products",9,"This chapter covers products of the milling industry including flour, starches and gluten",1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
12,2,12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal plants; straw and fodder",Oil seeds & industrial plants,"Soya beans, ground-nuts, copra, linseed, rapeseed, sunflower seeds, cotton seeds, sugar beet, sugar cane, hop cones and other oil seeds and industrial plants",14,"This chapter covers oil seeds, oleaginous fruits, miscellaneous grains, seeds and fruit, and industrial or medicinal plants",1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
13,2,13,"Lac; gums, resins and other vegetable saps and extracts","Lac, gums & plant extracts","Lac, natural gums, resins, gum-resins and oleoresins, vegetable saps and extracts",2,"This chapter covers lac, gums, resins and other vegetable saps and extracts",1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
14,2,14,Vegetable plaiting materials; vegetable products not elsewhere specified or included,Vegetable plaiting materials,"Bamboos, rattans, reeds, rushes, osier, raffia, vegetable hair, kapok and other vegetable plaiting materials and products",4,This chapter covers vegetable plaiting materials and vegetable products not elsewhere specified,1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
15,3,15,"Animal, vegetable fats and oils, cleavage products, etc.","Fats, oils & cleavage products",Animal and vegetable fats and oils and their cleavage products; prepared edible fats; animal or vegetable waxes,22,This chapter covers animal and vegetable fats and oils and their cleavage products,1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
16,4,16,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",Prepared meat & fish,"Sausages and similar products of meat, meat preparations, prepared or preserved fish, crustaceans, molluscs and other aquatic invertebrates",5,"This chapter covers preparations of meat, fish, crustaceans, molluscs and other aquatic invertebrates",1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
17,4,17,Sugars and sugar confectionery,Sugars & confectionery,"Cane or beet sugar, other sugars, sugar syrups, artificial honey, caramel, sugar confectionery",4,This chapter covers sugars and sugar confectionery,1,1.0,AI_generated,2025-08-25 08:28:58,2025-08-25 08:28:58,2022,,active,,,1
