HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"6001","0","Pile fabrics, including ""long pile"" fabrics and terry fabrics, knitted or crocheted:","","","","","",""
"6001.10","1","""Long pile"" fabrics:","","","","","",""
"6001.10.20.00","2","Of man-made fibers (224)","[""m<sup>2<\/sup>"",""kg""]","17.2%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM,P, PA,PE,S,SG)","79.5%","",""
"6001.10.60.00","2","Other (224)","[""m<sup>2<\/sup>"",""kg""]","9%","Free (AU,BH, CL,CO,E*,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","40%","",""
"","1","Looped pile fabrics:","","","","","",""
"6001.21.00.00","2","Of cotton (224)","[""m<sup>2<\/sup>"",""kg""]","9.8%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM,P, PA,PE,S,SG)","40%","",""
"6001.22.00.00","2","Of man-made fibers (224)","[""m<sup>2<\/sup>"",""kg""]","17.2%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM,P, PA,PE,S,SG)","79.5%","",""
"6001.29.00.00","2","Of other textile materials (414)","[""kg""]","7%","Free (AU,BH, CL,CO,E*,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","61.5%","",""
"","1","Other:","","","","","",""
"6001.91.00","2","Of cotton","","18.5%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM,P, PA,PE,S,SG)","70%","",""
"6001.91.00.10","3","Over 271 grams per square meter (224)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"6001.91.00.20","3","Other (224)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"6001.92.00","2","Of man-made fibers","","17.2%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","79.5%","",""
"","3","Over 271 grams per square meter:","","","","","",""
"6001.92.00.10","4","Velour (224)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"6001.92.00.20","4","Other (224)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"","3","Other:","","","","","",""
"6001.92.00.30","4","Velour (224)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"6001.92.00.40","4","Other (224)","[""m<sup>2<\/sup>"",""kg""]","","","","",""
"6001.99","2","Of other textile materials:","","","","","",""
"6001.99.10.00","3","Containing 85 percent or more by weight of silk or silk waste","[""m<sup>2<\/sup>"",""kg""]","4%","Free (AU,BH, CL,CO,E,IL,JO, KR,MA,OM,P, PA,PE,S,SG)","61.5%","",""
"6001.99.90.00","3","Other (414)","[""m<sup>2<\/sup>"",""kg""]","7%","Free (AU,BH, CL,CO,E*,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","61.5%","",""
"6002","0","Knitted or crocheted fabrics of a width not exceeding <il>30 cm</il>, containing by weight <il>5 percent</il> or more of elastomeric yarn or rubber thread, other than those of heading 6001:","","","","","",""
"6002.40","1","Containing by weight 5 percent or more of elastomeric yarn but not containing rubber thread:","","","","","",""
"6002.40.40.00","2","Of cotton (222)","[""kg""]","8.8%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM,P, PA,PE,S,SG)","35%","",""
"6002.40.80","2","Other","","8%","Free (AU,BH,CL,CO,E*,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","90%","",""
"6002.40.80.20","3","Open-work fabrics, warp knit (222)","[""kg""]","","","","",""
"6002.40.80.80","3","Other (222)","[""kg""]","","","","",""
"6002.90","1","Other:","","","","","",""
"6002.90.40.00","2","Of cotton (222)","[""kg""]","8.8%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM, P,PA,PE,S,SG)","35%","",""
"6002.90.80","2","Other","","8%","Free (AU,BH, CL,CO,E*,IL,JO, KR,MA,OM,P, PA,PE,S,SG)","90%","",""
"6002.90.80.20","3","Open-work fabrics, warp knit (222)","[""kg""]","","","","",""
"6002.90.80.80","3","Other (222)","[""kg""]","","","","",""
"6003","0","Knitted or crocheted fabrics of a width not exceeding <il>30 cm</il>, other than those of heading 6001 or 6002:","","","","","",""
"6003.10","1","Of wool or fine animal hair:","","","","","",""
"6003.10.10.00","2","Open-work fabrics, warp knit (229)","[""kg""]","14.1%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM,P, PA,PE,S,SG)","90%","",""
"6003.10.90.00","2","Other (899)","[""kg""]","6.6%","Free (AU,BH, CL,CO,E*,IL,JO, KR,MA,OM,P, PA,PE,S,SG)","59%","",""
"6003.20","1","Of cotton:","","","","","",""
"6003.20.10.00","2","Open-work fabrics, warp knit (229)","[""kg""]","14.1%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM,P, PA,PE,S,SG)","90%","",""
"6003.20.30.00","2","Other (222)","[""kg""]","8%","Free (AU,BH, CL,CO,IL,JO, KR,MA,OM,P, PA,PE,S,SG)","35%","",""
"6003.30","1","Of synthetic fibers:","","","","","",""
"6003.30.10.00","2","Open-work fabrics, warp knit (229)","[""kg""]","14.1%","Free (AU,BH,CL,CO,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","90%","",""
"6003.30.60.00","2","Other (222)","[""kg""]","7.6%","Free (AU,BH, CL,CO,IL,JO,KR, MA,OM,P, PA,PE,S,SG)","90%","",""
"6003.40","1","Of artificial fibers:","","","","","",""
